actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
116,-1.7184075,11600,0.37399554,0.01184082,1.7800627,29,2900,1,0,1.211356,2.0840502,83.23715,0.0
126,1.4666016,12600,0.9023652,0.007080078,0.31878972,33,3300,6,10.65913200378418,-1.6651794,-1.4989356,18.3345,35.79814805059888
142,11.526761,14200,0.9893811,0.008178711,0.055943884,37,3700,13,22.991170406341553,-7.3205776,-7.0237365,9.44014,26.41844377930286
150,6.8554325,15000,0.9933326,0.0095825195,0.03286485,46,4600,20,33.99987721443176,-5.7468405,-5.1289463,1.2290337,40.90563475361572
154,5.8311095,15400,0.99466777,0.018798828,0.027641825,65,6500,27,44.83760952949524,-6.1096587,-4.8990803,0.58224386,43.83562960976746
158,5.735532,15800,0.99322176,0.01361084,0.031116288,82,8200,34,55.65816593170166,-5.6900353,-5.0293694,0.78906256,42.978403162946364
162,5.6563473,16200,0.9954357,0.023864746,0.024828922,95,9500,40,67.09165477752686,-6.6131477,-4.6379094,0.31620353,35.86001585968242
166,5.429657,16600,0.9955406,0.022338867,0.024060193,111,11100,46,78.25116181373596,-6.856219,-4.6308713,0.31301957,37.124038207815154
170,5.497455,17000,0.9954097,0.024108887,0.024010941,130,13000,53,89.5422134399414,-7.0189104,-4.583536,0.40229386,44.04807694989963
174,5.5864162,17400,0.9950979,0.022033691,0.024954319,142,14200,57,100.27448511123657,-7.1385193,-4.700762,0.77790236,18.302656636990143
178,5.50344,17800,0.9956894,0.02758789,0.02266395,158,15800,63,111.30186605453491,-7.2121754,-4.450606,0.23116389,40.632508282472465
182,5.5153446,18200,0.9956517,0.035461426,0.022370392,174,17400,70,122.16730904579163,-7.4501805,-4.3722095,0.29294062,43.9112305478413
186,5.9555035,18600,0.9947119,0.026977539,0.026995657,192,19200,77,134.0716998577118,-7.502008,-5.0509663,2.159846,30.416622777636267
190,5.4725904,19000,0.9956045,0.037963867,0.02225937,204,20400,83,145.0026891231537,-7.437111,-4.3295975,0.22578141,44.41903325907421
194,5.632083,19400,0.9955871,0.040100098,0.022086717,219,21900,90,155.73615145683289,-7.369829,-4.270588,0.22675027,44.37160909478005
198,5.614276,19800,0.9957998,0.04852295,0.021398466,235,23500,96,166.5961558818817,-7.752833,-4.2542353,0.19859123,40.07278071052016
202,6.716599,20200,0.9938674,0.022338867,0.03184495,250,25000,102,177.0108675956726,-8.230483,-5.6015787,4.783933,38.66013045350524
206,5.6703157,20600,0.9958415,0.053710938,0.021321189,261,26100,108,187.08346462249756,-7.871629,-4.2276573,0.27567613,40.970684036105
210,5.615477,21000,0.99582195,0.053222656,0.021357164,279,27900,115,198.27356791496277,-7.917366,-4.254537,0.37650502,45.15299460725111
214,5.57836,21400,0.99589086,0.05621338,0.020760275,295,29500,122,209.3982207775116,-8.00745,-4.1659513,0.22153953,44.12319462333566
218,5.2758584,21800,0.9956889,0.059631348,0.020877166,314,31400,129,221.02480030059814,-8.055865,-4.1163206,0.24636886,38.828665540726234
222,5.267255,22200,0.99586344,0.0625,0.020744815,324,32400,134,231.17133283615112,-8.321562,-4.1482754,0.3758771,28.79228520161537
226,5.291932,22600,0.9959512,0.06317139,0.02015803,337,33700,140,241.67843675613403,-8.368172,-4.051378,0.21491526,39.50541979854897
230,5.2138195,23000,0.9959774,0.061828613,0.019874148,348,34800,145,251.9269881248474,-8.404837,-3.9999084,0.14932935,27.854956276919314
234,5.187379,23400,0.9958787,0.06768799,0.020079419,362,36200,151,263.43305587768555,-8.277813,-3.9875584,0.2393194,29.810822453468663
237,25.189034,23700,0.98232317,0.008972168,0.14567587,377,37700,156,273.9271502494812,-23.034817,-19.399775,94.877495,34.5873664039714
239,5.594794,23900,0.9929552,0.031066895,0.02920739,391,39100,161,284.3843231201172,-7.800679,-4.5794945,1.2778699,25.781829246178955
242,5.313077,24200,0.993942,0.040649414,0.026816647,406,40600,166,295.83025455474854,-7.7122364,-4.389361,0.95492095,30.248085602043886
246,5.2484846,24600,0.99468756,0.039978027,0.024548586,417,41700,171,306.11829948425293,-7.861183,-4.2696266,0.6883823,29.434719257939527
250,5.737874,25000,0.99462223,0.044799805,0.025816634,429,42900,176,317.08044362068176,-8.402266,-4.653167,1.8672,30.301467225852814
253,5.0802836,25300,0.99375653,0.03643799,0.025517184,443,44300,181,327.6801505088806,-7.3211584,-4.1461587,0.52496564,26.055975091293067
255,5.0612626,25500,0.9950261,0.050842285,0.022766076,457,45700,186,338.50333857536316,-7.5305305,-4.1160793,0.33636016,28.72923797413704
258,4.958323,25800,0.9948592,0.059631348,0.022864591,469,46900,191,348.9996235370636,-7.743511,-4.0508995,0.366382,30.606152780009023
262,4.9334774,26200,0.99528384,0.06304932,0.021633912,481,48100,196,359.9728081226349,-7.841809,-4.021915,0.27229908,31.21722563200427
265,4.9516735,26500,0.9955747,0.067871094,0.021218183,492,49200,201,370.10338139533997,-7.9526157,-4.0080543,0.25428957,39.80308910651495
269,4.927092,26900,0.9946065,0.06488037,0.022826938,507,50700,207,381.85391187667847,-7.967725,-3.989356,0.34676582,29.344953449462345
274,4.8340077,27400,0.9950783,0.066223145,0.021790966,522,52200,214,393.0416314601898,-8.104957,-3.918439,0.3145054,39.4059726514045
278,4.760807,27800,0.9948213,0.06512451,0.023699585,534,53400,221,404.41242504119873,-8.002553,-3.9997075,0.44097248,43.93622036701866
282,4.7468357,28200,0.9943762,0.056762695,0.023737393,550,55000,228,415.5017611980438,-7.4077992,-4.00408,0.38718605,43.47833472762008
286,5.048107,28600,0.9938128,0.06329346,0.024276424,565,56500,235,426.7866520881653,-7.904666,-3.8954463,0.45566934,45.529467277219176
291,4.815811,29100,0.99267435,0.05621338,0.026309771,580,58000,242,437.89425015449524,-7.9278603,-3.971973,0.69494814,38.97108100558822
295,4.825382,29500,0.99388814,0.058410645,0.02434168,594,59400,249,449.0261514186859,-7.933734,-3.9594924,0.5504545,40.34147705746293
299,4.725694,29900,0.9928825,0.0569458,0.02715926,607,60700,255,459.17410230636597,-8.118855,-4.149826,1.3499365,40.62766230037524
304,4.545434,30400,0.9937768,0.061340332,0.025204975,621,62100,262,470.3059697151184,-7.8679867,-3.8834257,0.63737637,39.16840525248392
309,4.621993,30900,0.99315715,0.05444336,0.025832707,636,63600,269,481.45211482048035,-7.596147,-3.9096045,0.4953305,38.25190454075919
313,4.6772966,31300,0.9929819,0.05432129,0.027263317,651,65100,276,493.2796766757965,-7.9246206,-3.9070814,0.8282607,31.43489491662773
318,4.582926,31800,0.9946072,0.06329346,0.023692742,667,66700,283,504.8576648235321,-8.1687765,-3.9260192,0.57260466,36.406133541867895
322,4.9886312,32200,0.9934957,0.054138184,0.026551759,681,68100,289,516.3985147476196,-8.313183,-4.1001835,1.3193845,22.451545150625872
326,4.953128,32600,0.99355745,0.051879883,0.02651966,694,69400,295,527.2865443229675,-8.118776,-4.181613,1.4089488,37.42707195408065
329,4.826991,32900,0.9953897,0.06665039,0.021307994,709,70900,301,537.3238756656647,-8.457072,-3.836006,0.39717668,44.35667374836597
333,4.904187,33300,0.99590683,0.07672119,0.019745804,726,72600,308,548.3449914455414,-8.701298,-3.8288283,0.25523788,44.34962382971862
337,4.903096,33700,0.99508977,0.08129883,0.021715404,736,73600,314,558.4598262310028,-8.668787,-3.8342223,0.610453,41.612409897546854
