actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
4,400,-1.5279727,-0.37410292,-0.37410292,-0.37410292,100,29.0,5.9621844,4.7132263,4.7132263,4.7132263,4.4342117,4.3391232,4.3391232,4.3391232,2.4874372,3.442009,3.442009,3.442009,15.239741842805426,0.0,0.3333333333333333
32,3200,-0.16267407,-1.2637352,0.12351042,0.12351042,100,0.0,1.0094823,4.818678,4.6907964,4.6907964,0.8468082,3.5549426,4.8143067,4.8143067,0.60908186,1.7187812,2.2399707,2.2399707,61.50137524938217,1.0,0.6206896551724138
58,5800,7.0752964,0.18161741,0.10544553,0.10544553,100,12.0,2.3081439,5.3319297,5.0878277,5.0878277,9.38344,5.5135474,5.193272,5.193272,1.3196797,1.8345816,2.262082,2.262082,69.29956174591176,1.0,0.6037735849056604
86,8600,-0.11061382,-0.0050498964,0.022947984,0.022947984,100,47.0,3.0129085,4.2628245,5.06996,5.06996,2.9022946,4.257775,5.092908,5.092908,0.35562655,1.1896849,1.9128922,1.9128922,68.01174439101875,1.0,0.6666666666666666
106,10600,8.304132,-0.21259475,-0.12323318,-0.07616537,100,17.0,2.102324,4.2007227,4.997794,4.979788,10.406457,3.988128,4.8745613,4.9036217,0.21511419,1.4395998,1.7056191,1.7950246,31.59760258325203,1.0,0.6831683168316832
120,12000,1.1548252,-0.35193518,-0.33900398,-0.14083186,100,51.0,3.001164,5.75779,5.1908293,5.0716553,4.155989,5.405854,4.851826,4.9308233,1.8826507,1.2030104,1.579321,1.7419273,17.97064664360158,1.0,0.6869565217391305
137,13700,0.58904505,-1.8073328,-0.41428876,-0.3255078,100,1.0,3.6470718,6.2199125,5.269836,5.1808276,4.236117,4.4125795,4.855547,4.8553195,2.8039138,2.2205925,1.6376625,1.7903367,29.70385687319667,0.0,0.6439393939393939
153,15300,-0.463984,-1.0846211,-0.6735617,-0.41625682,100,0.0,7.717051,6.73815,5.4130206,5.295801,7.253067,5.6535287,4.739459,4.8795447,6.7661457,2.4675632,1.5437083,1.8493837,8.128782994454125,0.0,0.6148648648648649
158,15800,-2.4257603,-1.1616327,-0.7152328,-0.40747842,100,0.0,6.7950406,6.8122826,5.5032487,5.3474655,4.3692803,5.6506505,4.788016,4.939987,4.1482215,4.2436814,1.7710211,1.9551691,9.016303386206301,0.0,0.5947712418300654
162,16200,0.17533875,-1.392597,-0.82164156,-0.47247586,100,1.0,7.6537175,6.7485747,5.5318427,5.3739843,7.8290563,5.3559775,4.7102017,4.901509,4.612476,4.5226297,1.8213278,1.9881432,9.127625664248326,0.0,0.5859872611464968
166,16600,2.4704137,-1.6385939,-0.93656,-0.47279316,100,0.0,5.158923,6.497744,5.625253,5.395404,7.629337,4.85915,4.6886935,4.922611,2.9984818,4.01159,1.9431641,2.036423,9.107473447526635,0.0,0.577639751552795
