actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
4,400,-0.40675473,100,50.0,1,100,2.0857265,1.6789718,1.1268935,15.053856526400304,1.0,nan
8,800,-5.854259,100,6.0,2,200,9.462222,3.607963,1.2644188,63.43633655543577,1.0,1.0
12,1200,0.6693418,100,9.0,3,300,3.5322506,4.2015924,1.8822169,61.99501888242641,1.0,1.0
16,1600,4.979432,100,0.0,4,400,4.16455,9.143982,3.5723646,63.3008948564431,0.0,1.0
20,2000,2.916256,100,0.0,5,500,6.8730116,9.789268,6.4091578,66.5717101848604,0.0,0.75
24,2400,0.91055584,100,6.0,6,600,3.0433912,3.953947,1.7136163,65.87703718688687,1.0,0.6
28,2800,1.383029,100,0.0,7,700,4.656842,6.039871,3.8517416,67.93725281597644,0.0,0.6666666666666666
32,3200,-0.6546502,100,0.0,8,800,6.7688785,6.1142282,5.535231,63.24301576452384,0.0,0.5714285714285714
36,3600,-0.37266207,100,0.0,9,900,5.893542,5.5208797,4.221208,65.87984130297552,0.0,0.5
40,4000,0.9977169,100,0.0,10,1000,8.2788,9.276517,3.4514654,63.42631202727648,0.0,0.4444444444444444
44,4400,-1.6145334,100,0.0,11,1100,7.5101023,5.895569,5.3632913,69.26101998532644,0.0,0.4
48,4800,0.5563302,100,0.0,12,1200,4.098184,4.6545143,3.183941,64.04187308138332,0.0,0.36363636363636365
52,5200,3.4117537,100,0.0,13,1300,4.635977,8.04773,2.7902005,66.56641693108526,0.0,0.3333333333333333
56,5600,-4.322064,100,0.0,14,1400,6.6775784,2.3555145,2.0150406,67.42362986756413,0.0,0.3076923076923077
60,6000,0.5169215,100,0.0,15,1500,5.30065,5.8175716,3.236797,64.90370606725202,0.0,0.2857142857142857
64,6400,1.2036009,100,0.0,16,1600,8.722,9.925601,8.543871,67.532666599901,0.0,0.26666666666666666
68,6800,-0.8477155,100,72.0,17,1700,1.4095372,0.5618217,0.04490325,67.04722346463555,1.0,0.25
72,7200,-1.4322376,100,0.0,18,1800,9.404761,7.9725237,7.1407075,63.4827400458211,0.0,0.29411764705882354
76,7600,-0.39018393,100,0.0,19,1900,7.169245,6.779061,3.6226842,66.60047328322094,0.0,0.2777777777777778
80,8000,1.3175192,100,0.0,20,2000,9.599956,10.917475,8.857836,65.14590833668954,0.0,0.2631578947368421
84,8400,1.1490254,100,0.0,21,2100,5.673366,6.8223915,3.975949,65.92440807111524,0.0,0.25
88,8800,-0.9136381,100,0.0,22,2200,3.7457986,2.8321605,2.8321605,61.2168365332648,0.0,0.23809523809523808
92,9200,-1.381208,100,0.0,23,2300,7.2347374,5.8535295,5.8535295,63.10891969543201,0.0,0.22727272727272727
96,9600,4.7703724,100,13.0,24,2400,4.101962,8.8723345,0.19169585,63.91749906546101,1.0,0.21739130434782608
100,10000,-1.0599127,100,0.0,25,2500,7.3392987,6.279386,5.217668,43.598818489049734,0.0,0.25
104,10400,-6.3576875,100,13.0,26,2600,6.787977,0.43028957,0.08640167,27.384344785305714,1.0,0.24
108,10800,-0.04144001,100,0.0,27,2700,8.591067,8.549627,7.446737,45.54041886113991,0.0,0.2692307692307692
112,11200,2.0534096,100,1.0,28,2800,5.016638,7.0700474,1.961183,42.372176933547586,1.0,0.25925925925925924
116,11600,-1.0320046,100,14.0,29,2900,3.734495,2.7024903,1.2149363,34.03346251425768,1.0,0.2857142857142857
120,12000,-2.005639,100,0.0,30,3000,12.047928,10.042289,8.612747,23.447190429096647,0.0,0.3103448275862069
