actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
4,400,0.46619177,-0.40555444,-0.40555444,-0.40555444,100,3.0,1,100,4.946245,4.923013,4.923013,4.923013,5.412437,4.5174584,4.5174584,4.5174584,2.1840382,3.4472797,3.4472797,3.4472797,14.160373342210216,0.0,0.3333333333333333
30,3000,-1.8484702,1.078769,0.15841094,0.15841094,100,0.0,8,800,5.0480356,5.233071,5.818727,5.818727,3.1995654,6.3118396,5.9771385,5.9771385,2.427424,3.5718937,3.40817,3.40817,60.6168305447373,0.0,0.1724137931034483
60,6000,-5.6900697,0.2753809,0.22324267,0.22324267,100,0.0,15,1500,10.44136,6.300484,5.7223997,5.7223997,4.751291,6.5758653,5.945642,5.945642,4.550779,1.8280834,2.6990767,2.6990767,62.95827192819975,0.0,0.3389830508474576
88,8800,-1.7293315,0.6925491,0.2756855,0.2756855,100,36.0,22,2200,7.6120095,5.359369,5.5325513,5.5325513,5.882678,6.0519176,5.808236,5.808236,2.5881155,1.3745959,2.4730196,2.4730196,59.99053150847945,0.0,0.4418604651162791
108,10800,-0.38423252,-0.7196866,0.14919496,0.1240674,100,0.0,27,2700,5.04437,5.5045485,5.706462,5.6314287,4.6601377,4.7848625,5.8556576,5.7554965,0.8490085,1.928492,2.4044654,2.4636827,31.180718717743137,1.0,0.42452830188679247
122,12200,0.8583503,-1.7708883,0.096782245,0.042664256,100,2.0,31,3100,5.1125116,7.902973,5.7169776,5.8107824,5.970862,6.132085,5.81376,5.8534474,2.4129446,3.9280007,2.361019,2.5688236,31.659905771430086,0.0,0.4083333333333333
137,13700,0.23089218,-2.7560697,-0.27840278,-0.1282625,100,0.0,35,3500,3.4961674,6.886786,5.93113,5.8919387,3.7270596,4.130717,5.652728,5.763676,2.2193847,1.7602389,2.3842769,2.5765517,27.36224979936457,0.0,0.4
149,14900,5.6953955,-0.50722265,-0.29415244,-0.15492243,100,0.0,42,4200,4.5218973,5.8795114,5.9680552,5.8818817,10.217293,5.3722887,5.6739025,5.7269588,4.5218973,2.8713362,2.4285655,2.592756,18.00589351912947,0.0,0.3945578231292517
157,15700,-10.275613,0.6022402,-0.37016347,-0.09545295,100,0.0,70,7000,12.687335,7.4708977,6.2409945,5.9633822,2.4117224,8.073137,5.8708315,5.86793,2.4117224,4.476357,2.724956,2.6912127,9.63527676302792,0.0,0.38064516129032255
161,16100,4.2991796,-1.1457312,-0.44928157,-0.18540744,100,0.0,83,8300,4.048845,7.755928,6.2048497,6.0071125,8.348024,6.6101966,5.755568,5.8217053,4.048845,3.6582837,2.6684945,2.6875944,9.807499565136496,0.0,0.3710691823899371
165,16500,-1.922166,-1.5894839,-0.5546083,-0.18276429,100,0.0,100,10000,3.9148016,7.129196,6.2959013,6.004191,1.9926356,5.539712,5.7412934,5.821427,1.9926356,3.813654,2.7378407,2.7165966,8.625876180717476,0.0,0.3619631901840491
169,16900,0.27046633,-1.0417324,-0.6553292,-0.22079891,100,32.0,115,11500,6.583039,5.0588818,6.29007,5.9500895,6.853505,4.017149,5.634741,5.72929,2.1691275,2.5701072,2.678036,2.6830513,9.818732967260503,0.0,0.3652694610778443
174,17400,-0.6674719,-0.16636968,-0.5621355,-0.15388797,100,0.0,128,12800,9.593904,5.15923,6.299989,5.9346952,8.926432,4.99286,5.7378535,5.7808075,0.7724495,1.7918165,2.728687,2.6528695,8.480599779601265,1.0,0.37209302325581395
178,17800,-1.9818718,1.3868005,-0.4052962,-0.12579678,100,5.0,142,14200,5.1816115,5.205673,6.2087364,5.917831,3.1997397,6.5924735,5.80344,5.792034,1.6467463,1.5099932,2.6224706,2.6170712,9.93805703078776,1.0,0.3806818181818182
182,18200,2.148045,1.8390385,-0.24749315,-0.074757524,100,4.0,156,15600,2.3239741,4.274212,6.0559096,5.8481603,4.472019,6.1132503,5.8084154,5.773403,0.28691185,1.2512503,2.6186445,2.5835547,8.921216205020809,1.0,0.3888888888888889
190,19000,3.7298868,2.1678355,-0.28979722,-0.023465553,100,0.0,183,18300,2.304847,2.90079,5.9084992,5.7428775,6.034734,5.0686255,5.6187024,5.719412,2.304847,1.3486564,2.5926757,2.5337403,9.458044402638238,0.0,0.40425531914893614
