actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
3,300,-2.2176418,100,13.0,1,100,6.6543965,4.4367547,1.137182,14.440187717097082,1.0,nan
5,500,-0.09821844,100,0.0,2,200,5.946296,5.848078,2.7237794,52.403940880544795,0.0,1.0
9,900,-0.2730379,100,0.0,3,300,9.757948,9.48491,7.56571,50.99920308881511,0.0,0.5
13,1300,-4.4591303,100,6.0,4,400,7.312426,2.8532958,1.5542922,51.59304427577669,1.0,0.3333333333333333
17,1700,3.9609325,100,3.0,5,500,2.7216403,6.682573,1.727315,50.21957798975806,1.0,0.5
21,2100,0.39978886,100,0.0,6,600,2.3150373,2.714826,2.0627005,51.6371190545749,0.0,0.6
25,2500,4.404132,100,12.0,7,700,3.965121,8.369253,0.1510641,48.283565380406976,1.0,0.5
29,2900,4.540756,100,0.0,8,800,4.689398,9.230154,3.162065,48.59809185787212,0.0,0.5714285714285714
32,3200,2.6779528,100,0.0,9,900,5.8189783,8.496931,4.037482,52.715387202526536,0.0,0.5
37,3700,1.1722639,100,0.0,10,1000,3.240651,4.4129148,2.900485,49.14095672171797,0.0,0.4444444444444444
41,4100,0.22202778,100,0.0,11,1100,2.4680512,2.690079,2.1270723,50.28190712619448,0.0,0.4
45,4500,-0.55578804,100,0.0,12,1200,7.1129355,6.5571475,4.704364,49.182894927082906,0.0,0.36363636363636365
49,4900,-0.36062145,100,0.0,13,1300,10.0917015,9.73108,6.22391,50.50340807071217,0.0,0.3333333333333333
53,5300,-2.6509745,100,10.0,14,1400,4.736399,2.0854247,0.7070915,51.72195483473974,1.0,0.3076923076923077
57,5700,-0.13283634,100,0.0,15,1500,4.926415,4.7935786,4.1789393,51.836567219517015,0.0,0.35714285714285715
61,6100,-0.6908946,100,0.0,16,1600,7.1217484,6.430854,4.0796976,50.24668086266124,0.0,0.3333333333333333
65,6500,1.1632526,100,0.0,17,1700,2.8500907,4.0133433,2.0689914,51.283623858337364,0.0,0.3125
69,6900,2.330583,100,0.0,18,1800,5.4154115,7.7459946,5.4154115,48.34780972861716,0.0,0.29411764705882354
73,7300,3.327982,100,0.0,19,1900,8.239642,11.567624,7.470308,51.49068477769949,0.0,0.2777777777777778
76,7600,-2.3497405,100,0.0,20,2000,7.2503915,4.900651,3.1085286,52.028550861789114,0.0,0.2631578947368421
80,8000,3.5130866,100,11.0,21,2100,0.8301361,4.3432226,0.57167274,50.83160119694048,1.0,0.25
84,8400,-2.2043934,100,0.0,22,2200,6.667091,4.4626975,3.5913699,52.54232425935287,0.0,0.2857142857142857
88,8800,0.7752714,100,0.0,23,2300,6.312098,7.0873694,5.639407,52.42234549871047,0.0,0.2727272727272727
92,9200,0.84503317,100,0.0,24,2400,3.5367408,4.381774,2.4338653,48.10277880644714,0.0,0.2608695652173913
96,9600,-1.0993638,100,0.0,25,2500,7.304583,6.2052193,5.928003,50.13991297279205,0.0,0.25
100,10000,5.1997623,100,58.0,26,2600,0.9763146,6.176077,0.08976877,39.76644359315069,1.0,0.24
104,10400,-3.561883,100,11.0,27,2700,3.9738162,0.41193324,0.17517324,21.50675870386304,1.0,0.2692307692307692
108,10800,-1.9964397,100,46.0,28,2800,2.5657637,0.569324,0.26572204,34.21577084241215,1.0,0.2962962962962963
112,11200,0.46213305,100,48.0,29,2900,1.436882,1.8990151,1.4215816,34.80231494127514,1.0,0.32142857142857145
116,11600,0.90561295,100,0.0,30,3000,5.5588064,6.4644194,4.101599,34.27291009438912,0.0,0.3448275862068966
120,12000,2.827733,100,2.0,31,3100,4.5621686,7.3899016,1.7448206,17.342929168862113,1.0,0.3333333333333333
124,12400,0.03779745,100,0.0,32,3200,4.6368628,4.67466,4.6368628,28.320463671104545,0.0,0.3548387096774194
127,12700,-5.4356365,100,0.0,33,3300,10.70722,5.2715836,5.2715836,44.90576521896933,0.0,0.34375
132,13200,-5.8302813,100,1.0,34,3400,6.8582816,1.0280006,1.0280006,33.029006563586464,1.0,0.3333333333333333
134,13400,-5.4333463,100,0.0,35,3500,8.009189,2.5758424,2.5758424,31.353445227766944,0.0,0.35294117647058826
138,13800,-1.7279139,100,0.0,36,3600,7.135067,5.407153,2.3264892,41.83462556784094,0.0,0.34285714285714286
141,14100,-1.0974402,100,0.0,37,3700,4.98303,3.8855896,3.8855896,29.2884150229322,0.0,0.3333333333333333
145,14500,-1.5684903,100,0.0,38,3800,3.6023898,2.0338995,2.0338995,32.42788719871658,0.0,0.32432432432432434
146,14600,3.8610396,100,0.0,39,3900,3.0679574,6.928997,2.1356597,58.48851747514139,0.0,0.3157894736842105
146,14600,0.9710274,100,0.0,40,4000,8.569291,9.5403185,8.569291,72.80181446325224,0.0,0.3076923076923077
146,14600,-0.90027475,100,5.0,42,4200,4.7764945,3.8762197,0.867679,156.40186922857777,1.0,0.3170731707317073
146,14600,-1.3543425,100,0.0,45,4500,6.055825,4.701483,4.701483,207.4228661942542,0.0,0.3409090909090909
