actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
116,-3.0850143,11600,0.29294634,0.0119018555,2.8786416,30,3000,1,0,2.3902435,3.5599651,140.94806,0.0
129,-0.087621,12900,0.5413039,0.015930176,0.69494736,33,3300,5,10.679742574691772,-0.00037267222,0.13788225,30.85645,32.04484731047451
141,-0.034024097,14100,0.5505121,0.014892578,0.6935469,36,3600,10,21.03721261024475,-0.0002291668,0.06591067,30.778671,29.737425300680545
146,-0.022035182,14600,0.5677738,0.015991211,0.6933621,46,4600,15,31.085304737091064,-1.2664175e-05,0.045176208,30.764814,35.76502815457778
150,-0.016108276,15000,0.5607331,0.018676758,0.6933059,62,6200,21,42.90567898750305,7.830351e-05,0.03340202,30.75961,34.85920779018568
154,-0.0121071795,15400,0.56638503,0.019897461,0.6930593,82,8200,27,54.676469802856445,-0.00037806787,0.03140042,30.753399,35.040019319068115
157,-0.018383756,15700,0.5393274,0.015258789,0.692027,101,10100,33,66.5587511062622,-0.0034278128,0.023201216,30.738949,33.48620385963599
162,-0.029166251,16200,0.51876116,0.011413574,0.6900847,116,11600,38,77.13649153709412,-0.009782955,0.001451228,30.715174,26.1983023712383
166,-0.06903249,16600,0.5117004,0.010192871,0.68517524,133,13300,44,88.7935266494751,-0.027736776,-0.04915597,30.676682,29.081819081025394
170,-0.058604307,17000,0.48549676,0.010253906,0.6831292,152,15200,50,100.3674647808075,-0.035701588,-0.060948066,30.690197,27.957262283219233
173,-0.038127594,17300,0.44612265,0.010803223,0.67280424,168,16800,56,111.6905300617218,-0.075468495,-0.11125638,30.86396,30.741919144085774
177,0.053179078,17700,0.43266416,0.011657715,0.669592,184,18400,62,123.2691740989685,-0.09345633,-0.12089189,31.470121,29.574492703039148
180,0.07983041,18000,0.43431902,0.012268066,0.6641869,201,20100,68,134.69673562049866,-0.11315605,-0.12807226,31.907564,29.40281675515738
185,-0.16900752,18500,0.424237,0.01159668,0.6510937,217,21700,74,147.32513809204102,-0.16967663,-0.18385206,34.07676,21.66776627087588
187,-0.16978468,18700,0.42352295,0.011779785,0.64973927,234,23400,80,158.71417093276978,-0.17653102,-0.18982364,35.470135,31.65480723365391
190,-0.21565472,19000,0.44265366,0.012451172,0.63015175,251,25100,86,170.2645833492279,-0.26350904,-0.26121193,39.456738,35.60287926117072
194,-0.2207385,19400,0.44438982,0.0119018555,0.62803423,263,26300,91,180.2790162563324,-0.27779606,-0.28309837,39.849922,33.16289428858186
198,-0.21908787,19800,0.43875456,0.011474609,0.6187639,276,27600,96,190.2931773662567,-0.32005122,-0.30778587,44.192566,35.36568092801834
202,-0.20400445,20200,0.44491172,0.0126953125,0.6175196,286,28600,101,200.44577527046204,-0.32707435,-0.3167622,45.72608,35.333802545672185
205,-0.19152509,20500,0.43626642,0.012573242,0.6125834,303,30300,106,211.83357286453247,-0.35432196,-0.3468271,49.12133,26.351215303989445
209,-0.19607092,20900,0.43751073,0.014282227,0.6036484,317,31700,112,223.4120750427246,-0.39893675,-0.38773894,51.759216,29.634731291876022
213,-0.22474407,21300,0.4674523,0.012878418,0.58183944,334,33400,118,235.13819003105164,-0.5013509,-0.48762769,55.408024,28.727491628230172
216,-0.22944838,21600,0.48004532,0.011047363,0.57668114,351,35100,124,246.58796048164368,-0.53289896,-0.531169,55.395767,29.405203420105202
220,-0.2529702,22000,0.48204494,0.012145996,0.57405347,367,36700,130,258.283084154129,-0.5420424,-0.54575443,53.714905,28.717441969063074
223,-0.25189131,22300,0.497936,0.013305664,0.56700426,383,38300,136,269.93253779411316,-0.6108484,-0.5952949,65.39481,32.117545217959474
