actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
2,200,3.8681793,0.27253616,0.27253616,0.27253616,100,1.0,1.6477796,5.1452255,5.1452255,5.1452255,5.515959,5.417762,5.417762,5.417762,1.6477796,4.5002875,4.5002875,4.5002875,12.510158547459323,1.0,1.0
21,2100,-1.6841605,-1.6078123,-0.88213235,-0.88213235,100,7.0,5.4802737,6.7541795,6.586338,6.586338,3.7961133,5.146367,5.7042055,5.7042055,1.4198157,2.3697038,2.6442738,2.6442738,32.211693978831214,1.0,0.65
37,3700,-2.1359243,-0.0053889034,-0.5488796,-0.5488796,100,0.0,10.480388,5.2415853,6.1788645,6.1788645,8.344463,5.2361956,5.629984,5.629984,0.13672428,1.8237625,2.4684868,2.4684868,39.944637735347,1.0,0.6111111111111112
57,5700,-0.93957615,-0.3686455,-0.470649,-0.470649,100,0.0,6.053777,6.183431,6.1935983,6.1935983,5.114201,5.8147864,5.722949,5.722949,2.8599145,2.3145683,2.1561897,2.1561897,43.74492404276846,0.0,0.6607142857142857
77,7700,3.3640037,-0.052224122,-0.22898632,-0.22898632,100,0.0,5.645844,4.0711246,5.621408,5.621408,9.009848,4.0189004,5.3924217,5.3924217,0.46699184,1.0465277,1.991698,1.991698,46.51744455187561,1.0,0.6933333333333334
98,9800,-1.6825981,0.10283897,-0.1092174,-0.1092174,100,0.0,11.700277,5.0418935,5.6167817,5.6167817,10.017679,5.1447325,5.5075636,5.5075636,0.23511763,1.6438644,2.0092444,2.0092444,44.90671237097751,1.0,0.6666666666666666
117,11700,-7.593752,0.40790287,-0.007788234,-0.15151353,100,0.0,8.746604,5.7511015,5.465363,5.692413,1.1528519,6.1590047,5.457576,5.5409,0.17423628,2.178086,1.7590576,1.9368423,32.997058880218894,1.0,0.6782608695652174
134,13400,-0.80339193,1.5305792,0.20674017,-0.011552165,100,0.0,5.1254177,5.002348,5.3540697,5.598415,4.322026,6.5329275,5.56081,5.586862,3.6130898,2.3866434,1.7751474,1.9572864,42.37699312267412,0.0,0.6590909090909091
149,14900,-3.523439,0.22908373,0.20692745,-0.060399156,100,0.0,11.085918,6.7808523,5.451155,5.748733,7.5624795,7.0099363,5.6580825,5.6883345,2.230867,2.625206,1.8500006,1.9997562,42.627986486871045,0.0,0.6643835616438356
165,16500,3.2798858,-1.7668711,-0.08896166,-0.14401634,100,28.0,1.6348621,5.7603173,5.690341,5.77692,4.9147477,3.993447,5.601379,5.632903,0.07366697,2.3483224,2.0125332,2.0743613,39.779470406133754,1.0,0.6296296296296297
181,18100,0.719841,-0.44090647,-0.034124304,-0.09141779,100,0.0,7.432988,5.462402,5.7316527,5.68855,8.152829,5.0214953,5.697528,5.5971317,1.5929978,1.3217585,2.0031066,1.9883728,40.56320549499723,1.0,0.6460674157303371
198,19800,0.0,-0.39934322,-0.020111816,-0.06466457,100,40.0,4.8432565,6.4613543,5.767722,5.692252,4.8432565,6.062011,5.74761,5.627587,4.8432565,2.8449624,1.9454366,1.9773403,46.60363668687048,0.0,0.6461538461538462
218,21800,2.131199,0.06592198,0.0925226,-0.071048744,100,24.0,5.7004447,4.132217,5.5354395,5.631577,7.8316436,4.1981397,5.627962,5.560528,2.321585,1.1989031,2.0853486,1.9963331,45.383563403243556,0.0,0.6355140186915887
238,23800,-3.5658906,-1.1495403,-0.054807745,-0.050748754,100,0.0,6.3591423,5.7878747,5.4577436,5.5794125,2.7932518,4.6383343,5.4029365,5.528663,1.2768184,1.6502327,2.0199091,1.9848499,49.61552529262048,1.0,0.6239316239316239
258,25800,3.1302428,-1.9047041,-0.14065465,-0.10592763,100,0.0,4.754062,6.9126863,5.4369054,5.6623025,7.884305,5.0079823,5.2962513,5.556375,4.6397815,1.2153281,1.6575668,1.9175313,50.66800450784506,0.0,0.6456692913385826
278,27800,-1.2892332,-0.2747249,-0.11683145,-0.0933949,100,9.0,3.3564157,5.251342,5.4027843,5.5970483,2.0671825,4.976617,5.2859516,5.5036535,2.0671825,1.8459826,1.7374562,1.9183496,41.706028808882,0.0,0.635036496350365
294,29400,3.3804502,-0.2977861,-0.2818296,-0.104715966,100,0.0,6.6683207,5.4348817,5.3718357,5.569298,10.048771,5.1370955,5.0900064,5.4645815,0.25909957,1.6117703,1.6922189,1.8966217,33.67879025945724,1.0,0.6413793103448275
310,31000,-3.7482677,0.74771374,-0.054430198,-0.070777856,100,3.0,4.3601046,4.816463,5.4186296,5.5905824,0.611837,5.564177,5.3641987,5.519805,0.611837,1.966819,1.7421459,1.9281049,38.23345786716705,1.0,0.6274509803921569
324,32400,5.7957144,-0.5937165,-0.31705117,-0.12423165,100,52.0,1.4613334,6.3980966,5.710126,5.621234,7.2570477,5.80438,5.3930745,5.4970016,0.48279932,2.7436745,1.845952,1.9432817,36.732739644268236,1.0,0.6269592476489029
342,34200,-3.8438292,0.6820735,-0.29669747,-0.10342402,100,0.0,8.699263,4.6365333,5.7790294,5.6334352,4.8554335,5.318607,5.4823327,5.5300117,3.418275,1.8536766,2.0309,1.9907585,35.56455185129159,0.0,0.6142433234421365
358,35800,4.9287615,-0.39052552,-0.1069039,-0.10619882,100,17.0,2.4268408,5.7564864,5.538077,5.627795,7.3556023,5.3659606,5.4311724,5.5215964,1.3351713,1.3382261,2.1003492,1.968314,38.91015309766473,1.0,0.6175637393767706
374,37400,-2.9436498,0.21781743,0.01590936,-0.05283042,100,31.0,5.9755583,4.8640223,5.4850965,5.5753055,3.0319085,5.0818396,5.5010066,5.5224752,1.2657175,1.7864659,2.1031404,1.9705627,39.02723343302825,1.0,0.6267029972752044
390,39000,-3.1531422,-1.041881,-0.066364676,-0.07265034,100,0.0,6.2481356,6.201619,5.6119523,5.5846844,3.0949934,5.159738,5.5455866,5.512034,2.08815,2.4326558,2.1801894,1.98273,41.19576124965955,0.0,0.618798955613577
406,40600,2.0494585,0.045027114,-0.06902986,-0.082096994,100,44.0,5.5554323,7.133867,5.7194767,5.6301003,7.604891,7.178893,5.650447,5.5480022,2.206469,3.0463846,2.2537076,1.9949517,34.48689699788407,0.0,0.6115288220551378
422,42200,8.106728,1.768985,0.16319138,-0.048670515,100,73.0,1.6075692,4.8025146,5.6507783,5.620307,9.714296,6.571499,5.8139696,5.5716367,0.18238316,1.2100252,2.1308181,1.9778583,45.89181498820456,1.0,0.6168674698795181
442,44200,4.5091467,-0.122898914,-0.15151161,-0.11425454,100,0.0,4.356824,4.419167,5.721523,5.653275,8.865971,4.2962675,5.570012,5.5390205,2.1866748,1.0149716,1.833452,1.9553292,44.90387584218106,0.0,0.6252873563218391
461,46100,0.099677086,0.9298202,-0.25389287,-0.10256505,100,2.0,5.9831877,4.8786807,5.8569636,5.6492996,6.0828648,5.8085012,5.6030707,5.546735,1.9741455,1.4163258,1.8297845,1.9318262,41.50716906691146,1.0,0.6299559471365639
478,47800,-0.96332586,-0.68742514,-0.2721541,-0.104934536,100,38.0,2.9467144,5.13264,5.8997517,5.642707,1.9833885,4.4452143,5.627597,5.537772,0.77433074,1.1855226,1.7194185,1.92105,35.56835192240047,1.0,0.6305732484076433
494,49400,-0.8095832,-0.57935596,-0.24485298,-0.09566626,100,0.0,7.0285068,6.7713118,5.9767013,5.64537,6.2189236,6.1919556,5.731849,5.5497036,3.4834216,2.391821,1.7100657,1.9185203,39.4490920688618,0.0,0.6303901437371663
