actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
3,300,-0.9104996,100,0.0,1,100,5.581605,4.6711054,4.5467143,12.382347806985058,0.0,nan
6,600,-3.160406,100,0.0,2,200,7.839424,4.679018,2.639634,40.510663944258894,0.0,0.0
10,1000,1.7617302,100,0.0,3,300,4.5147605,6.2764907,3.9320092,47.35825253713554,0.0,0.0
13,1300,-3.0915124,100,0.0,4,400,6.5892873,3.4977748,2.5915892,41.58834135425781,0.0,0.0
16,1600,-0.047003746,100,3.0,5,500,1.9899997,1.9429959,1.9072517,39.636051374956615,1.0,0.0
20,2000,3.7629128,100,30.0,6,600,2.6508837,6.4137964,0.24659997,34.48302964322599,1.0,0.2
25,2500,-2.7027562,100,50.0,7,700,3.4236636,0.7209074,0.009219662,32.128900938779196,1.0,0.3333333333333333
29,2900,-0.28186607,100,0.0,8,800,4.682969,4.401103,2.449358,33.300617358542574,0.0,0.42857142857142855
33,3300,-2.0049748,100,0.0,9,900,8.417619,6.412644,6.412644,43.914631286226424,0.0,0.375
36,3600,2.0321293,100,0.0,10,1000,5.0349884,7.0671177,3.6602488,42.537462758331195,0.0,0.3333333333333333
40,4000,1.3789835,100,1.0,11,1100,2.2797158,3.6586993,1.9676263,40.19895988656933,1.0,0.3
45,4500,-0.66745186,100,0.0,12,1200,6.245679,5.578227,4.4713144,42.6379403606152,0.0,0.36363636363636365
49,4900,-1.8172297,100,0.0,13,1300,6.981497,5.164267,4.396753,43.30727100539515,0.0,0.3333333333333333
54,5400,0.734113,100,0.0,14,1400,3.514527,4.24864,3.1592836,42.86563272661159,0.0,0.3076923076923077
58,5800,4.2609096,100,0.0,15,1500,5.379647,9.640556,4.949739,40.62757203340208,0.0,0.2857142857142857
61,6100,-1.0761404,100,0.0,16,1600,8.708799,7.632659,6.643289,40.68506195292185,0.0,0.26666666666666666
65,6500,0.031187296,100,0.0,17,1700,3.5965173,3.6277046,2.862872,44.20591888475096,0.0,0.25
69,6900,-2.429284,100,0.0,18,1800,8.807611,6.3783274,5.0115514,45.4537513966208,0.0,0.23529411764705882
73,7300,4.1975164,100,48.0,19,1900,0.35857794,4.556094,0.23079368,43.9822091541169,1.0,0.2222222222222222
78,7800,-2.7123208,100,16.0,20,2000,5.063513,2.351192,0.96714485,44.00239614183397,1.0,0.2631578947368421
82,8200,0.31153607,100,64.0,21,2100,1.1132001,1.4247361,0.022271803,43.24520501731745,1.0,0.3
86,8600,0.97795844,100,0.0,22,2200,3.5082552,4.4862137,3.5051126,46.991406708035676,0.0,0.3333333333333333
90,9000,-0.40257215,100,0.0,23,2300,4.7452903,4.342718,3.035645,44.40476466492343,0.0,0.3181818181818182
94,9400,-0.97651565,100,67.0,24,2400,2.1569493,1.1804336,0.19174024,49.068899135858004,1.0,0.30434782608695654
98,9800,-0.35048008,100,0.0,25,2500,5.4297996,5.0793195,4.7254634,43.4123303196692,0.0,0.3333333333333333
102,10200,0.076420784,100,0.0,26,2600,6.2992654,6.375686,2.5217888,44.55422974251986,0.0,0.32
106,10600,-3.0120668,100,0.0,27,2700,10.204148,7.1920815,4.6346464,43.078246569241976,0.0,0.3076923076923077
110,11000,0.19945145,100,0.0,28,2800,5.4148364,5.614288,4.449777,46.461263098684036,0.0,0.2962962962962963
114,11400,-2.291727,100,0.0,29,2900,10.46958,8.177853,7.608082,39.062024303684204,0.0,0.2857142857142857
118,11800,-0.19789696,100,0.0,30,3000,8.077569,7.879672,6.7392545,33.98981983864839,0.0,0.27586206896551724
122,12200,-2.7356596,100,0.0,31,3100,10.026499,7.290839,6.4661665,33.735714234007865,0.0,0.26666666666666666
126,12600,-1.7456355,100,91.0,32,3200,1.9774743,0.23183878,0.06781545,39.592302470063444,1.0,0.25806451612903225
130,13000,-0.39425278,100,0.0,33,3300,9.564673,9.170421,7.547238,38.15598937386321,0.0,0.28125
134,13400,-0.5611148,100,5.0,34,3400,4.1571007,3.595986,1.5522798,42.51705424596391,1.0,0.2727272727272727
138,13800,2.5496073,100,0.0,35,3500,7.532899,10.082506,7.089029,41.729526703668014,0.0,0.29411764705882354
142,14200,1.5263662,100,0.0,36,3600,8.441776,9.9681425,7.2849717,36.19354046492298,0.0,0.2857142857142857
146,14600,2.208724,100,0.0,37,3700,5.4822392,7.6909633,2.2977436,37.216295119268956,0.0,0.2777777777777778
150,15000,0.04935932,100,0.0,38,3800,8.928738,8.978097,8.326493,38.716224642318565,0.0,0.2702702702702703
154,15400,-1.6987128,100,0.0,39,3900,6.167142,4.468429,4.00571,36.56334999922415,0.0,0.2631578947368421
158,15800,0.034599304,100,0.0,40,4000,5.3669796,5.401579,4.331623,36.68004420525728,0.0,0.2564102564102564
162,16200,-0.7816248,100,20.0,41,4100,4.022502,3.2408772,1.1082828,38.911593404248606,1.0,0.25
166,16600,-0.109443665,100,0.0,42,4200,7.404942,7.2954984,5.536563,38.99934959304237,0.0,0.2682926829268293
170,17000,-0.36251998,100,21.0,43,4300,3.2202752,2.8577552,0.37713015,41.42224228991315,1.0,0.2619047619047619
174,17400,-0.74419045,100,5.0,44,4400,4.0439043,3.2997139,1.6189164,35.61966895471492,1.0,0.27906976744186046
178,17800,-0.38857174,100,0.0,45,4500,5.540143,5.1515713,4.041523,35.14724909331027,0.0,0.29545454545454547
182,18200,-2.0989866,100,6.0,46,4600,4.3029747,2.203988,1.3517984,41.92578753842794,1.0,0.28888888888888886
186,18600,-9.410046,100,15.0,47,4700,10.534907,1.1248615,0.13883215,38.77843649908798,1.0,0.30434782608695654
190,19000,-3.2887373,100,0.0,48,4800,8.267757,4.97902,4.4546156,48.93320168759477,0.0,0.3191489361702128
193,19300,0.24292779,100,26.0,49,4900,2.3869214,2.6298492,1.2772983,40.0799055505308,1.0,0.3125
198,19800,-1.3075151,100,0.0,50,5000,9.504767,8.197252,6.996988,44.74531371083095,0.0,0.32653061224489793
202,20200,0.5696025,100,0.0,51,5100,5.683324,6.2529263,5.515782,37.73611930587128,0.0,0.32
206,20600,-1.9311829,100,0.0,52,5200,10.789922,8.858739,8.802832,33.91243609234478,0.0,0.3137254901960784
210,21000,-4.9908304,100,18.0,53,5300,6.137146,1.1463156,0.3102954,48.191906161969825,1.0,0.3076923076923077
214,21400,0.6599531,100,0.0,54,5400,8.41841,9.078363,5.2426124,47.42772968696236,0.0,0.32075471698113206
218,21800,3.52596,100,0.0,55,5500,6.959344,10.485304,6.959344,46.72740268838,0.0,0.3148148148148148
222,22200,1.9155781,100,17.0,56,5600,1.2409492,3.1565273,1.1072253,44.13447559752949,1.0,0.3090909090909091
226,22600,1.8677487,100,0.0,57,5700,5.0373755,6.905124,3.2968583,43.472827047383916,0.0,0.32142857142857145
230,23000,1.0751567,100,0.0,58,5800,4.444672,5.519829,2.8569014,50.582110377746446,0.0,0.3157894736842105
234,23400,-2.985094,100,0.0,59,5900,7.219051,4.233957,2.144267,51.7510169312514,0.0,0.3103448275862069
238,23800,1.3529062,100,0.0,60,6000,8.78283,10.135736,8.028689,50.10431071308772,0.0,0.3050847457627119
242,24200,-0.20906544,100,0.0,61,6100,9.364167,9.155102,6.868053,49.4296090417809,0.0,0.3
246,24600,1.0709155,100,48.0,62,6200,1.4904258,2.5613413,0.1788536,45.10272977551566,1.0,0.29508196721311475
250,25000,-4.0487585,100,45.0,63,6300,6.374044,2.3252857,0.27049774,41.2478203621422,1.0,0.3064516129032258
