actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
3,300,-2.9859395,-0.14218712,-0.14218712,-0.14218712,100,0.0,1,100,8.037867,6.2517505,6.2517505,6.2517505,5.051927,6.109564,6.109564,6.109564,4.49932,5.0748467,5.0748467,5.0748467,14.720398333044493,0.0,0.5
32,3200,-2.373773,1.5502266,0.2898463,0.2898463,100,0.0,8,800,7.562487,4.2231727,5.580553,5.580553,5.188714,5.773399,5.8703985,5.8703985,4.127872,1.3329359,3.0554607,3.0554607,74.35332892280223,0.0,0.5
63,6300,-0.20085984,-1.5415713,-0.4378115,-0.4378115,100,0.0,16,1600,0.9853936,7.1961412,6.5156097,6.5156097,0.78453374,5.65457,6.0777984,6.0777984,0.210795,2.3029463,3.00225,3.00225,73.94253878837166,1.0,0.36065573770491804
95,9500,-4.4799237,-0.77461565,-0.32611358,-0.32611358,100,0.0,24,2400,9.364731,6.957736,6.329352,6.329352,4.884807,6.1831207,6.003238,6.003238,0.93814546,3.2943096,2.8435564,2.8435564,76.37154741502688,1.0,0.3548387096774194
115,11500,0.29839277,-0.041155506,-0.24324705,-0.27416167,100,12.0,29,2900,5.3322134,5.6992297,6.103551,6.196396,5.630606,5.6580744,5.8603044,5.922235,1.4981803,1.7748454,2.2885168,2.6487355,42.458137882982555,1.0,0.40707964601769914
131,13100,-1.1340723,-1.0615563,-0.40566447,-0.26435786,100,0.0,33,3300,6.1292768,6.157368,6.2576585,6.1038585,4.9952044,5.095812,5.8519945,5.8395004,1.2420268,1.7763827,2.3370817,2.5258708,32.74287751561868,1.0,0.43410852713178294
147,14700,0.509943,-0.7037233,-0.5220201,-0.3458518,100,0.0,37,3700,4.3888736,5.5424566,5.9802637,6.0572553,4.8988166,4.838733,5.4582434,5.711403,2.9788387,2.028186,2.1327047,2.4294732,30.847052804944113,0.0,0.4689655172413793
154,15400,-5.8589883,-1.2265065,-0.45341828,-0.38821578,100,0.0,67,6700,8.188656,6.216502,5.8921604,6.0839953,2.3296676,4.9899964,5.438742,5.6957793,1.7362925,2.94587,2.1135857,2.471366,7.757845653329078,1.0,0.45394736842105265
162,16200,1.0666165,-1.3227484,-0.4047241,-0.4293334,100,0.0,92,9200,2.4817746,6.0291457,5.7347507,6.061651,3.548391,4.7063975,5.3300266,5.6323175,0.40898773,2.7412484,2.1233892,2.4678237,10.73644443590051,1.0,0.44375
166,16600,1.1199827,0.060879637,-0.31147483,-0.40131587,100,60.0,108,10800,4.238305,4.711986,5.727526,6.0091743,5.358288,4.772866,5.416051,5.6078577,1.2666519,2.0765896,2.1589594,2.4495268,9.705707664771198,1.0,0.45121951219512196
174,17400,-3.365518,-1.443996,-0.5074289,-0.47501972,100,0.0,135,13500,5.9353747,5.606868,5.6748695,5.993178,2.5698566,4.1628714,5.167441,5.5181584,0.035917774,2.0007052,2.03555,2.4167895,11.024209106466929,1.0,0.46511627906976744
182,18200,3.933281,-0.29639518,-0.6094364,-0.4553629,100,5.0,160,16000,1.6588138,4.74683,5.707579,5.9359183,5.592095,4.4504347,5.0981426,5.4805546,1.6588138,1.7567832,2.0592055,2.395044,9.835061281192372,1.0,0.4777777777777778
190,19000,-1.9448726,-0.5795597,-0.6639695,-0.46718207,100,0.0,187,18700,5.942701,5.65693,5.5991,5.9284573,3.9978282,5.0773697,4.935131,5.461275,0.16904083,1.9695915,1.9310309,2.3640268,9.658179789805436,1.0,0.48936170212765956
198,19800,0.8032079,-0.16728787,-0.64792615,-0.45676833,100,3.0,213,21300,4.208285,5.2182984,5.571973,5.8822517,5.0114927,5.05101,4.924047,5.4254827,3.2255886,1.9732296,1.9296691,2.3526428,11.104202448031783,0.0,0.5
202,20200,-0.18552876,-0.75755084,-0.7343978,-0.5103881,100,0.0,225,22500,7.240928,5.1918054,5.5454426,5.8967476,7.0553994,4.4342546,4.8110447,5.3863597,0.23410629,2.3506937,1.9320593,2.3500574,9.655715582850096,1.0,0.5
210,21000,3.426547,-0.5092166,-0.6268055,-0.45766997,100,22.0,252,25200,3.463314,5.793626,5.4462905,5.8764396,6.889861,5.2844095,4.819484,5.4187703,0.07419403,1.4855437,1.9127717,2.3239088,10.610334343982547,1.0,0.5048076923076923
214,21400,4.4742384,1.5524114,-0.6496782,-0.43255365,100,0.0,268,26800,4.806016,4.7077713,5.4866595,5.8647146,9.280254,6.260183,4.8369813,5.4321604,4.7041883,1.7769406,1.9345447,2.3239539,9.728124879103062,0.0,0.5047169811320755
