actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
1007,-1.9148952,100700,0.36006403,0.012207031,1.964402,254,25400,1,0,1.4051734,2.3038979,94.0961,0.0
1017,-0.045691848,101700,0.5482218,0.016113281,0.69398856,256,25600,5,10.0078444480896,-1.0837848e-05,0.09141633,30.799572,23.746956695129175
1032,-0.022613289,103200,0.560554,0.016906738,0.69337285,261,26100,10,20.590955018997192,-5.307544e-05,0.049466245,30.766266,30.723292149644788
1044,-0.014715425,104400,0.57692933,0.01751709,0.693274,264,26400,15,31.266292333602905,6.192381e-05,0.035046242,30.758572,30.833909880388504
1058,-0.012690147,105800,0.60397124,0.018371582,0.6932421,268,26800,20,41.87005305290222,9.276417e-05,0.02996109,30.756126,31.72697790219477
1070,-0.01157614,107000,0.6095624,0.019958496,0.69321316,272,27200,25,52.51457643508911,7.808188e-05,0.027335186,30.754642,27.550245204822463
1084,-0.011800343,108400,0.61348176,0.018798828,0.69319963,276,27600,30,62.87759256362915,7.599793e-05,0.024588041,30.753704,29.074316115430584
1096,-0.011243071,109600,0.6230664,0.019348145,0.6932374,280,28000,35,73.53693294525146,0.0001642348,0.024410425,30.754375,32.630384381105614
1110,-0.010366122,111000,0.6252265,0.020812988,0.693206,284,28400,40,84.15502548217773,0.00011023777,0.022762675,30.753363,32.138844457044996
1125,-0.0096723735,112500,0.629302,0.018920898,0.69320047,288,28800,45,94.7551920413971,0.00010076804,0.022233378,30.753149,32.422752306343426
1138,-0.0110971015,113800,0.6233659,0.01940918,0.6932401,291,29100,50,105.1283483505249,0.00018159061,0.02217207,30.754002,28.433221419674737
1151,-0.009361763,115100,0.58625007,0.01965332,0.693149,294,29400,55,115.43871450424194,-5.496195e-05,0.020146644,30.752289,29.94152647930253
1155,-0.013855972,115500,0.5877869,0.01739502,0.6931585,309,30900,61,127.20316505432129,-8.0738784e-05,0.020548712,30.75304,32.55046183053005
1158,-0.016981352,115800,0.54302025,0.0138549805,0.69312173,327,32700,67,138.52459597587585,-0.00052279956,0.015459683,30.755371,35.411270667972296
1163,-0.020044193,116300,0.5248728,0.012451172,0.6926082,343,34300,73,150.22681665420532,-0.00223304,0.007260872,30.749718,32.60084901606776
1166,-0.028965082,116600,0.49253082,0.014892578,0.69121665,362,36200,79,161.58722472190857,-0.0067946333,-0.009418853,30.738434,35.55888171755856
1170,-0.03397465,117000,0.45689654,0.0146484375,0.6893714,374,37400,84,171.7027885913849,-0.014121084,-0.01941045,30.772226,31.6870993524952
1174,-0.05470534,117400,0.40339446,0.013366699,0.68699056,392,39200,90,183.42440938949585,-0.023371562,-0.028653856,31.075912,35.00206490121698
1178,-0.05585119,117800,0.35988402,0.01550293,0.68507737,405,40500,96,194.99715065956116,-0.031749744,-0.028253317,32.370163,36.62275009256801
1182,-0.055588983,118200,0.329854,0.016357422,0.6838078,419,41900,102,206.5820393562317,-0.037382357,-0.023278276,36.087746,35.447669894258674
1186,-0.05992576,118600,0.29121685,0.018737793,0.6791971,434,43400,108,218.0238823890686,-0.055830866,-0.039036132,40.313744,36.21824791597181
1189,-0.06576226,118900,0.2723844,0.016540527,0.6748705,450,45000,113,228.28929328918457,-0.07452221,-0.053728335,49.58136,32.36547416933661
1193,-0.071178555,119300,0.2828436,0.017822266,0.6682727,465,46500,119,240.02772903442383,-0.10650307,-0.085040495,63.204613,31.53124170050287
1197,-0.07515195,119700,0.27777982,0.019470215,0.66539,480,48000,125,251.71824979782104,-0.12292296,-0.08936705,81.20166,31.058605192326763
1201,-0.08179904,120100,0.28069925,0.01751709,0.6587161,495,49500,131,263.50425243377686,-0.15276423,-0.106111564,94.01079,28.725382768138342
