actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
1,100,-1.3595552,0.0,0.0,0.0,100,0.0,3.4332912,8.174657,8.174657,8.174657,2.073736,8.174657,8.174657,8.174657,1.3230538,8.174657,8.174657,8.174657,13.544616621482465,1.0,nan
25,2500,5.359567,-0.95719355,-1.3050194,-1.3050194,100,19.0,5.482919,6.308063,6.6286693,6.6286693,10.842486,5.3508697,5.32365,5.32365,1.0908997,2.3271883,2.8175693,2.8175693,55.956164711055514,1.0,0.5454545454545454
49,4900,2.6900606,-0.15623704,-0.90599275,-0.90599275,100,6.0,6.0966825,5.687565,6.208493,6.208493,8.786743,5.531328,5.3025002,5.3025002,0.07847854,2.4884772,2.5249412,2.5249412,60.04550472290808,1.0,0.5
75,7500,0.3966365,0.6118835,-0.6571096,-0.6571096,100,2.0,7.431254,5.2782764,6.2914476,6.2914476,7.8278904,5.8901606,5.634338,5.634338,4.2161617,1.9987854,2.4557729,2.4557729,54.95615094786593,0.0,0.4788732394366197
98,9800,-5.4605393,-0.47601494,-0.59412843,-0.59412843,100,11.0,6.781417,6.642128,6.351909,6.351909,1.3208776,6.166113,5.7577806,5.7577806,1.3208776,2.4591458,2.5178573,2.5178573,61.106655436910785,1.0,0.46236559139784944
113,11300,3.2888858,-0.582149,-0.4768516,-0.59608626,100,1.0,2.5738652,5.4207306,6.1685734,6.216831,5.862751,4.838581,5.691723,5.6207457,1.4617033,1.5710922,2.235909,2.3611267,39.52067552277711,1.0,0.49074074074074076
125,12500,-2.2238064,0.29848447,-0.27016076,-0.49017,100,0.0,9.135692,5.236253,5.958941,6.1013246,6.9118853,5.534737,5.68878,5.6111536,1.2154145,2.0347383,2.1857522,2.3200755,27.903234551466728,1.0,0.5083333333333333
137,13700,-4.0981054,-1.5196311,-0.33548522,-0.5351412,100,100.0,8.549828,6.286536,5.9553046,6.077085,4.451722,4.766906,5.6198187,5.541944,1.4907047,1.7096174,2.1395338,2.2602637,27.820978017581265,1.0,0.5419847328244275
148,14800,-7.3724494,-0.99432564,-0.5104939,-0.5895066,100,0.0,12.934016,6.678889,6.128844,6.1336904,5.561567,5.684563,5.618351,5.5441837,5.561567,3.4782767,2.2231312,2.3363338,16.673312584500913,0.0,0.5460992907801419
152,15200,-0.027135849,-3.0986483,-0.68422097,-0.7280381,100,0.0,6.9421496,9.346877,6.2814236,6.2551517,6.915014,6.2482285,5.597203,5.527114,6.736447,4.6679955,2.4039667,2.402585,7.656413116533205,0.0,0.5310344827586206
156,15600,0.75462794,-3.0496674,-0.7311385,-0.8174699,100,2.0,3.889077,9.0009575,6.2483993,6.30456,4.643705,5.9512906,5.5172606,5.4870906,3.889077,4.7285833,2.410891,2.438431,8.518726781094216,0.0,0.5234899328859061
160,16000,-1.0705233,-4.1680517,-0.78821564,-0.8597482,100,0.0,6.6908913,9.13385,6.318634,6.361466,5.620368,4.9657974,5.530418,5.501718,4.387039,4.753654,2.5547037,2.5183911,8.655209573577547,0.0,0.5098039215686274
164,16400,-1.6073923,-2.7192822,-0.9270377,-0.8944963,100,0.0,10.757973,7.916703,6.371785,6.3796506,9.15058,5.197421,5.4447465,5.4851546,3.4917881,4.47388,2.5811896,2.5418324,8.740395821209969,0.0,0.5031847133757962
168,16800,3.7012806,-2.3182492,-1.0710917,-0.9404758,100,99.0,1.2618928,8.070659,6.440037,6.431256,4.9631734,5.75241,5.3689446,5.4907794,1.2618928,4.0627146,2.5806663,2.553486,7.655199052050613,1.0,0.4968944099378882
172,17200,-7.7713337,-0.87444466,-1.0776832,-0.8917026,100,0.0,9.021938,6.504509,6.4623995,6.39387,1.2506046,5.630064,5.384717,5.502167,0.035963234,3.4920506,2.6633673,2.587104,8.63839478705511,1.0,0.4909090909090909
176,17600,-2.016509,-0.11982808,-1.0458549,-0.86693716,100,0.0,10.62191,5.9720845,6.4480505,6.3831816,8.605401,5.852257,5.402196,5.5162444,7.089571,3.9032757,2.7153254,2.6114788,8.658910793753583,0.0,0.4911242603550296
180,18000,-3.720252,0.37206763,-0.9504985,-0.82491547,100,0.0,5.9834843,6.0752783,6.4000273,6.376925,2.2632322,6.4473467,5.44953,5.5520096,2.2632322,4.1157346,2.766522,2.6471658,7.703270798719491,0.0,0.4797687861271676
184,18400,-6.5828524,1.2395971,-0.9251861,-0.80130595,100,0.0,9.93237,5.844978,6.397306,6.380279,3.349518,7.0845747,5.472121,5.578973,0.254664,4.031994,2.7783766,2.673327,7.605990794190315,1.0,0.4689265536723164
188,18800,-1.6371975,-0.030011702,-1.0253258,-0.8272909,100,4.0,4.85448,6.3214097,6.4519563,6.3892913,3.2172823,6.2913985,5.42663,5.5620003,3.2172823,2.8892474,2.7608109,2.6488178,8.61915169034919,0.0,0.47513812154696133
192,19200,9.003132,-0.5096755,-0.9472983,-0.8026827,100,94.0,0.63166076,6.517878,6.4163146,6.3733764,9.634792,6.0082026,5.469016,5.570694,0.63166076,2.4185734,2.7521863,2.6438434,8.764080489131468,1.0,0.4756756756756757
197,19700,1.5494206,-0.44505566,-0.94129694,-0.7769808,100,0.0,3.1815422,5.867976,6.3612905,6.352458,4.7309628,5.422921,5.4199944,5.5754776,3.1815422,2.247794,2.732726,2.6344926,7.414576708383631,0.0,0.47368421052631576
201,20100,0.4418578,-0.016297245,-0.92133987,-0.77704614,100,0.0,7.1283755,5.6217566,6.3304005,6.3420625,7.5702333,5.605459,5.409062,5.565017,7.1283755,2.907268,2.8368027,2.6441605,7.4499741365734575,0.0,0.4639175257731959
209,20900,-0.46030903,0.52168334,-0.78226924,-0.7357153,100,0.0,6.1680317,6.1745105,6.3968587,6.345346,5.7077227,6.6961927,5.6145887,5.609631,2.682873,3.66587,3.0259705,2.6849463,8.583696538180458,0.0,0.45544554455445546
213,21300,2.561045,1.3143715,-0.7237014,-0.6554422,100,0.0,3.612809,5.7494097,6.405054,6.304377,6.173854,7.063781,5.681353,5.648935,3.612809,2.703878,3.0171146,2.6662376,7.567218378658209,0.0,0.4563106796116505
217,21700,2.8636608,1.4803315,-0.81849444,-0.65015584,100,91.0,1.4249331,5.68866,6.554668,6.3246,4.288594,7.1689925,5.736173,5.6744447,1.0754988,2.4501958,3.0922256,2.6816928,8.515877274921058,1.0,0.45714285714285713
221,22100,-1.0162134,1.0303886,-0.86629003,-0.62431455,100,4.0,8.141858,5.7241535,6.609873,6.3009624,7.1256447,6.7545424,5.743582,5.676648,2.814268,2.3823678,3.1133852,2.6692889,8.517984774626987,0.0,0.46261682242990654
225,22500,-0.06515217,-0.9212624,-0.86330396,-0.6545462,100,0.0,9.184136,6.3608828,6.582182,6.313155,9.118984,5.4396205,5.7188783,5.658609,9.118984,3.1273007,3.1490226,2.6852505,7.370056208683497,0.0,0.4541284403669725
