actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
2,200,6.72023,0.23220056,0.23220056,0.23220056,100,26.0,1,100,1.6766996,4.4277854,4.4277854,4.4277854,8.39693,4.6599855,4.6599855,4.6599855,1.6766996,3.9475796,3.9475796,3.9475796,13.75360571499925,1.0,1.0
30,3000,0.0,-0.6898383,-0.8293326,-0.8293326,100,0.0,7,700,7.682368,5.9599314,6.17782,6.17782,7.682368,5.2700925,5.348487,5.348487,7.682368,2.637944,2.780346,2.780346,65.46576750629715,0.0,0.3333333333333333
58,5800,0.5041282,0.29018402,-0.36383393,-0.36383393,100,3.0,14,1400,2.919737,5.5852084,6.185884,6.185884,3.4238653,5.875392,5.8220506,5.8220506,2.9022727,2.4158614,2.8258858,2.8258858,68.97797962780903,0.0,0.3584905660377358
86,8600,-0.815459,-1.5017481,-0.5420268,-0.5420268,100,44.0,21,2100,3.9261997,7.0927,6.1846843,6.1846843,3.1107407,5.590953,5.6426578,5.6426578,0.40949062,3.429774,2.8858616,2.8858616,62.695605003864756,1.0,0.3924050632911392
107,10700,-1.1746068,1.4762937,-0.20224719,-0.28262764,100,0.0,26,2600,7.3722024,4.483768,5.9396453,5.8866796,6.1975956,5.9600616,5.7373986,5.604052,0.9185775,1.2941905,2.6432695,2.630568,24.876120678754532,1.0,0.44
124,12400,3.7111993,0.8467063,-0.10496391,-0.19019623,100,0.0,31,3100,6.9346347,5.160694,5.7073474,5.786308,10.645834,6.0074005,5.6023827,5.596111,2.357689,1.8978456,2.4007194,2.5103624,17.10912760052944,0.0,0.46153846153846156
136,13600,-6.1674566,-1.3648403,-0.053251065,-0.22672074,100,0.0,34,3400,11.530169,8.051571,5.820205,5.9306264,5.362712,6.6867304,5.766955,5.703906,2.3314629,3.3246467,2.4083705,2.5671558,28.954292190314906,0.0,0.4186046511627907
148,14800,0.22337437,-0.1053257,-0.15656751,-0.26925752,100,0.0,38,3800,6.827693,5.429659,5.736866,5.926584,7.0510674,5.324333,5.5802984,5.6573257,6.827693,2.9121616,2.426575,2.5870137,29.977354229241527,0.0,0.42857142857142855
152,15200,0.10053325,-1.0642679,-0.3460871,-0.34295228,100,0.0,53,5300,2.670306,7.640722,5.8520927,6.0099835,2.7708392,6.576453,5.5060053,5.667031,1.0567405,4.485259,2.4620752,2.639018,8.514766873079648,1.0,0.4166666666666667
160,16000,4.4122043,-3.0365968,-0.52783865,-0.47425938,100,1.0,84,8400,2.200667,7.4038177,5.9891233,6.0574117,6.612871,4.367221,5.4612856,5.5831523,2.200667,2.5920873,2.448511,2.6105049,10.185734851025726,0.0,0.42105263157894735
168,16800,3.632883,0.106440686,-0.30269143,-0.40895107,100,0.0,115,11500,4.359958,5.9768,5.925768,6.0280333,7.9928412,6.0832405,5.623077,5.619082,4.359958,2.9029744,2.4695966,2.6131704,9.017489910560036,0.0,0.43125
176,17600,1.776722,-0.7230061,-0.51275176,-0.47166324,100,0.0,141,14100,8.758903,7.385955,6.1691823,6.124963,10.5356245,6.6629486,5.6564317,5.6533003,8.758903,3.182671,2.5286603,2.6546297,10.462071255160502,0.0,0.4226190476190476
184,18400,4.3099895,-1.7494099,-0.59849966,-0.54744095,100,0.0,169,16900,3.4142485,7.4928374,6.2258954,6.215695,7.724238,5.7434278,5.627395,5.6682544,3.4142485,3.6815293,2.530598,2.7155998,9.1990159126177,0.0,0.42045454545454547
