actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
116,-1.4371414,11600,0.34155965,0.013671875,1.651484,29,2900,1,0,1.1048887,1.7250348,68.98097,0.0
127,-0.031529207,12700,0.5535495,0.017150879,0.69352394,32,3200,6,11.497231245040894,-0.00020167403,0.07003756,30.777603,31.406961385888977
136,-0.018676676,13600,0.56962943,0.01953125,0.693225,35,3500,11,21.58899974822998,-0.0001506964,0.0437282,30.759966,32.04867316438129
147,-0.014052508,14700,0.5876143,0.0178833,0.69324565,39,3900,17,33.228129863739014,7.953639e-05,0.030702818,30.756523,31.934532861516534
151,-0.011677429,15100,0.59907246,0.019104004,0.6931934,54,5400,23,44.68113136291504,3.89981e-05,0.025164751,30.753916,36.981493097263495
155,0.015708886,15500,0.461298,0.020751953,0.691112,67,6700,29,56.264549255371094,-0.007954817,0.03365828,31.28393,35.08338338982005
159,-0.18368205,15900,0.3237896,0.019104004,0.6586554,84,8400,35,67.88414096832275,-0.14700496,-0.1394696,64.27065,31.990084860248967
163,-0.59531164,16300,0.37535882,0.019836426,0.6276526,99,9900,41,79.29053807258606,-0.29142398,-0.26762542,70.61575,35.52635802874343
167,-1.2629502,16700,0.3817191,0.022277832,0.6003283,115,11500,47,90.53436708450317,-0.42284027,-0.39675218,65.830444,33.40214743457733
171,-1.8559432,17100,0.39715576,0.023376465,0.5814065,130,13000,53,102.01203918457031,-0.5497707,-0.50910604,64.26149,33.16161198008837
175,-2.2555852,17500,0.4442923,0.023254395,0.5548743,146,14600,59,113.37446737289429,-0.72141314,-0.6782512,91.81531,33.614829444804954
179,-1.3633361,17900,0.4318421,0.020690918,0.55781865,161,16100,65,124.98552060127258,-0.702701,-0.6435099,61.184322,29.259649449426625
183,-1.8385744,18300,0.41021132,0.023010254,0.563503,177,17700,71,136.37380075454712,-0.687556,-0.5592272,73.31891,30.61026409952997
187,-1.9264568,18700,0.4328308,0.023254395,0.5546727,193,19300,77,147.65642595291138,-0.760658,-0.61740947,74.16487,29.86289313633547
191,-1.3030791,19100,0.44484305,0.019897461,0.5717246,210,21000,83,159.04062724113464,-0.6931915,-0.56773365,75.34233,26.9107201396125
193,-1.6611438,19300,0.52229667,0.01940918,0.5259173,227,22700,89,170.08043098449707,-0.99742717,-0.8230434,69.138245,33.542239395979564
197,-2.5976639,19700,0.5102153,0.020568848,0.5347634,243,24300,95,181.76194882392883,-0.9407191,-0.702501,45.553825,29.073223437201143
200,-1.1627553,20000,0.5611875,0.018798828,0.5441886,258,25800,101,192.8648898601532,-0.8850348,-0.68848354,56.40291,37.39479832392016
204,-1.1479603,20400,0.5276718,0.019042969,0.5480151,274,27400,107,204.3069887161255,-0.901103,-0.7064569,52.6585,37.07070413296184
208,-1.2989452,20800,0.5739758,0.019104004,0.5258094,290,29000,113,215.4203577041626,-1.03454,-0.7870157,35.601242,37.706094531189315
212,-2.0695813,21200,0.6208439,0.019226074,0.49626946,306,30600,119,226.8369677066803,-1.2214494,-0.9296635,46.732033,37.346809057380575
216,-2.6901937,21600,0.6068938,0.020568848,0.49493423,322,32200,125,238.33155918121338,-1.2315809,-0.89377266,40.668365,32.145714377068046
220,-2.460915,22000,0.5983734,0.01953125,0.49579424,335,33500,131,249.83660578727722,-1.2158859,-0.9057566,43.34304,37.45238232101549
224,-2.2756653,22400,0.61932015,0.019104004,0.48489514,351,35100,137,261.25200390815735,-1.2787061,-1.0093098,46.51023,33.24114665817668
227,-1.8361964,22700,0.6204672,0.020019531,0.4704851,367,36700,143,272.47567558288574,-1.3696692,-1.0578337,42.909035,36.12870618576612
231,-1.8228661,23100,0.6029053,0.0178833,0.48341787,381,38100,149,283.8338191509247,-1.3375381,-0.9892832,52.74041,34.62351079881264
235,-2.083736,23500,0.59150434,0.018859863,0.47168463,393,39300,155,295.1888041496277,-1.3370123,-1.0267646,44.830593,36.69979228528433
239,-2.1531768,23900,0.6259341,0.018249512,0.44108304,410,41000,161,306.648827791214,-1.6000655,-1.1730978,37.205193,36.743079073966754
243,-1.8958251,24300,0.6010821,0.018493652,0.46248046,423,42300,167,318.06801080703735,-1.4480027,-1.0874066,35.29842,37.96968456084114
247,-1.7229402,24700,0.5687032,0.018249512,0.48638213,437,43700,173,329.50870180130005,-1.328876,-0.9591034,39.277966,35.684995750005115
251,-1.93374,25100,0.61097264,0.016601562,0.45162624,450,45000,179,340.68288683891296,-1.6531074,-1.1788602,38.62556,35.749310045547716
255,-2.001162,25500,0.6098964,0.018432617,0.45195037,467,46700,185,352.17546129226685,-1.6204259,-1.1526818,34.977333,36.17529602145866
259,-1.8207159,25900,0.6294558,0.021362305,0.44195896,478,47800,190,362.2009789943695,-1.7374966,-1.1938107,40.348392,31.121728201059693
262,-1.6478379,26200,0.61568713,0.019897461,0.45076916,493,49300,196,373.6352119445801,-1.7330446,-1.3016818,44.06244,38.05965303652238
266,-1.9656687,26600,0.62352586,0.019470215,0.444242,508,50800,202,384.8173384666443,-1.7055883,-1.1869984,32.629482,37.181063653496096
270,-1.7125491,27000,0.5794976,0.02166748,0.4736547,523,52300,208,396.1535873413086,-1.4751602,-1.0322038,36.936584,32.927755081262795
274,-1.8134891,27400,0.6125903,0.020690918,0.45045266,538,53800,214,407.6895022392273,-1.715728,-1.166428,34.559906,29.52622454675697
278,-2.0290804,27800,0.6099825,0.022338867,0.4484861,553,55300,220,417.92930483818054,-1.6856681,-1.1351974,34.69571,31.230136870916272
281,-2.1586356,28100,0.64248896,0.020507812,0.43295527,567,56700,226,429.261577129364,-1.8069314,-1.245295,40.324394,34.06589306016874
285,-1.9869747,28500,0.64055514,0.021972656,0.43208894,583,58300,232,440.9265658855438,-1.8674031,-1.2110829,30.26001,29.89496670447962
288,-1.9157735,28800,0.60455346,0.020996094,0.45651,597,59700,238,452.068829536438,-1.7014055,-1.1308525,33.75871,33.89750012438386
292,-1.9620848,29200,0.61562276,0.020263672,0.44763058,612,61200,244,463.3825731277466,-1.7738981,-1.1380935,51.30989,33.28630251169269
296,-2.2045956,29600,0.6177254,0.02166748,0.45189226,625,62500,250,474.6442537307739,-1.7738326,-1.1152446,40.24714,33.405506078215055
300,-2.341589,30000,0.63391566,0.019897461,0.44424438,641,64100,256,486.4841275215149,-1.9097544,-1.2323987,35.479744,32.411328992028515
304,-2.4801862,30400,0.62478685,0.020812988,0.44911346,654,65400,262,497.8949613571167,-1.8399282,-1.1462729,35.742886,31.6848664548326
308,-1.9648497,30800,0.6086912,0.02166748,0.46369654,671,67100,268,509.31271600723267,-1.6636655,-1.0392401,30.816526,32.582828350016676
311,-2.4285622,31100,0.60070515,0.020202637,0.4737078,685,68500,274,520.3121218681335,-1.601364,-0.99050933,50.1072,36.64059613091468
315,-2.1270149,31500,0.63325214,0.02154541,0.4491557,699,69900,280,531.7283589839935,-1.7867789,-1.1557367,31.726067,37.224802144553216
319,-2.5103183,31900,0.61750984,0.019226074,0.46684024,713,71300,286,543.2419984340668,-1.6763374,-1.0300381,35.38211,35.356164462949685
323,-2.1254468,32300,0.6347606,0.019958496,0.46271476,727,72700,292,554.5727388858795,-1.5994978,-1.0300242,39.557293,35.7789955187529
327,-2.8062668,32700,0.6329448,0.020629883,0.45623583,744,74400,298,565.9637982845306,-1.700664,-1.0273268,60.443558,36.98755183291551
331,-1.9742663,33100,0.64415264,0.020751953,0.46261606,757,75700,304,577.4007890224457,-1.6720977,-1.0344151,36.02781,37.78525131263179
335,-2.1474113,33500,0.63321614,0.018798828,0.4712988,773,77300,310,588.5668041706085,-1.5870724,-1.0003827,30.258852,37.45201132173767
339,-2.77323,33900,0.6424506,0.01977539,0.4527499,786,78600,316,600.1126189231873,-1.8014209,-1.1063153,30.152851,36.495405095793224
343,-2.14397,34300,0.65754247,0.02331543,0.44834647,801,80100,322,611.7275474071503,-1.7987025,-1.0970347,31.168974,36.109941594099844
347,-2.4548523,34700,0.65480494,0.019165039,0.45249572,817,81700,328,622.9828100204468,-1.7813766,-1.0817809,30.66864,37.07496911057516
