actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
3,300,-2.1587887,100,0.0,1,100,6.4113393,4.2525506,2.575316,14.410477753796794,0.0,nan
5,500,0.21689653,100,52.0,2,200,4.1991205,4.416017,0.23966542,58.54207850071679,1.0,0.0
11,1100,-0.19628763,100,0.0,3,300,7.676994,7.480706,3.8459384,54.45138300902446,0.0,0.5
13,1300,0.6667449,100,30.0,4,400,0.7747012,1.4414461,0.1945995,61.98098382729809,1.0,0.3333333333333333
17,1700,-2.4034076,100,0.0,5,500,6.47677,4.0733624,3.4518435,58.12441909241847,0.0,0.5
21,2100,-4.7304287,100,44.0,6,600,6.9252744,2.194846,0.16275471,56.85972946003033,1.0,0.4
25,2500,0.9014039,100,0.0,7,700,6.882906,7.78431,6.163686,54.02730589965304,0.0,0.5
30,3000,1.7131472,100,0.0,8,800,5.79556,7.508707,5.5364194,54.23913275404,0.0,0.42857142857142855
34,3400,5.4057426,100,0.0,9,900,3.4618711,8.867614,3.4618711,57.50084928932511,0.0,0.375
38,3800,-1.8077765,100,0.0,10,1000,8.671435,6.863659,6.732766,58.77482019207351,0.0,0.3333333333333333
41,4100,1.6849997,100,0.0,11,1100,3.7790678,5.4640675,2.4808526,59.42098629987941,0.0,0.3
45,4500,1.4110618,100,40.0,12,1200,1.3477571,2.7588189,0.10727587,56.52985743486262,1.0,0.2727272727272727
49,4900,-1.1264658,100,0.0,13,1300,8.195538,7.069072,5.8711543,55.3945625606123,0.0,0.3333333333333333
53,5300,0.49442053,100,0.0,14,1400,2.8342986,3.3287191,2.5558681,59.0209203725619,0.0,0.3076923076923077
57,5700,2.600871,100,0.0,15,1500,4.086052,6.686923,3.6950798,58.04490584232083,0.0,0.2857142857142857
61,6100,-0.46607757,100,1.0,16,1600,2.8541481,2.3880706,1.9794402,59.63291026039665,1.0,0.26666666666666666
65,6500,0.37923956,100,17.0,17,1700,1.2145686,1.5938082,1.1787157,59.50821739837978,1.0,0.3125
69,6900,2.247422,100,10.0,18,1800,3.7651021,6.012524,1.3875607,55.57016032432391,1.0,0.35294117647058826
73,7300,-0.10268688,100,0.0,19,1900,8.596746,8.49406,7.7304144,56.1613913732768,0.0,0.3888888888888889
77,7700,-1.6778874,100,0.0,20,2000,5.470904,3.7930164,2.2456949,58.86079910724435,0.0,0.3684210526315789
81,8100,0.7754235,100,0.0,21,2100,7.076136,7.8515596,6.410663,56.469366713815305,0.0,0.35
85,8500,0.2005353,100,0.0,22,2200,7.3902707,7.590806,4.1906714,59.30928497756903,0.0,0.3333333333333333
89,8900,-2.6417365,100,0.0,23,2300,7.168142,4.5264053,3.708011,53.921509137452084,0.0,0.3181818181818182
93,9300,-3.1458044,100,0.0,24,2400,10.090446,6.944642,6.2235894,58.58820755428585,0.0,0.30434782608695654
97,9700,1.6105742,100,0.0,25,2500,7.834452,9.445026,7.6116667,56.918070516839414,0.0,0.2916666666666667
101,10100,-1.0226426,100,10.0,26,2600,3.534109,2.5114665,1.3923988,27.409346432491667,1.0,0.28
105,10500,-2.26095,100,0.0,27,2700,6.617683,4.356733,3.0530503,29.100776928877764,0.0,0.3076923076923077
109,10900,-4.3839097,100,0.0,28,2800,6.292312,1.9084023,1.9084023,38.44825157010857,0.0,0.2962962962962963
113,11300,-1.8958225,100,4.0,29,2900,4.5371766,2.641354,1.8140811,39.699332949998464,1.0,0.2857142857142857
117,11700,1.2294478,100,8.0,30,3000,1.5845733,2.814021,1.5633503,22.060029119862847,1.0,0.3103448275862069
117,11700,1.4602355,100,100.0,31,3100,0.8167218,2.2769573,0.8167218,55.07119872145342,1.0,0.3333333333333333
120,12000,2.0135672,100,3.0,32,3200,3.716561,5.7301283,1.4147087,45.19923832841753,1.0,0.3548387096774194
124,12400,0.27315378,100,0.0,33,3300,7.16516,7.438314,7.16516,28.752060449259172,0.0,0.375
128,12800,-0.0905509,100,0.0,34,3400,7.6931868,7.602636,7.602636,27.738586802257124,0.0,0.36363636363636365
132,13200,-0.60408115,100,0.0,35,3500,6.3510275,5.7469463,5.7469463,26.331226715833143,0.0,0.35294117647058826
136,13600,-1.8721433,100,0.0,36,3600,9.81389,7.941747,7.379938,32.29788659766427,0.0,0.34285714285714286
140,14000,-7.7928824,100,1.0,37,3700,7.946518,0.15363543,0.15363543,29.835134064494845,1.0,0.3333333333333333
144,14400,3.0201092,100,0.0,38,3800,4.219975,7.240084,4.219975,27.753564096028576,0.0,0.35135135135135137
145,14500,-1.2354503,100,0.0,39,3900,5.398477,4.163027,4.163027,33.90134308776336,0.0,0.34210526315789475
148,14800,3.3689175,100,97.0,40,4000,1.1854678,4.554385,0.52219063,36.954724932366915,1.0,0.3333333333333333
148,14800,0.621835,100,0.0,41,4100,3.5957758,4.217611,2.2620733,86.68883403081716,0.0,0.35
148,14800,2.374394,100,4.0,43,4300,3.6532154,6.0276093,0.3842533,182.2507421595278,1.0,0.3333333333333333
149,14900,-0.33687496,100,0.0,46,4600,7.2983103,6.9614353,3.1235037,123.29827494874704,0.0,0.35555555555555557
149,14900,-5.9067736,100,4.0,47,4700,10.326265,4.419492,0.76402557,71.02362964725286,1.0,0.34782608695652173
149,14900,-1.4030752,100,0.0,50,5000,9.614602,8.211527,8.211527,255.80468038625293,0.0,0.3469387755102041
149,14900,10.357336,100,88.0,52,5200,0.75929374,11.11663,0.34036678,224.94547049829265,1.0,0.3333333333333333
151,15100,-0.5729103,100,0.0,55,5500,9.384912,8.812001,8.812001,67.49744408570363,0.0,0.35185185185185186
152,15200,3.3868651,100,98.0,56,5600,1.4036299,4.790495,1.4036299,51.44078330515578,1.0,0.34545454545454546
152,15200,-0.72007895,100,0.0,57,5700,7.4942045,6.7741256,6.7741256,87.69880300019403,0.0,0.35714285714285715
152,15200,0.11476159,100,0.0,60,6000,2.9224849,3.0372465,2.203187,261.95702817114284,0.0,0.3389830508474576
153,15300,1.915237,100,0.0,62,6200,7.0358453,8.951082,6.29222,89.78508583872437,0.0,0.3442622950819672
153,15300,1.0717509,100,0.0,64,6400,2.9649327,4.0366836,2.9555612,242.82752563717344,0.0,0.3492063492063492
153,15300,1.5425978,100,0.0,66,6600,2.368965,3.9115627,2.368965,169.46566427624538,0.0,0.3384615384615385
153,15300,-0.71924603,100,100.0,69,6900,1.5075872,0.78834116,0.53752846,164.30319380848275,1.0,0.3235294117647059
154,15400,-0.47847795,100,0.0,71,7100,8.286547,7.8080688,7.8080688,94.0971656685552,0.0,0.32857142857142857
156,15600,-0.2198515,100,100.0,72,7200,1.2975358,1.0776843,1.0776843,59.311985582886805,1.0,0.323943661971831
156,15600,0.5955837,100,0.0,73,7300,2.9033906,3.4989743,2.823862,90.88953691085085,0.0,0.3333333333333333
156,15600,-2.4036503,100,80.0,75,7500,3.3575022,0.9538519,0.86275023,169.7537979355808,1.0,0.32432432432432434
157,15700,2.281602,100,0.0,77,7700,5.8082724,8.089874,5.553392,73.17320135896199,0.0,0.32894736842105265
157,15700,2.925868,100,0.0,80,8000,4.3904076,7.3162756,4.2439723,156.51182298803224,0.0,0.31645569620253167
157,15700,0.5812366,100,0.0,82,8200,3.8378756,4.419112,3.8378756,189.0057459170012,0.0,0.30864197530864196
157,15700,0.3183279,100,0.0,84,8400,7.3655276,7.6838555,7.353216,160.2068099383665,0.0,0.3132530120481928
159,15900,-0.04921007,100,0.0,87,8700,3.8252504,3.7760403,3.7760403,113.58443404848788,0.0,0.313953488372093
160,16000,1.6465082,100,99.0,88,8800,1.4302013,3.0767095,0.86255705,35.53387643528368,1.0,0.3103448275862069
160,16000,-1.6699133,100,0.0,90,9000,9.292354,7.6224403,7.6224403,155.94132807469174,0.0,0.3146067415730337
160,16000,-0.98113537,100,0.0,93,9300,5.623108,4.6419725,3.4011087,174.22995856834396,0.0,0.31521739130434784
161,16100,1.4219694,100,0.0,94,9400,5.3896465,6.811616,5.3892183,79.42915145363371,0.0,0.3118279569892473
161,16100,0.06331158,100,0.0,96,9600,8.92191,8.985222,8.92191,316.44663877148537,0.0,0.30526315789473685
161,16100,0.27020383,100,0.0,99,9900,2.556913,2.8271167,2.556913,199.89562715924293,0.0,0.29591836734693877
161,16100,-1.7125168,100,0.0,102,10200,8.834092,7.1215754,7.1215754,149.16772292805615,0.0,0.2871287128712871
164,16400,-7.270846,100,0.0,103,10300,11.547288,4.276442,4.276442,38.05934286423618,0.0,0.28431372549019607
164,16400,-3.762443,100,0.0,104,10400,9.364641,5.602198,5.602198,93.01145217519924,0.0,0.2815533980582524
164,16400,-0.48491144,100,0.0,106,10600,6.532547,6.0476356,4.679587,272.5627095734449,0.0,0.2761904761904762
164,16400,-1.5109272,100,0.0,108,10800,5.6593904,4.1484632,4.1484632,151.192728279426,0.0,0.27102803738317754
165,16500,0.7451868,100,0.0,109,10900,9.0903425,9.835529,8.274484,82.40237578260866,0.0,0.26851851851851855
165,16500,-1.7493778,100,0.0,111,11100,3.1330876,1.3837098,1.3837098,223.40786824471883,0.0,0.2636363636363636
165,16500,-0.33179855,100,0.0,114,11400,10.1103525,9.778554,9.390179,164.7641595967381,0.0,0.25663716814159293
166,16600,0.13181448,100,0.0,117,11700,4.130934,4.2627482,4.118614,118.08404643626838,0.0,0.25
168,16800,8.950994,100,88.0,118,11800,0.75106937,9.702063,0.74742734,47.08911772346792,1.0,0.24786324786324787
168,16800,-4.169766,100,0.0,119,11900,6.8301935,2.6604276,2.6604276,69.53185443797086,0.0,0.2542372881355932
168,16800,2.4293134,100,1.0,122,12200,2.2928107,4.722124,1.8882809,211.86338883105245,1.0,0.24793388429752067
168,16800,-1.7624588,100,0.0,124,12400,7.124156,5.361697,5.361697,204.1940978843539,0.0,0.25203252032520324
169,16900,5.3203864,100,0.0,127,12700,5.9258285,11.246215,4.932294,125.30870043621834,0.0,0.24603174603174602
169,16900,4.930145,100,0.0,128,12800,4.8163915,9.746536,3.7579696,91.78526692827438,0.0,0.2440944881889764
169,16900,7.2663493,100,0.0,131,13100,4.5523915,11.818741,2.451018,202.23103389752055,0.0,0.24615384615384617
170,17000,-2.1509027,100,0.0,133,13300,5.2725797,3.121677,3.121677,115.55524209189971,0.0,0.24242424242424243
171,17100,-3.516264,100,0.0,134,13400,9.906618,6.390354,6.390354,68.33437820548747,0.0,0.24060150375939848
172,17200,-4.772896,100,0.0,135,13500,12.2067795,7.4338837,7.4338837,72.38254005644876,0.0,0.23880597014925373
172,17200,-2.185607,100,0.0,137,13700,9.378163,7.1925564,7.1925564,217.36638818076898,0.0,0.2426470588235294
172,17200,-0.8477955,100,0.0,140,14000,6.801464,5.9536686,5.9536686,152.45007385696175,0.0,0.23741007194244604
