actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
3,300,0.0,0.047495484,0.047495484,0.047495484,100,71.0,1,100,6.1638536,5.9614577,5.9614577,5.9614577,6.1638536,6.008953,6.008953,6.008953,6.1638536,5.472399,5.472399,5.472399,23.4651103462783,0.0,1.0
35,3500,-3.6048627,1.7680451,-0.100033425,-0.100033425,100,0.0,9,900,5.198671,5.072051,6.0541215,6.0541215,1.5938082,6.840097,5.954088,5.954088,1.5938082,2.5470765,3.0674036,3.0674036,72.88913573548827,0.0,0.4411764705882353
65,6500,-0.50800085,0.95878524,-0.14890514,-0.14890514,100,0.0,17,1700,6.7648044,6.002651,5.9184694,5.9184694,6.2568035,6.9614363,5.769565,5.769565,0.39107013,2.4267595,2.8801527,2.8801527,77.8901434883527,1.0,0.4838709677419355
99,9900,4.7752132,-1.1470042,-0.095505975,-0.09456038,100,0.0,25,2500,3.1165588,5.766835,5.5594096,5.571558,7.891772,4.619831,5.463904,5.4769974,2.824093,1.5628629,2.5035713,2.5459752,69.13869876025858,0.0,0.5473684210526316
116,11600,1.9099016,0.27462798,0.071011856,-0.065652154,100,2.0,29,2900,4.201402,5.7704344,5.3555274,5.600747,6.111304,6.0450625,5.4265394,5.5350947,4.201402,3.0827112,2.324869,2.5627062,20.930495182916726,0.0,0.5267857142857143
127,12700,0.34382713,0.88769054,0.19945449,0.023564752,100,0.0,32,3200,1.9986738,3.8295627,5.2371626,5.4525986,2.342501,4.7172537,5.4366164,5.4761634,1.4003834,1.4147195,2.291809,2.4864182,23.628445346899756,1.0,0.5528455284552846
140,14000,4.385458,1.4373035,0.37799606,0.18357426,100,0.0,35,3500,1.9114573,3.2773063,4.8095646,5.219435,6.2969155,4.71461,5.187561,5.40301,1.8544154,0.7967012,1.9701308,2.3388608,23.521437922681542,1.0,0.5955882352941176
150,15000,4.235667,3.1587071,0.7579547,0.37930664,100,100.0,38,3800,0.35799006,1.9659408,4.439408,5.00539,4.5936575,5.1246476,5.197363,5.3846965,0.14949958,0.98257,1.8233223,2.249631,21.149679613645446,1.0,0.6206896551724138
163,16300,4.780595,0.7043166,0.8556907,0.47624883,100,97.0,41,4100,0.4805815,5.30839,4.3545127,4.947881,5.261176,6.012706,5.2102036,5.42413,0.3706757,0.5094185,1.63476,2.1099303,22.84103470774226,1.0,0.6518987341772152
176,17600,-0.005554199,2.6867287,1.1378059,0.62627757,100,0.0,44,4400,7.713193,3.9125488,4.22477,4.872036,7.7076387,6.5992775,5.3625765,5.498313,1.7032311,0.716066,1.3898315,1.999744,23.48938210153689,1.0,0.672514619883041
187,18700,3.0434575,2.232715,1.3127282,0.7249856,100,95.0,47,4700,0.384299,3.235026,4.1036334,4.7833996,3.4277565,5.4677405,5.4163623,5.5083847,0.36851925,1.1023554,1.3176898,1.9506942,22.369660703936173,1.0,0.6923076923076923
196,19600,7.9325805,4.1173162,1.8279252,0.8785717,100,79.0,50,5000,1.3101896,3.1374326,3.7781014,4.699469,9.24277,7.2547483,5.6060276,5.5780406,1.1421415,0.50980246,1.2179626,1.882152,14.390042126419605,1.0,0.7068062827225131
204,20400,7.386425,4.3356886,2.0137188,0.9517932,100,1.0,58,5800,2.103606,1.8380705,3.650066,4.597965,9.490031,6.1737585,5.663784,5.549758,0.55976796,1.0124094,1.1355361,1.8537672,12.230946694725624,1.0,0.7085427135678392
212,21200,-4.560957,2.6302028,2.2379944,1.0098501,100,0.0,63,6300,8.756099,4.306962,3.5038757,4.61352,4.195142,6.9371643,5.741871,5.6233706,2.9557326,2.6344788,1.1339132,1.8971775,15.002146968535868,0.0,0.6956521739130435
220,22000,-1.5208659,1.649031,2.3634787,1.029832,100,0.0,68,6800,3.7945151,4.39549,3.4201658,4.5929456,2.2736492,6.044522,5.7836437,5.6227775,1.4261473,1.8765917,1.0013937,1.8635828,15.097820232910014,1.0,0.6976744186046512
229,22900,6.4882116,0.94073594,2.2845533,1.0186199,100,90.0,72,7200,0.42414385,4.36096,3.552738,4.601832,6.9123554,5.301696,5.8372912,5.620451,0.25748217,0.42221466,0.9429066,1.8088284,14.326292747469367,1.0,0.7098214285714286
237,23700,3.8235183,3.1482015,2.4565701,1.1222833,100,12.0,77,7700,1.3196195,2.8693278,3.5653384,4.5346837,5.143138,6.0175295,6.021909,5.656967,1.3196195,0.6754793,0.9393316,1.7750995,16.970080970226626,1.0,0.7155172413793104
245,24500,0.08255696,3.9040978,2.4682992,1.2269927,100,0.0,81,8100,3.354546,2.5728977,3.5513196,4.4536815,3.437103,6.476995,6.01962,5.680674,1.1767642,0.4774149,0.94246274,1.7332785,17.119840154568625,1.0,0.725
253,25300,5.043196,4.215087,2.6127825,1.3051615,100,97.0,85,8500,0.5535054,1.2361084,3.479148,4.3577704,5.5967016,5.4511957,6.0919313,5.662931,0.5535054,0.4568402,0.8883174,1.6936315,15.036339847986953,1.0,0.7338709677419355
261,26100,4.23223,3.9625976,2.937915,1.3938588,100,91.0,89,8900,1.1264077,1.8081977,3.2075536,4.2867336,5.358638,5.7707953,6.145468,5.6805916,1.1264077,0.8701851,0.912602,1.6691073,16.466696909695116,1.0,0.7421875
269,26900,8.75513,3.665683,3.092682,1.4567789,100,93.0,93,9300,0.5687053,1.7825241,2.971364,4.2066007,9.323835,5.448207,6.064046,5.6633797,0.5687053,0.60568464,0.9045737,1.6360503,14.931137345542991,1.0,0.75
277,27700,0.11341393,3.5769324,3.1086679,1.5253115,100,77.0,97,9700,1.7018758,2.3141358,2.8856063,4.1586843,1.8152897,5.8910685,5.994273,5.6839957,0.20678265,0.73887634,0.92178285,1.6123153,16.87643526314165,1.0,0.7573529411764706
