actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
1,100,-0.31961155,100,0.0,1,100,9.010928,8.691317,7.1693916,25.097375426053016,0.0,nan
4,400,-0.1707449,100,0.0,2,200,8.712897,8.542152,7.556016,69.40437195995224,0.0,0.0
8,800,2.0388947,100,0.0,3,300,6.1301327,8.169027,6.0536547,63.878911176521925,0.0,0.0
12,1200,-4.984565,100,1.0,4,400,9.4595785,4.4750137,1.7911848,74.20849128476125,1.0,0.0
16,1600,3.4493918,100,0.0,5,500,4.676684,8.126076,4.091863,80.82825029735086,0.0,0.25
20,2000,-0.03389597,100,0.0,6,600,6.1801777,6.1462817,3.8178174,74.12825202203115,0.0,0.2
24,2400,2.2673364,100,52.0,7,700,1.2303076,3.497644,0.12266219,74.15724297908754,1.0,0.16666666666666666
28,2800,1.1502419,100,30.0,8,800,3.1202135,4.2704554,1.7234564,73.82231232952708,1.0,0.2857142857142857
32,3200,0.12273979,100,0.0,9,900,4.136813,4.259553,2.966534,71.60246271402147,0.0,0.375
36,3600,-0.29234838,100,6.0,10,1000,2.7349486,2.4426003,1.5771232,70.75918904442374,1.0,0.3333333333333333
40,4000,-2.2322936,100,0.0,11,1100,9.73332,7.5010266,7.5010266,70.50310929122952,0.0,0.4
44,4400,0.008428574,100,0.0,12,1200,11.952342,11.960771,9.304242,72.00444012365188,0.0,0.36363636363636365
48,4800,0.84645414,100,0.0,13,1300,7.1133294,7.9597836,4.6653485,69.84556988205547,0.0,0.3333333333333333
52,5200,-0.64658356,100,0.0,14,1400,10.086401,9.439817,7.200371,72.06325299911053,0.0,0.3076923076923077
56,5600,-3.0445967,100,1.0,15,1500,5.846322,2.8017254,1.9716356,76.99211374475789,1.0,0.2857142857142857
60,6000,1.4692857,100,58.0,16,1600,0.93826866,2.4075544,0.3008278,72.49359548048847,1.0,0.3333333333333333
64,6400,-2.901164,100,0.0,17,1700,10.457902,7.556738,2.740818,63.385287669614,0.0,0.375
68,6800,0.11161566,100,0.0,18,1800,7.976929,8.088545,5.167022,73.21844538167193,0.0,0.35294117647058826
72,7200,4.185705,100,8.0,19,1900,3.1142542,7.299959,1.1625423,72.82617301716726,1.0,0.3333333333333333
76,7600,-0.7195387,100,0.0,20,2000,7.7409377,7.021399,6.349803,71.45274503286946,0.0,0.3684210526315789
80,8000,1.4529073,100,0.0,21,2100,3.30995,4.7628574,3.087638,73.9952398787441,0.0,0.35
84,8400,5.949117,100,1.0,22,2200,2.9095626,8.85868,1.9453248,75.7969259472167,1.0,0.3333333333333333
88,8800,-1.8174195,100,0.0,23,2300,9.406157,7.588737,6.840761,75.02727904332663,0.0,0.36363636363636365
92,9200,0.86321104,100,29.0,24,2400,0.15754333,1.0207543,0.055271268,70.38454968060752,1.0,0.34782608695652173
96,9600,-2.2724786,100,63.0,25,2500,3.0466979,0.7742192,0.11078739,67.70470876817353,1.0,0.375
100,10000,0.6733117,100,43.0,26,2600,2.0889523,2.762264,0.28313464,51.97076862342956,1.0,0.4
104,10400,2.1438484,100,0.0,27,2700,4.462696,6.6065445,2.064484,39.81501503918846,0.0,0.4230769230769231
108,10800,-2.2002563,100,0.0,28,2800,8.918937,6.7186804,4.7319245,52.14480634842489,0.0,0.4074074074074074
112,11200,3.605835,100,11.0,29,2900,1.1262394,4.7320743,1.0948024,52.99414819723665,1.0,0.39285714285714285
115,11500,-1.3265905,100,0.0,30,3000,10.260205,8.933615,8.078154,24.912229955171334,0.0,0.41379310344827586
118,11800,1.1732491,100,26.0,31,3100,1.7862085,2.9594576,1.5435637,24.08284403170873,1.0,0.4
121,12100,3.9635034,100,94.0,32,3200,1.6066085,5.5701118,1.5330758,22.228570090017595,1.0,0.41935483870967744
125,12500,6.3795824,100,87.0,33,3300,1.931577,8.311159,1.9265344,22.73250608690006,1.0,0.4375
130,13000,-0.29335213,100,0.0,34,3400,8.296209,8.002857,7.654709,20.41096549035226,0.0,0.45454545454545453
133,13300,9.266102,100,0.0,35,3500,2.193347,11.459449,2.1485565,22.95852274748824,0.0,0.4411764705882353
138,13800,3.9512522,100,10.0,36,3600,2.4378688,6.389121,1.7284145,22.996474568093472,1.0,0.42857142857142855
141,14100,0.338192,100,0.0,37,3700,6.3662357,6.7044277,6.2776985,20.731249995366205,0.0,0.4444444444444444
144,14400,1.5642587,100,96.0,38,3800,1.2965187,2.8607774,1.2603571,24.082048954786217,1.0,0.43243243243243246
148,14800,-0.3316269,100,0.0,39,3900,4.0714726,3.7398458,3.4476776,24.347520395810673,0.0,0.4473684210526316
152,15200,2.8574014,100,97.0,40,4000,1.1790327,4.036434,0.691723,27.675272102305836,1.0,0.4358974358974359
155,15500,0.5159278,100,0.0,41,4100,7.8901906,8.406118,7.3631306,23.59351046609106,0.0,0.45
159,15900,0.9857106,100,0.0,42,4200,5.336994,6.322705,5.209026,25.629601376149957,0.0,0.43902439024390244
164,16400,4.6068735,100,92.0,43,4300,1.3693484,5.976222,1.3662432,22.808039289193353,1.0,0.42857142857142855
167,16700,0.7607165,100,100.0,44,4400,0.5651625,1.325879,0.49330813,26.818030282356638,1.0,0.4418604651162791
170,17000,2.173893,100,65.0,45,4500,1.7543813,3.9282742,1.7375509,22.70701979352077,1.0,0.45454545454545453
174,17400,7.305747,100,30.0,46,4600,1.677209,8.982956,0.46821246,22.010237009561898,1.0,0.4666666666666667
178,17800,1.5073032,100,0.0,47,4700,5.922162,7.4294653,5.4860964,21.150524289747636,0.0,0.4782608695652174
183,18300,1.7717253,100,33.0,48,4800,1.3197025,3.0914278,0.3351563,23.56133347481842,1.0,0.46808510638297873
185,18500,5.5826473,100,94.0,49,4900,0.33372682,5.916374,0.26812485,28.64299868411555,1.0,0.4791666666666667
189,18900,4.1366158,100,97.0,50,5000,1.2651742,5.40179,0.14609498,24.028333734062976,1.0,0.4897959183673469
