actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
2,200,-2.3621993,0.055143833,0.055143833,0.055143833,100,0.0,5.6058655,5.187346,5.187346,5.187346,3.2436662,5.24249,5.24249,5.24249,2.858898,4.9011126,4.9011126,4.9011126,14.547361008982326,0.0,0.0
29,2900,2.9872112,0.63045025,-0.35733888,-0.35733888,100,30.0,0.93322873,4.671167,5.8197355,5.8197355,3.92044,5.3016167,5.462397,5.462397,0.15117449,1.1660035,2.0637484,2.0637484,60.988462034525924,1.0,0.5714285714285714
57,5700,-4.4445386,-1.1770514,-0.12924194,-0.12924194,100,13.0,6.621308,6.736411,5.56697,5.56697,2.1767693,5.5593605,5.437728,5.437728,0.6890688,2.5290284,2.146247,2.146247,66.36565362740966,1.0,0.509090909090909
85,8500,-3.274686,-1.2774606,-0.18459447,-0.18459447,100,0.0,5.641595,8.079648,5.9168525,5.9168525,2.3669088,6.8021865,5.732259,5.732259,1.5149778,2.7964766,2.2233021,2.2233021,66.06157141117859,1.0,0.5180722891566265
106,10600,0.0,1.3515086,0.14570639,0.107535735,100,0.0,9.421036,4.1783075,5.6558332,5.6180305,9.421036,5.5298166,5.80154,5.7255664,9.421036,1.5204356,2.0504653,2.1412177,25.047080799346457,0.0,0.5384615384615384
121,12100,4.99353,1.0099814,0.11551813,-0.005145515,100,10.0,1.0441443,3.7395236,5.455135,5.565534,6.037674,4.749505,5.570654,5.560389,0.73358077,1.9377334,2.0634341,2.124827,22.263882732940356,1.0,0.5546218487394958
133,13300,7.7470284,0.22688422,0.04157037,-0.052424315,100,59.0,1.4651908,6.0135045,5.7073226,5.6869097,9.212219,6.240389,5.748893,5.6344852,1.4651908,3.026529,2.299661,2.2260127,29.054565492896035,1.0,0.5343511450381679
151,15100,0.69469166,0.7755819,0.13278694,0.07872583,100,0.0,3.833743,6.2892065,5.7797875,5.700495,4.5284348,7.064789,5.912574,5.7792206,2.1417181,3.0823746,2.2919128,2.2405934,7.234672897900722,0.0,0.5405405405405406
159,15900,3.303656,0.8442817,0.23080975,0.119014144,100,97.0,1.1148267,4.7486353,5.7502065,5.66155,4.418483,5.592916,5.9810157,5.780564,0.5349692,1.9832633,2.2849526,2.2287621,8.964921569033978,1.0,0.5384615384615384
167,16700,0.348881,2.2841535,0.43943307,0.25411892,100,14.0,0.9837884,3.7268777,5.4765167,5.5334845,1.3326694,6.0110316,5.9159517,5.7876043,0.10236331,0.88579893,2.1472054,2.1625228,10.217427617001103,1.0,0.5487804878048781
171,17100,-7.3583755,3.0241365,0.61154175,0.34391892,100,0.0,8.6590805,3.1836276,5.315188,5.4672194,1.3007047,6.207764,5.92673,5.811139,1.0514083,0.6209365,2.0550122,2.114889,8.815573185003673,1.0,0.5595238095238095
180,18000,-3.0729327,2.6628008,0.8201904,0.44344607,100,0.0,8.07167,2.3917274,4.975225,5.327714,4.998737,5.054528,5.795416,5.7711606,2.0267313,0.4325419,1.9596118,2.0335102,10.081270446051867,0.0,0.5819209039548022
188,18800,3.3888674,3.467975,1.272509,0.57279545,100,3.0,2.1812477,1.7119672,4.528054,5.1791496,5.570115,5.179942,5.800563,5.751944,1.6741196,0.76889026,1.7489104,1.9828835,8.948163126887106,1.0,0.5945945945945946
192,19200,-2.9504247,3.8800244,1.3330845,0.6204473,100,0.0,8.954245,1.6025784,4.457075,5.1244497,6.00382,5.482602,5.790159,5.744897,4.9438543,0.8967806,1.7330565,1.9658017,9.833607676729113,0.0,0.6031746031746031
196,19600,0.08509159,1.4793041,1.1738757,0.58326435,100,0.0,3.7024343,3.1067448,4.4833183,5.1176567,3.787526,4.5860486,5.6571937,5.700921,0.35169974,1.246313,1.7135412,1.9565719,9.361222755800028,1.0,0.6062176165803109
204,20400,5.1294603,1.6561308,1.2540975,0.65328056,100,0.0,3.5386362,2.8037028,4.3807063,5.0237656,8.668097,4.4598336,5.6348033,5.6770463,0.20651218,0.680853,1.6852238,1.9107903,10.35782583212579,1.0,0.6169154228855721
208,20800,8.040079,2.329525,1.3563395,0.6786067,100,97.0,1.9463861,2.882715,4.259082,4.9951043,9.986465,5.21224,5.615422,5.673711,0.8197722,0.6232958,1.5552095,1.8777968,8.910637331649173,1.0,0.624390243902439
