actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
4,400,1.3302388,100,0.0,1,100,5.8969107,7.2271495,5.8969107,14.293672165367095,0.0,nan
8,800,-1.9494462,100,0.0,2,200,8.0020685,6.0526223,2.0860693,64.79955307925428,0.0,0.0
11,1100,-0.34133625,100,12.0,3,300,2.8593142,2.517978,1.6389918,66.03753443732195,1.0,0.0
15,1500,2.8554993,100,1.0,4,400,1.9440058,4.799505,1.9440058,64.70688240646491,1.0,0.3333333333333333
20,2000,0.016074896,100,6.0,5,500,2.9861689,3.0022438,1.8465874,62.01711039546719,1.0,0.5
24,2400,1.2574773,100,19.0,6,600,2.281959,3.5394363,1.2775182,65.49014666449943,1.0,0.6
28,2800,1.5891933,100,4.0,7,700,2.6207428,4.209936,1.4824704,64.73077944624161,1.0,0.6666666666666666
32,3200,-1.0605943,100,2.0,8,800,4.3645897,3.3039954,1.991459,61.0698208675625,1.0,0.7142857142857143
36,3600,-0.53045845,100,0.0,9,900,8.823363,8.292905,8.121451,62.22065041827523,0.0,0.75
40,4000,-1.4745517,100,0.0,10,1000,7.8452973,6.3707457,4.5863857,63.628284833809325,0.0,0.6666666666666666
44,4400,-1.2769086,100,1.0,11,1100,5.218772,3.9418633,1.94634,63.80903828918978,1.0,0.6
48,4800,-0.47016716,100,0.0,12,1200,7.220264,6.750097,4.96527,65.28766205545655,0.0,0.6363636363636364
52,5200,1.5416265,100,0.0,13,1300,6.506104,8.04773,6.506104,67.19265592965051,0.0,0.5833333333333334
56,5600,1.8076417,100,7.0,14,1400,3.2217915,5.0294333,1.9266891,64.50790525992002,1.0,0.5384615384615384
60,6000,-1.0540614,100,7.0,15,1500,2.1031785,1.0491171,1.0491171,61.794015136815794,1.0,0.5714285714285714
64,6400,-1.7761936,100,27.0,16,1600,4.4102054,2.6340117,0.65925324,66.0031995226209,1.0,0.6
68,6800,-0.14466953,100,0.0,17,1700,4.435804,4.2911344,3.4197605,62.74216961476647,0.0,0.625
72,7200,-3.0795224,100,0.0,18,1800,5.4697514,2.390229,2.1127143,63.62965552060274,0.0,0.5882352941176471
76,7600,-1.5215826,100,1.0,19,1900,4.398977,2.8773942,1.8087876,64.7495859275416,1.0,0.5555555555555556
80,8000,0.11019111,100,1.0,20,2000,3.6985643,3.8087554,1.8873297,65.83677117431165,1.0,0.5789473684210527
84,8400,6.017222,100,0.0,21,2100,2.6272044,8.644426,2.6272044,65.30721047405643,0.0,0.6
88,8800,1.4437447,100,0.0,22,2200,3.430159,4.8739038,3.430159,61.36659081502064,0.0,0.5714285714285714
92,9200,2.108068,100,6.0,23,2300,3.1802068,5.288275,1.5509638,62.915132527706,1.0,0.5454545454545454
96,9600,0.5759649,100,0.0,24,2400,8.33282,8.908785,6.724065,68.41845898672658,0.0,0.5652173913043478
100,10000,1.3548164,100,0.0,25,2500,8.048209,9.403026,5.3058815,47.925312317500804,0.0,0.5416666666666666
104,10400,0.29568863,100,0.0,26,2600,5.6285143,5.924203,4.827278,31.80535381649853,0.0,0.52
108,10800,0.6925988,100,4.0,27,2700,3.478983,4.1715817,1.4144627,33.84467854807976,1.0,0.5
112,11200,-0.31011772,100,0.0,28,2800,8.53461,8.224492,7.355029,46.675304421891916,0.0,0.5185185185185185
116,11600,0.7791109,100,0.0,29,2900,5.4295535,6.2086644,5.375841,45.949460790280014,0.0,0.5
120,12000,-1.8738956,100,22.0,30,3000,3.9836247,2.109729,1.1691775,45.27263886137959,1.0,0.4827586206896552
123,12300,-0.5362885,100,4.0,31,3100,4.3341937,3.7979052,1.4992385,18.842516327761807,1.0,0.5
127,12700,3.7441216,100,0.0,32,3200,4.1300707,7.874192,4.1300707,32.41957317013315,0.0,0.5161290322580645
131,13100,7.1164484,100,6.0,33,3300,2.3376646,9.454113,1.6565081,29.49131243562866,1.0,0.5
135,13500,2.728764,100,0.0,34,3400,4.3937774,7.1225414,4.1514087,31.073151372249892,0.0,0.5151515151515151
139,13900,-1.8535676,100,0.0,35,3500,4.508947,2.6553793,2.1972675,31.58845976600477,0.0,0.5
143,14300,-2.9360485,100,0.0,36,3600,7.9168224,4.980774,4.980774,30.203346538838623,0.0,0.4857142857142857
147,14700,-1.5357338,100,75.0,37,3700,1.9648937,0.42915985,0.42915985,33.65486349745456,1.0,0.4722222222222222
149,14900,-1.0402384,100,0.0,38,3800,9.52709,8.486852,7.66026,32.60321114467065,0.0,0.4864864864864865
149,14900,5.171956,100,77.0,39,3900,1.9092348,7.081191,1.9092348,72.23179732200303,1.0,0.47368421052631576
149,14900,8.36478,100,84.0,41,4100,1.412405,9.777185,1.3062644,279.92949544930633,1.0,0.475
149,14900,1.7451632,100,94.0,44,4400,1.2445793,2.9897425,1.2165039,165.3375317770762,1.0,0.4883720930232558
149,14900,2.781042,100,90.0,47,4700,1.8509693,4.6320114,1.7168334,161.77521740103074,1.0,0.5
149,14900,-0.14773774,100,22.0,50,5000,2.425029,2.2772913,1.6418337,147.95970453946558,1.0,0.4897959183673469
149,14900,1.8815961,100,0.0,53,5300,3.6244397,5.506036,3.6244397,174.7816013401452,0.0,0.4807692307692308
149,14900,4.1580467,100,96.0,56,5600,1.582461,5.7405076,1.582461,168.4456055309126,1.0,0.45454545454545453
153,15300,4.171071,100,93.0,57,5700,1.736555,5.907626,1.5064106,56.85915906328817,1.0,0.4642857142857143
153,15300,1.133607,100,100.0,58,5800,1.1345958,2.2682028,1.1287414,46.176196651862874,1.0,0.47368421052631576
153,15300,5.7943907,100,95.0,61,6100,1.445405,7.2397957,0.30892128,327.5482130236663,1.0,0.48333333333333334
153,15300,2.689323,100,97.0,63,6300,1.2231601,3.9124832,1.2212204,242.8174040104229,1.0,0.4838709677419355
153,15300,8.772347,100,88.0,65,6500,1.4261153,10.1984625,1.4261153,160.98774985069218,1.0,0.5
153,15300,0.61899567,100,0.0,68,6800,8.199729,8.818725,8.133991,171.06362950809108,0.0,0.5074626865671642
153,15300,1.5211365,100,0.0,71,7100,3.4456384,4.966775,3.2838995,167.09668834702597,0.0,0.5
155,15500,6.4754972,100,96.0,72,7200,0.22159715,6.6970944,0.10070652,71.58288600116703,1.0,0.49295774647887325
157,15700,0.9489474,100,100.0,73,7300,0.98656344,1.9355109,0.50761646,37.66988163676975,1.0,0.5
157,15700,1.0501392,100,0.0,75,7500,3.909856,4.9599953,3.9072468,177.92838328951908,0.0,0.5
157,15700,3.0278053,100,0.0,78,7800,3.5425935,6.570399,3.5425935,159.5777165908848,0.0,0.4935064935064935
157,15700,-1.1177717,100,100.0,81,8100,1.2565961,0.13882439,0.13882439,246.08885545879866,1.0,0.475
157,15700,-0.8814626,100,0.0,83,8300,6.9518714,6.070409,5.70598,245.84191529443208,0.0,0.4878048780487805
158,15800,-0.097314835,100,100.0,86,8600,1.4482396,1.3509247,0.25128782,89.86898163583118,1.0,0.4823529411764706
161,16100,2.7966478,100,0.0,87,8700,2.3334844,5.130132,2.326309,64.77240419930726,0.0,0.4883720930232558
161,16100,-0.3559084,100,0.0,88,8800,9.007872,8.651963,7.8933387,52.033946898206324,0.0,0.4827586206896552
161,16100,0.29435688,100,100.0,90,9000,0.9252755,1.2196324,0.9060887,257.7831152620021,1.0,0.47191011235955055
161,16100,2.320914,100,99.0,92,9200,1.1052902,3.4262042,0.8065352,152.72891199279306,1.0,0.4725274725274725
161,16100,7.918305,100,0.0,95,9500,2.1951175,10.113422,2.1951175,163.97899782237286,0.0,0.4787234042553192
161,16100,1.4903479,100,0.0,98,9800,2.4167063,3.9070542,2.3054745,238.62741717913227,0.0,0.4845360824742268
162,16200,7.610712,100,91.0,99,9900,1.1044436,8.715156,0.12506017,83.87599810502778,1.0,0.47959183673469385
163,16300,2.912025,100,99.0,100,10000,0.35674325,3.2687683,0.31333113,97.23275333277387,1.0,0.48484848484848486
165,16500,3.0768528,100,97.0,101,10100,1.6693425,4.7461953,1.5901906,42.452430964384746,1.0,0.49
165,16500,2.064167,100,5.0,102,10200,2.1350932,4.19926,0.21871243,73.90859681112983,1.0,0.49504950495049505
165,16500,0.5261905,100,0.0,105,10500,3.2122068,3.7383974,2.9433665,162.9584330704715,0.0,0.5
165,16500,4.8714027,100,95.0,108,10800,1.6887935,6.5601964,0.2940401,163.74533472836018,1.0,0.5046728971962616
165,16500,6.5127673,100,85.0,111,11100,1.4737252,7.9864926,0.26896876,158.49027229708463,1.0,0.5181818181818182
165,16500,0.24128878,100,99.0,114,11400,1.7090915,1.9503803,1.5472891,162.142946056006,1.0,0.5309734513274337
169,16900,0.9442396,100,0.0,115,11500,6.176725,7.1209645,6.176575,43.09185152491359,0.0,0.5350877192982456
169,16900,0.56041527,100,0.0,116,11600,2.8144817,3.374897,2.2397435,59.844532490985806,0.0,0.5304347826086957
169,16900,1.011549,100,0.0,119,11900,4.0665874,5.0781364,4.036615,164.40765596526444,0.0,0.5338983050847458
169,16900,9.620319,100,86.0,122,12200,0.72163284,10.341952,0.36204472,165.65934076784689,1.0,0.5371900826446281
169,16900,-0.021144062,100,100.0,125,12500,0.29262847,0.2714844,0.20061451,219.51385966785364,1.0,0.5483870967741935
169,16900,2.1787486,100,99.0,128,12800,0.9526303,3.131379,0.9009295,241.81534003610247,1.0,0.5511811023622047
170,17000,1.5953476,100,0.0,129,12900,3.029751,4.6250987,2.6173615,92.54707996953273,0.0,0.5546875
172,17200,0.47555256,100,0.0,130,13000,2.102859,2.5784116,2.0528286,80.88261724429717,0.0,0.5503875968992248
173,17300,3.2877383,100,95.0,131,13100,0.76993215,4.0576706,0.7590241,36.071724724403275,1.0,0.5461538461538461
173,17300,1.4291239,100,99.0,133,13300,1.7866762,3.2158,1.6685354,256.311628884728,1.0,0.553030303030303
173,17300,6.757497,100,93.0,135,13500,0.8077357,7.5652323,0.42580783,156.37411342229433,1.0,0.5522388059701493
173,17300,0.57071686,100,0.0,138,13800,11.841379,12.412096,11.841379,155.89548103130358,0.0,0.5547445255474452
173,17300,9.053369,100,56.0,141,14100,0.8552033,9.908572,0.6011546,168.49053625035702,1.0,0.5571428571428572
175,17500,1.309524,100,99.0,143,14300,1.6267569,2.936281,1.6267569,84.97124780572693,1.0,0.5633802816901409
177,17700,0.5439387,100,100.0,144,14400,0.46665674,1.0105954,0.32353342,45.005169210497655,1.0,0.5664335664335665
177,17700,1.2130475,100,100.0,146,14600,1.1849575,2.398005,1.1827214,156.58193786156085,1.0,0.5724137931034483
177,17700,5.368386,100,86.0,149,14900,1.3137401,6.682126,0.9010939,160.6900359093596,1.0,0.581081081081081
177,17700,2.090666,100,0.0,152,15200,3.5208519,5.611518,3.4882789,178.17607482003143,0.0,0.5894039735099338
177,17700,5.221385,100,92.0,155,15500,0.7727916,5.9941764,0.42430532,189.4133128850425,1.0,0.5844155844155844
180,18000,2.28679,100,98.0,157,15700,1.1901095,3.4768994,1.1862411,88.00518005343713,1.0,0.5897435897435898
181,18100,4.1650796,100,93.0,158,15800,1.8773412,6.042421,1.5395365,37.43274931826731,1.0,0.5923566878980892
181,18100,3.7328951,100,98.0,160,16000,0.7060941,4.438989,0.36342573,228.7812580966277,1.0,0.5911949685534591
181,18100,0.72899055,100,0.0,162,16200,3.5749645,4.303955,3.5749645,173.0355555280523,0.0,0.5962732919254659
181,18100,7.851361,100,84.0,165,16500,0.89521366,8.746574,0.47530097,174.48124296187274,1.0,0.5975609756097561
181,18100,4.627442,100,82.0,168,16800,1.6524683,6.27991,1.6478374,150.2042687294084,1.0,0.6047904191616766
182,18200,0.11968589,100,100.0,169,16900,1.9387214,2.0584073,1.2258255,88.45253033086104,1.0,0.6071428571428571
184,18400,4.2545915,100,97.0,170,17000,0.7351894,4.989781,0.27614212,72.82593276504053,1.0,0.6094674556213018
185,18500,7.9339724,100,89.0,171,17100,1.3697175,9.30369,1.3697175,43.30879587041221,1.0,0.611764705882353
185,18500,-0.3197388,100,100.0,173,17300,0.70558757,0.38584876,0.38584876,210.87374032936955,1.0,0.6162790697674418
185,18500,0.8666649,100,0.0,175,17500,3.889461,4.756126,3.8719795,213.6250728966917,0.0,0.6206896551724138
185,18500,2.2889824,100,0.0,177,17700,2.1195412,4.4085236,2.1195412,162.72735173252883,0.0,0.6193181818181818
185,18500,7.0077457,100,80.0,180,18000,1.3586873,8.366433,1.3414521,169.18437582186024,1.0,0.6145251396648045
185,18500,1.0386901,100,99.0,183,18300,1.6307046,2.6693947,1.3476962,254.65244342984815,1.0,0.6153846153846154
187,18700,1.2574872,100,99.0,184,18400,1.8524233,3.1099105,1.8524233,60.490209199614185,1.0,0.6174863387978142
189,18900,6.4071374,100,94.0,185,18500,1.38369,7.7908273,1.1752051,41.32915736113636,1.0,0.6195652173913043
189,18900,1.5391855,100,0.0,187,18700,4.1336036,5.672789,4.13052,223.21371456792332,0.0,0.6236559139784946
189,18900,5.557534,100,95.0,189,18900,1.8807843,7.4383183,1.8807843,263.7026474606471,1.0,0.6223404255319149
189,18900,0.9519533,100,100.0,191,19100,0.85669565,1.808649,0.8484021,158.00445122860842,1.0,0.6210526315789474
189,18900,4.446171,100,96.0,194,19400,0.8954547,5.3416257,0.8795128,175.80497038483577,1.0,0.6217616580310881
189,18900,1.6516962,100,0.0,197,19700,2.0429482,3.6946445,2.0273821,261.3310969565296,0.0,0.6224489795918368
190,19000,3.2951324,100,0.0,198,19800,3.7946436,7.089776,3.7946436,81.86862424029609,0.0,0.6192893401015228
192,19200,7.2284184,100,1.0,199,19900,2.0334876,9.261906,1.9628872,84.4166895437965,1.0,0.6161616161616161
193,19300,2.539107,100,94.0,200,20000,1.3356063,3.8747134,1.3105507,42.191959905856585,1.0,0.6180904522613065
193,19300,0.74145365,100,0.0,203,20300,7.204406,7.9458594,7.10313,244.32876788934817,0.0,0.6237623762376238
193,19300,0.8997569,100,100.0,206,20600,0.6585233,1.5582802,0.51067114,240.24836466531485,1.0,0.6195121951219512
193,19300,4.446328,100,94.0,208,20800,0.8098223,5.2561507,0.7601041,245.62437888298786,1.0,0.6231884057971014
193,19300,4.8097973,100,97.0,211,21100,0.66362995,5.4734273,0.28548938,245.57102542184336,1.0,0.6285714285714286
193,19300,1.2007252,100,100.0,214,21400,1.1747717,2.3754969,1.1735481,151.98603888009555,1.0,0.6291079812206573
196,19600,2.8538089,100,0.0,217,21700,4.4678283,7.321637,4.2755756,74.69777554250804,0.0,0.6296296296296297
197,19700,2.3682528,100,99.0,218,21800,1.6840035,4.052256,0.5843076,34.252841967257666,1.0,0.6267281105990783
197,19700,-0.12905467,100,100.0,220,22000,1.8774321,1.7483774,1.6893064,261.72393308739476,1.0,0.6255707762557078
197,19700,0.44684076,100,0.0,222,22200,3.223094,3.6699347,3.038153,259.83037292310286,0.0,0.6289592760180995
197,19700,2.8676531,100,69.0,224,22400,2.0896924,4.9573455,1.1160647,151.65943678910273,1.0,0.6278026905829597
197,19700,3.9051719,100,98.0,227,22700,0.5021881,4.40736,0.4383196,168.0144368178914,1.0,0.6327433628318584
197,19700,0.63294363,100,3.0,230,23000,2.0835795,2.7165232,1.825711,163.77685634483893,1.0,0.62882096069869
201,20100,0.41455746,100,0.0,231,23100,4.102522,4.5170794,3.9610746,46.266832835730675,0.0,0.6304347826086957
201,20100,2.413494,100,98.0,232,23200,1.1595606,3.5730548,1.1315823,48.45394147825796,1.0,0.6277056277056277
201,20100,4.2905912,100,95.0,235,23500,1.3359923,5.6265836,1.327476,227.78801500446147,1.0,0.6282051282051282
201,20100,6.9278493,100,8.0,237,23700,0.29538047,7.22323,0.14081365,167.94514349780275,1.0,0.6313559322033898
201,20100,3.59507,100,97.0,240,24000,0.4270616,4.0221314,0.35318553,265.9657617680051,1.0,0.6359832635983264
201,20100,7.4978743,100,93.0,242,24200,0.11183968,7.609714,0.07348718,239.04507445537692,1.0,0.6390041493775933
204,20400,1.304843,100,0.0,244,24400,7.6866846,8.991528,7.4745636,62.330720606225604,0.0,0.6378600823045267
