actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
4,400,-6.8784466,0.54723114,0.54723114,0.54723114,100,0.0,1,100,9.078995,4.631846,4.631846,4.631846,2.200548,5.179077,5.179077,5.179077,2.0655105,3.5783384,3.5783384,3.5783384,18.536370172678478,0.0,0.3333333333333333
33,3300,-0.57272935,-0.39649048,0.37919244,0.37919244,100,1.0,9,900,3.9329364,6.1606865,4.7703514,4.7703514,3.360207,5.764196,5.149544,5.149544,3.1358256,2.846958,2.220305,2.220305,81.87236371650167,0.0,0.59375
66,6600,1.7524757,-2.4594254,-0.44120792,-0.44120792,100,0.0,17,1700,7.10102,7.078167,5.7253447,5.7253447,8.853496,4.618741,5.2841363,5.2841363,4.3133283,1.8405339,2.332818,2.332818,87.16599700157403,0.0,0.4696969696969697
101,10100,1.4546418,0.3581749,-0.647481,-0.62862235,100,0.0,26,2600,5.4144454,6.408178,6.271012,6.188875,6.869087,6.7663527,5.623531,5.560252,3.8409498,2.9734066,2.6454263,2.6688895,46.757026562286626,0.0,0.42
117,11700,4.262153,-1.6816152,-0.9695844,-0.7041383,100,3.0,30,3000,3.5552592,6.412896,6.5279393,6.20362,7.8174124,4.7312813,5.5583553,5.4994817,0.96322024,2.8549833,2.7876558,2.7172525,25.761541089382384,1.0,0.39655172413793105
129,12900,3.1642973,1.0062921,-0.9032871,-0.56385756,100,0.0,33,3300,3.9608676,5.7968435,6.644742,6.18145,7.125165,6.803135,5.7414546,5.6175923,0.35663357,1.8431327,2.716022,2.63652,20.252441862346007,1.0,0.41732283464566927
142,14200,6.961897,0.7886547,-0.7694674,-0.40054372,100,92.0,37,3700,0.732686,4.4279737,6.5251393,5.9993677,7.694583,5.2166286,5.755672,5.598824,0.34231493,1.8117466,2.6565053,2.5501392,20.830888588053195,1.0,0.4397163120567376
154,15400,0.48304743,1.6285372,-0.43806744,-0.26179653,100,23.0,40,4000,0.23257907,5.3303394,6.249724,5.9283547,0.7156265,6.958876,5.811658,5.666558,0.075676985,1.6552458,2.5048516,2.4635704,21.366119102335528,1.0,0.47058823529411764
166,16600,1.5304415,2.7220519,0.20660624,-0.03607943,100,80.0,43,4300,0.7997041,2.5644054,5.625297,5.668034,2.3301456,5.2864575,5.8319035,5.6319547,0.104876116,1.0326854,2.3494859,2.3533647,21.579690712489263,1.0,0.503030303030303
178,17800,-3.2931442,2.4999585,0.71059257,0.105066895,100,0.0,46,4600,8.063294,3.189255,5.064614,5.484621,4.77015,5.6892138,5.775206,5.5896883,2.4349556,1.2286656,1.9797674,2.2667978,21.565438650054084,0.0,0.536723163841808
190,19000,2.9417255,2.7759495,1.1505913,0.24424522,100,28.0,50,5000,2.9162781,2.1047823,4.503631,5.2838607,5.8580036,4.8807325,5.6542225,5.5281053,1.5761297,0.7163496,1.7835826,2.1816034,19.17320823835992,1.0,0.5608465608465608
198,19800,-2.4486732,2.1518364,1.2427062,0.29802445,100,1.0,56,5600,2.7726736,2.9367847,4.200328,5.2056427,0.32400033,5.0886216,5.443033,5.503667,0.32400033,1.4242939,1.6040828,2.1591291,14.269683319003445,1.0,0.5634517766497462
206,20600,4.7827024,1.8106976,1.4390281,0.36254436,100,0.0,61,6100,1.8395036,2.7066793,3.8906388,5.092451,6.622206,4.517377,5.3296676,5.454995,1.5470642,0.37582633,1.4318869,2.08946,16.09674540413469,1.0,0.5804878048780487
214,21400,7.446946,3.4151726,1.8505583,0.48376247,100,96.0,65,6500,0.5030582,2.1226084,3.560189,4.9931173,7.950004,5.537781,5.410747,5.476879,0.26226205,0.33112282,1.2220644,2.025022,15.9871947049248,1.0,0.596244131455399
222,22200,3.6253102,3.5995529,2.055982,0.59369165,100,46.0,71,7100,2.5320432,0.9992629,3.1828222,4.8396416,6.1573534,4.5988154,5.238805,5.4333334,1.8071731,0.20502178,1.0837643,1.9616559,16.42059033498669,1.0,0.6108597285067874
230,23000,6.039922,3.726865,2.3102877,0.69741935,100,41.0,76,7600,0.9478231,2.6287124,2.9397354,4.781853,6.9877453,6.355578,5.2500224,5.4792724,0.9478231,0.79715174,1.0139412,1.9253991,14.499095496932924,1.0,0.6244541484716157
238,23800,4.9126644,3.3052316,2.499201,0.79072636,100,1.0,81,8100,1.2205416,2.246937,2.779495,4.6927786,6.133206,5.552169,5.278696,5.4835052,0.30820605,0.6268535,0.87552726,1.884668,16.12721876893797,1.0,0.6371308016877637
246,24600,-3.276175,3.2796502,2.593819,0.8846646,100,0.0,86,8600,4.6215496,2.2923405,2.6859872,4.6146593,1.3453746,5.571991,5.2798066,5.499325,0.22953758,0.45375943,0.8664243,1.8358698,16.03331568675129,1.0,0.6489795918367347
255,25500,3.9658895,3.930643,3.0005546,1.0070591,100,100.0,92,9200,0.21044879,1.2480562,2.2841244,4.491643,4.176338,5.178699,5.284679,5.498703,0.05069405,0.39434844,0.7470717,1.7863805,14.133235820849656,1.0,0.6614173228346457
263,26300,2.3333855,2.9908946,3.0268235,1.0501376,100,96.0,97,9700,1.377693,3.0865881,2.349478,4.456119,3.7110784,6.0774827,5.3763013,5.506257,0.7787382,0.86797774,0.72249657,1.7565675,16.176587086249363,1.0,0.6679389312977099
