actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
2,200,-0.15534592,100,0.0,1,100,6.57332,6.417974,5.5148053,19.166744808674547,0.0,nan
6,600,4.3297443,100,0.0,2,200,3.4857388,7.815483,3.1139257,77.25336844662546,0.0,0.0
10,1000,-1.1807384,100,0.0,3,300,7.0767303,5.895992,5.895992,74.12627380939547,0.0,0.0
14,1400,-1.1587071,100,4.0,4,400,3.517361,2.3586538,0.5484186,89.84778608951181,1.0,0.0
19,1900,4.027972,100,0.0,5,500,3.99327,8.021242,3.9665072,65.07163256212851,0.0,0.25
23,2300,-2.325261,100,2.0,6,600,3.1818523,0.85659134,0.3561214,68.97043678275081,1.0,0.2
24,2400,-4.165016,100,0.0,7,700,11.583048,7.4180317,7.4180317,94.50913341811649,0.0,0.3333333333333333
28,2800,-1.2560883,100,0.0,8,800,9.081527,7.8254385,7.8254385,94.63716475510742,0.0,0.2857142857142857
32,3200,-7.8177953,100,2.0,9,900,8.725233,0.9074377,0.16044997,85.31833596958867,1.0,0.25
36,3600,-1.4956293,100,0.0,10,1000,9.836388,8.340758,8.340758,76.42412057591258,0.0,0.3333333333333333
40,4000,-1.0629096,100,3.0,11,1100,5.658405,4.595495,1.175034,65.1516358880896,1.0,0.3
44,4400,-0.13517141,100,0.0,12,1200,6.798922,6.6637506,5.92391,68.31162959473977,0.0,0.36363636363636365
48,4800,-0.92556334,100,0.0,13,1300,4.6509757,3.7254124,2.374109,95.6191850981667,0.0,0.3333333333333333
52,5200,-3.8484383,100,1.0,14,1400,4.7107925,0.8623542,0.8623542,68.75572308106915,1.0,0.3076923076923077
56,5600,-3.65867,100,0.0,15,1500,9.278744,5.620074,5.620074,77.10453562039376,0.0,0.35714285714285715
60,6000,4.131826,100,0.0,16,1600,6.169765,10.301591,5.3699074,79.2285953319719,0.0,0.3333333333333333
64,6400,-2.130217,100,0.0,17,1700,7.6817026,5.5514855,5.5514855,65.25617337156108,0.0,0.3125
69,6900,8.499486,100,90.0,18,1800,0.8069855,9.306472,0.4345157,80.0963072053189,1.0,0.29411764705882354
72,7200,-1.7077117,100,0.0,19,1900,9.60507,7.8973584,7.8973584,93.28874599787146,0.0,0.3333333333333333
74,7400,-6.881981,100,4.0,20,2000,9.428985,2.547004,0.51599836,91.189858787715,1.0,0.3157894736842105
78,7800,0.53906107,100,4.0,21,2100,7.12277,7.661831,0.3874291,88.71938805404088,1.0,0.35
82,8200,1.34763,100,0.0,22,2200,3.8186336,5.1662636,3.5238342,66.35830380597568,0.0,0.38095238095238093
86,8600,-0.9580722,100,0.0,23,2300,3.5258667,2.5677946,2.5677946,83.91689428358093,0.0,0.36363636363636365
90,9000,-9.71837,100,0.0,24,2400,11.817757,2.0993867,2.0993867,78.80341719758985,0.0,0.34782608695652173
94,9400,-5.207404,100,0.0,25,2500,12.899663,7.692259,7.692259,87.02651896331001,0.0,0.3333333333333333
98,9800,-4.893496,100,0.0,26,2600,7.905032,3.0115361,3.0115361,87.63761859420977,0.0,0.32
102,10200,-3.5717282,100,0.0,27,2700,8.472647,4.9009185,4.6521344,46.53556511816392,0.0,0.3076923076923077
106,10600,3.409901,100,90.0,28,2800,1.9413931,5.351294,1.5726837,33.77970207721251,1.0,0.2962962962962963
110,11000,-5.38571,100,2.0,29,2900,8.027234,2.6415246,1.6134355,57.58269602027247,1.0,0.32142857142857145
114,11400,7.332248,100,13.0,30,3000,1.6838535,9.016102,1.2179704,34.86146357000064,1.0,0.3448275862068966
118,11800,-5.0145907,100,0.0,31,3100,8.932813,3.918222,2.0924382,24.01234628331679,0.0,0.36666666666666664
122,12200,1.332972,100,99.0,32,3200,1.3796809,2.712653,0.3998163,22.945389063282725,1.0,0.3548387096774194
126,12600,1.4724399,100,17.0,33,3300,1.9497823,3.4222221,1.9159358,26.773007079523666,1.0,0.375
130,13000,6.0676556,100,66.0,34,3400,0.78042775,6.8480835,0.4987277,23.76429387513205,1.0,0.3939393939393939
134,13400,5.0166087,100,0.0,35,3500,4.7535844,9.770193,4.7352033,24.437322490489567,0.0,0.4117647058823529
137,13700,1.0647936,100,0.0,36,3600,7.0320044,8.096798,6.580786,24.342180519414267,0.0,0.4
141,14100,1.2101655,100,0.0,37,3700,4.190419,5.4005847,3.416811,22.737462545401833,0.0,0.3888888888888889
144,14400,2.0600023,100,0.0,38,3800,4.275545,6.3355474,3.7309778,26.147222881812333,0.0,0.3783783783783784
148,14800,2.7381842,100,0.0,39,3900,3.7125466,6.450731,3.4467707,23.904545592364595,0.0,0.3684210526315789
151,15100,0.89883065,100,0.0,40,4000,3.330075,4.2289057,2.0454326,21.233778396981112,0.0,0.358974358974359
155,15500,1.6580461,100,99.0,41,4100,1.0676178,2.725664,0.23042285,22.601079287666046,1.0,0.35
159,15900,1.7115626,100,0.0,42,4200,4.9417763,6.653339,4.2922244,23.09961855898347,0.0,0.36585365853658536
162,16200,-1.7224202,100,0.0,43,4300,4.444446,2.7220259,2.1334167,27.563837630664906,0.0,0.35714285714285715
166,16600,4.7064385,100,0.0,44,4400,5.6437488,10.350187,5.207051,22.265362437796604,0.0,0.3488372093023256
170,17000,-0.26734924,100,0.0,45,4500,4.1894426,3.9220934,3.1056895,21.6330511320502,0.0,0.3409090909090909
175,17500,5.594803,100,96.0,46,4600,0.71629876,6.3111014,0.22971296,22.07831358755383,1.0,0.3333333333333333
179,17900,4.6637363,100,0.0,47,4700,3.9497411,8.613478,3.9436338,22.246020072899498,0.0,0.34782608695652173
183,18300,-2.5786433,100,0.0,48,4800,8.149637,5.570994,5.570994,21.498044737192124,0.0,0.3404255319148936
186,18600,4.4187193,100,40.0,49,4900,2.1987143,6.6174335,0.13419317,24.712221293273448,1.0,0.3333333333333333
188,18800,4.2075324,100,88.0,50,5000,1.8568257,6.064358,1.5739573,28.87807779854009,1.0,0.3469387755102041
190,19000,-0.30985618,100,99.0,51,5100,1.6533097,1.3434535,1.1511682,33.34136997661106,1.0,0.36
191,19100,1.9231119,100,0.0,52,5200,2.959918,4.88303,2.8217676,46.34747278167337,0.0,0.37254901960784315
192,19200,5.174658,100,0.0,53,5300,5.3414507,10.5161085,5.319325,53.675246575987586,0.0,0.36538461538461536
194,19400,6.083146,100,46.0,54,5400,3.5787342,9.6618805,0.19882393,41.812726456724974,1.0,0.3584905660377358
195,19500,2.7670627,100,0.0,55,5500,4.0796695,6.846732,3.115403,40.12988741387745,0.0,0.37037037037037035
197,19700,0.43138647,100,0.0,56,5600,5.043696,5.4750824,4.815759,45.913697918302965,0.0,0.36363636363636365
199,19900,-0.5350786,100,100.0,57,5700,1.2642456,0.72916704,0.053362533,33.562191578692996,1.0,0.35714285714285715
199,19900,-2.339137,100,6.0,58,5800,3.3389716,0.99983454,0.13735044,48.21987404649351,1.0,0.3684210526315789
202,20200,5.3021355,100,29.0,59,5900,3.146149,8.448284,0.31531927,41.4310884691137,1.0,0.3793103448275862
203,20300,5.985707,100,60.0,60,6000,0.9677186,6.9534254,0.6605486,29.19044627106202,1.0,0.3898305084745763
205,20500,3.4563775,100,35.0,61,6100,1.4441019,4.9004793,1.2461611,43.103325487808675,1.0,0.4
207,20700,0.9954853,100,0.0,62,6200,3.8629794,4.8584647,3.8569388,30.957000934252065,0.0,0.4098360655737705
209,20900,1.2986305,100,0.0,63,6300,2.7277548,4.0263853,2.2348847,46.46085651924629,0.0,0.4032258064516129
211,21100,-0.37782288,100,0.0,64,6400,6.4241495,6.0463266,4.849687,31.855051640708655,0.0,0.3968253968253968
212,21200,-0.69608045,100,2.0,65,6500,2.7693446,2.0732641,1.6929637,37.58163153029842,1.0,0.390625
214,21400,4.330638,100,2.0,66,6600,2.3378162,6.668454,1.4916683,45.39689477007014,1.0,0.4
215,21500,-2.3405786,100,0.0,67,6700,8.035062,5.6944833,5.6944833,38.62274318731851,0.0,0.4090909090909091
216,21600,-0.051355362,100,1.0,68,6800,3.0148897,2.9635344,1.9662329,68.54663235552238,1.0,0.40298507462686567
218,21800,3.9837096,100,0.0,69,6900,3.8521802,7.83589,3.8447812,36.51015067919714,0.0,0.4117647058823529
219,21900,0.747911,100,0.0,70,7000,3.140166,3.888077,2.1841986,34.64058905545743,0.0,0.4057971014492754
221,22100,0.20770818,100,100.0,71,7100,0.8660024,1.0737106,0.51372707,46.64335112969593,1.0,0.4
223,22300,2.6248958,100,9.0,72,7200,2.7061698,5.3310657,0.64650786,29.84909437266505,1.0,0.4084507042253521
224,22400,0.3820188,100,1.0,73,7300,2.0675123,2.449531,1.963838,49.92458886319571,1.0,0.4166666666666667
227,22700,1.1074953,100,0.0,74,7400,6.9284096,8.035905,5.533552,35.10907886447689,0.0,0.4246575342465753
228,22800,4.2569046,100,68.0,75,7500,1.5982562,5.8551607,0.14697869,37.551692505981066,1.0,0.4189189189189189
229,22900,2.1174965,100,0.0,76,7600,3.819521,5.9370174,3.7930088,61.16848420927672,0.0,0.4266666666666667
231,23100,6.4352417,100,0.0,77,7700,2.3393764,8.774618,2.3287618,34.001535876032605,0.0,0.42105263157894735
232,23200,8.2099495,100,86.0,78,7800,0.91037184,9.120321,0.19062169,38.98657133588578,1.0,0.4155844155844156
234,23400,1.6141424,100,98.0,79,7900,0.24826482,1.8624072,0.14462945,44.70020210614985,1.0,0.4230769230769231
236,23600,1.6999505,100,0.0,80,8000,2.1600683,3.8600187,2.033422,34.99957860023515,0.0,0.43037974683544306
237,23700,2.0158575,100,100.0,81,8100,0.46400276,2.4798603,0.112640105,49.45334084158439,1.0,0.425
239,23900,6.946454,100,90.0,82,8200,0.7480814,7.6945353,0.11798844,37.217252788518394,1.0,0.43209876543209874
241,24100,-0.48410916,100,0.0,83,8300,4.315031,3.830922,3.755699,37.04194603607486,0.0,0.43902439024390244
243,24300,5.666181,100,1.0,84,8400,2.566358,8.232539,1.9474523,45.86981244718491,1.0,0.43373493975903615
244,24400,3.7781801,100,97.0,85,8500,1.1330118,4.911192,0.21873493,36.418499326211084,1.0,0.44047619047619047
244,24400,1.8862054,100,47.0,86,8600,2.8342507,4.720456,1.7246485,54.20842883849993,1.0,0.4470588235294118
247,24700,5.8837867,100,93.0,87,8700,1.6511388,7.5349255,1.3691287,47.142647763617774,1.0,0.45348837209302323
248,24800,2.3055143,100,96.0,88,8800,0.37929302,2.6848073,0.11076783,32.687598722018436,1.0,0.45977011494252873
249,24900,2.221425,100,99.0,89,8900,1.3294135,3.5508387,1.313757,54.57782931832365,1.0,0.4659090909090909
251,25100,0.14939213,100,0.0,90,9000,3.8467386,3.9961307,3.110717,30.696277083713746,0.0,0.47191011235955055
252,25200,6.8785343,100,67.0,91,9100,1.8424932,8.721027,1.2245257,72.99457418480073,1.0,0.4666666666666667
254,25400,5.097607,100,95.0,92,9200,0.8191567,5.916764,0.25874177,52.85097357693254,1.0,0.4725274725274725
255,25500,5.9024324,100,5.0,93,9300,2.2555492,8.157982,1.6738015,28.326983974329536,1.0,0.4782608695652174
256,25600,2.0183225,100,94.0,94,9400,1.7751484,3.7934709,1.317765,49.757494283166764,1.0,0.4838709677419355
259,25900,1.4806333,100,0.0,95,9500,5.2830505,6.763684,4.229642,37.381252494910804,0.0,0.48936170212765956
260,26000,0.80319405,100,0.0,96,9600,4.109627,4.912821,3.181063,38.33775379896952,0.0,0.4842105263157895
262,26200,1.1129954,100,98.0,97,9700,1.7150016,2.827997,1.7106482,49.063773369402846,1.0,0.4791666666666667
263,26300,2.8482747,100,0.0,98,9800,3.846161,6.6944356,3.5729408,32.74657657560593,0.0,0.4845360824742268
264,26400,1.9656594,100,90.0,99,9900,2.3179986,4.283658,1.5705935,49.07123564676793,1.0,0.47959183673469385
267,26700,3.8991227,100,92.0,100,10000,1.1501218,5.0492444,0.2083544,31.36190843644477,1.0,0.48484848484848486
268,26800,-0.013476104,100,100.0,101,10100,0.30301154,0.28953543,0.28953543,40.219794740487494,1.0,0.49
271,27100,3.1887255,100,29.0,102,10200,1.5132788,4.7020044,1.2461877,35.09393263691624,1.0,0.49504950495049505
271,27100,7.3424125,100,83.0,103,10300,1.073686,8.416099,0.3145625,43.30724417588694,1.0,0.5
272,27200,5.261085,100,0.0,104,10400,2.7847905,8.045876,2.507017,62.584458274829416,0.0,0.5048543689320388
275,27500,0.24019194,100,17.0,105,10500,2.6731293,2.9133213,1.9447863,41.5117536356029,1.0,0.5
275,27500,0.6692529,100,6.0,106,10600,2.0929742,2.762227,1.8367926,35.551945052238246,1.0,0.5047619047619047
277,27700,1.0810065,100,0.0,107,10700,2.9023407,3.9833472,2.0409741,68.90510430875398,0.0,0.5094339622641509
279,27900,0.5081215,100,0.0,108,10800,4.1469584,4.65508,3.9749181,28.563311022786614,0.0,0.5046728971962616
279,27900,4.4342165,100,83.0,109,10900,1.8569442,6.2911606,1.8439766,79.62866948314792,1.0,0.5
281,28100,-0.7246301,100,0.0,110,11000,3.2506878,2.5260577,2.5260577,63.75927798231257,0.0,0.5045871559633027
283,28300,4.8847103,100,0.0,111,11100,3.1238146,8.008525,2.0096817,29.96797931287561,0.0,0.5
283,28300,5.741653,100,0.0,112,11200,2.55872,8.300373,2.0004594,90.07255103741284,0.0,0.4954954954954955
285,28500,9.483846,100,82.0,113,11300,0.71883684,10.2026825,0.10547272,57.66030506331863,1.0,0.49107142857142855
287,28700,-0.3873052,100,100.0,114,11400,0.5904147,0.20310952,0.17540216,33.03439139687385,1.0,0.49557522123893805
287,28700,3.580763,100,0.0,115,11500,2.143387,5.72415,2.0791624,59.16350781729703,0.0,0.5
289,28900,5.976818,100,96.0,116,11600,0.6520561,6.6288743,0.06813345,50.38687201172485,1.0,0.4956521739130435
291,29100,4.1038356,100,71.0,117,11700,1.0687569,5.1725926,1.0506439,27.188411238410435,1.0,0.5
