delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
-5.4723015,100,0.0,1,100,8.478746,3.0064452,3.0064452,21.931164142499778,0.0,nan
0.37095308,100,0.0,2,200,5.2928085,5.6637616,4.5049634,80.66142963079204,0.0,0.0
-2.8916864,100,1.0,3,300,3.847579,0.95589244,0.95589244,66.60559214574674,1.0,0.0
-1.4294114,100,0.0,4,400,9.186404,7.756993,7.756993,93.10715159382829,0.0,0.3333333333333333
-0.22196531,100,0.0,5,500,6.3310275,6.109062,5.395018,61.887417624064284,0.0,0.25
-0.8056421,100,0.0,6,600,6.327378,5.5217357,5.5217357,57.05245194182595,0.0,0.2
-1.2305956,100,0.0,7,700,8.262367,7.0317717,7.0317717,68.8826416171434,0.0,0.16666666666666666
3.164868,100,4.0,9,900,3.054743,6.219611,0.52629983,105.45065448080003,1.0,0.125
0.79802036,100,0.0,10,1000,4.664312,5.4623322,4.664312,63.54748982124511,0.0,0.2222222222222222
-1.0670366,100,0.0,11,1100,6.6206384,5.5536017,5.278891,94.44042027219116,0.0,0.2
-1.9854116,100,0.0,12,1200,11.44957,9.464158,9.464158,70.10533423814029,0.0,0.18181818181818182
0.25128412,100,0.0,13,1300,5.787667,6.038951,5.1409516,68.25576840676969,0.0,0.16666666666666666
-3.9463482,100,0.0,14,1400,6.251658,2.3053098,2.3053098,65.41342138084056,0.0,0.15384615384615385
-0.73780155,100,0.0,15,1500,10.601834,9.864033,9.864033,92.75772571179871,0.0,0.14285714285714285
0.25158596,100,0.0,16,1600,4.305085,4.556671,4.278763,69.04492796900479,0.0,0.13333333333333333
0.08080578,100,0.0,17,1700,8.592396,8.673202,8.563087,92.57206093422144,0.0,0.125
-1.3695197,100,0.0,18,1800,8.939528,7.5700088,7.1646914,85.5600277182974,0.0,0.11764705882352941
-7.167012,100,0.0,19,1900,9.141929,1.9749166,1.9749166,59.15911845479797,0.0,0.1111111111111111
-0.5576868,100,0.0,20,2000,5.7390924,5.1814055,5.1814055,69.51697655886404,0.0,0.10526315789473684
0.82248545,100,0.0,21,2100,5.1384797,5.960965,4.543785,71.85958756545747,0.0,0.1
9.342786,100,86.0,22,2200,1.4363003,10.779086,0.2536549,82.22332699223229,1.0,0.09523809523809523
4.1677446,100,0.0,23,2300,4.2896748,8.457419,4.1303477,95.50646637113573,0.0,0.13636363636363635
-2.6946592,100,0.0,24,2400,5.5822077,2.8875484,2.411873,73.43857599019769,0.0,0.13043478260869565
-2.4590015,100,0.0,25,2500,8.39788,5.938878,5.938878,68.41844782615078,0.0,0.125
