actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
111,0.0,11100,0.98125505,0.00390625,0.07872874,29,2900,1,0,-12.377651,-12.69429,12.223899,0.0
121,0.0,12100,0.99609375,0.0154418945,0.022042545,31,3100,10,10.466096639633179,-10.456397,-4.609299,0.05187428,42.53245341021965
131,0.0,13100,0.99609375,0.027709961,0.021358933,34,3400,20,21.04120969772339,-10.2895355,-4.458789,0.037328556,60.33748926700982
142,0.0,14200,0.9960873,0.027770996,0.021504015,37,3700,30,31.48558807373047,-9.533458,-4.487044,0.14454773,66.86106019564987
151,0.0,15100,0.99608994,0.032287598,0.020911656,39,3900,40,41.78874754905701,-9.735096,-4.3478217,0.080482386,51.68836418307742
161,0.0,16100,0.9960909,0.034484863,0.020638507,42,4200,50,52.01469397544861,-9.518389,-4.2875533,0.12545215,63.843523164241695
171,0.0,17100,0.99608684,0.043029785,0.020390783,45,4500,60,62.756242513656616,-9.352797,-4.2122984,0.10850063,70.77079250181781
179,0.0,17900,0.9960904,0.05609131,0.01952196,47,4700,70,72.83257174491882,-9.709631,-3.9930274,0.066025436,64.23294623977021
189,0.0,18900,0.99609375,0.066101074,0.019104343,50,5000,80,83.4084849357605,-10.202287,-3.8828025,0.05804127,64.77092507399173
197,0.0,19700,0.996089,0.07269287,0.018877683,56,5600,90,93.65669560432434,-10.863626,-3.8224382,0.10090053,45.821000110952745
202,0.0,20200,0.99609375,0.08898926,0.01857152,61,6100,101,104.36554479598999,-12.002701,-3.7395768,0.15674376,69.76125674261081
210,0.0,21000,0.99609375,0.09527588,0.018155824,66,6600,111,114.55500531196594,-12.354371,-3.6307974,0.08071748,66.98599493878353
215,0.0,21500,0.99609184,0.10095215,0.018140407,73,7300,121,124.59285306930542,-11.935109,-3.619217,0.09534183,57.6023827584764
222,0.0,22200,0.9960923,0.1171875,0.017897585,77,7700,131,134.63643980026245,-12.5106735,-3.5592043,0.108187586,72.22093242557908
230,0.0,23000,0.9960892,0.12017822,0.01779002,82,8200,141,144.69461345672607,-13.00968,-3.5265455,0.12241465,67.6352522595228
236,0.0,23600,0.99608994,0.13232422,0.017317792,87,8700,152,155.4295608997345,-13.430844,-3.4084444,0.1314096,61.734788892149496
242,0.0,24200,0.9960706,0.13891602,0.017679166,93,9300,163,166.44236707687378,-14.137366,-3.482419,0.60727245,58.85202752876276
249,0.0,24900,0.99608946,0.15063477,0.016784802,98,9800,173,176.5438268184662,-14.362305,-3.2612796,0.20686735,66.83732067542591
256,0.0,25600,0.9960873,0.15020752,0.016596429,103,10300,184,187.46228766441345,-14.948647,-3.2142134,0.20276904,59.05965337178598
263,0.0,26300,0.99608827,0.16021729,0.016205668,106,10600,194,197.60846781730652,-15.204617,-3.1079378,0.14787033,72.3922689659413
270,0.0,27000,0.9960854,0.16021729,0.016082514,111,11100,204,207.66945433616638,-15.69081,-3.0747097,0.15699454,61.183320584693064
276,0.0,27600,0.9960954,0.16107178,0.015977422,115,11500,215,218.5901198387146,-16.255579,-3.046972,0.17217833,61.952209860085894
283,0.0,28300,0.9960878,0.17388916,0.016087312,119,11900,225,228.62555766105652,-16.040466,-3.0704775,0.19347876,70.95293433834952
289,0.0,28900,0.99609303,0.17980957,0.015342513,125,12500,236,239.4897756576538,-16.44125,-2.8822823,0.1676129,62.276402031557254
297,0.0,29700,0.99608874,0.18078613,0.015754148,131,13100,247,250.5643332004547,-16.147884,-2.9835644,0.21597682,55.574006559516576
302,0.0,30200,0.99608946,0.18164062,0.015621198,135,13500,258,261.434602022171,-17.329594,-2.948009,0.21094877,71.66611206629575
310,0.0,31000,0.9960897,0.18664551,0.01536903,141,14100,268,271.65971970558167,-16.637896,-2.880136,0.19417709,63.36389915045994
317,0.0,31700,0.9960871,0.19793701,0.015175771,146,14600,279,282.70280408859253,-16.923956,-2.8341525,0.20167229,56.460843035820766
324,0.0,32400,0.99609065,0.19500732,0.015202394,150,15000,290,293.6690630912781,-16.823336,-2.8423061,0.12996162,62.20803707887952
331,0.0,33100,0.99609447,0.19372559,0.015326457,155,15500,300,304.30483651161194,-17.748814,-2.8688965,0.23157358,71.54016940308094
338,0.0,33800,0.996089,0.20739746,0.014824098,160,16000,311,315.31598234176636,-17.870964,-2.7406723,0.1981987,61.10749674470274
344,0.0,34400,0.9960861,0.21673584,0.0146419285,166,16600,322,326.1604948043823,-18.538637,-2.6879096,0.24999931,63.629552355061
350,0.0,35000,0.99608994,0.20916748,0.014869008,171,17100,332,336.42965388298035,-17.70953,-2.7512918,0.23236683,73.02861859475476
357,0.0,35700,0.9960904,0.20959473,0.014855825,176,17600,342,346.5532865524292,-18.130611,-2.744586,0.21926732,59.186995397738535
364,0.0,36400,0.9960973,0.20935059,0.014874045,180,18000,353,357.49701976776123,-17.938343,-2.7497482,0.20908153,66.25093100620244
371,0.0,37100,0.9960995,0.21502686,0.014756264,185,18500,363,367.8467149734497,-18.208113,-2.7221856,0.16834596,66.7504474722975
378,0.0,37800,0.99608994,0.21038818,0.014559964,189,18900,373,378.01764369010925,-18.590164,-2.6636972,0.23790117,59.23488871313976
383,0.0,38300,0.9960923,0.22070312,0.014537444,194,19400,384,388.90897703170776,-18.858625,-2.6619127,0.19994116,66.08263373934484
390,0.0,39000,0.99608874,0.21661377,0.014426729,198,19800,394,399.2027199268341,-18.703537,-2.6307712,0.23379292,67.67557930106713
399,0.0,39900,0.99608564,0.21063232,0.014916835,203,20300,405,410.35418820381165,-18.163599,-2.7555375,0.31209666,55.472403954387204
405,0.0,40500,0.9960916,0.21411133,0.014638169,208,20800,416,421.3026556968689,-18.51361,-2.6886039,0.23511612,60.06838387936353
412,0.0,41200,0.99608755,0.21868896,0.0142350765,212,21200,427,432.20858502388,-18.856695,-2.582686,0.19264528,62.35178158760952
419,0.0,41900,0.996089,0.21221924,0.014477493,216,21600,437,442.3308937549591,-18.465158,-2.6413412,0.2143186,69.70453905132813
425,0.0,42500,0.9960909,0.21520996,0.014536528,221,22100,448,453.10894751548767,-18.004053,-2.6634498,0.19153795,59.91886931688565
431,0.0,43100,0.99608827,0.21759033,0.014363144,225,22500,458,463.35425782203674,-18.783657,-2.6007895,0.31624895,59.89920144203231
439,0.0,43900,0.996083,0.22784424,0.014318927,230,23000,468,473.6272156238556,-18.978565,-2.5943437,0.2884996,57.66633347490224
445,0.0,44500,0.99608994,0.2107544,0.014273189,236,23600,479,484.69860577583313,-19.00237,-2.59148,0.18077302,55.86266259475264
452,0.0,45200,0.9960809,0.22460938,0.0142757185,240,24000,489,494.9763870239258,-18.505318,-2.5892034,0.22845662,59.978365952875386
458,0.0,45800,0.99609447,0.22277832,0.014327709,244,24400,499,505.1131715774536,-18.864702,-2.6048832,0.16981825,55.65910440073907
464,0.0,46400,0.9960778,0.22790527,0.014230694,250,25000,510,515.9565336704254,-19.498016,-2.5668156,0.28171745,70.00706915414517
472,0.0,47200,0.99608684,0.2267456,0.013934779,254,25400,520,526.2998695373535,-19.809101,-2.495163,0.19946718,56.131095216836265
478,0.0,47800,0.9960921,0.22961426,0.0140037695,258,25800,530,536.3949458599091,-18.980309,-2.5141625,0.18745925,69.21013562518225
484,0.0,48400,0.996084,0.23724365,0.013976128,262,26200,540,546.4527490139008,-19.148499,-2.5066156,0.22803119,69.01594715989582
492,0.0,49200,0.99608994,0.23602295,0.013797841,267,26700,551,557.5900964736938,-19.099245,-2.4604886,0.19252025,52.65344096963686
498,0.0,49800,0.9960933,0.23016357,0.014103131,272,27200,561,567.7976379394531,-18.948166,-2.540841,0.24477491,58.35110683993758
503,0.0,50300,0.99609184,0.24133301,0.013621302,276,27600,571,577.8965244293213,-19.83501,-2.4130557,0.20759657,66.44009461760287
510,0.0,51000,0.9960859,0.2498169,0.013651721,280,28000,581,588.0479862689972,-20.08479,-2.41364,0.27379626,67.8878087172214
517,0.0,51700,0.9960985,0.2432251,0.01384216,285,28500,591,598.6000263690948,-19.616314,-2.470364,0.21550068,53.701171647205896
524,0.0,52400,0.99610496,0.23876953,0.013701871,289,28900,601,609.0969002246857,-18.948051,-2.4399776,0.1852704,58.56913299459071
530,0.0,53000,0.9960923,0.24102783,0.013642691,294,29400,611,619.2971942424774,-19.343493,-2.419002,0.18553504,60.35401271943453
536,0.0,53600,0.9960921,0.24609375,0.013553465,298,29800,621,629.5047600269318,-19.009123,-2.3974626,0.19740441,70.25989744561532
543,0.0,54300,0.9960978,0.23223877,0.014071617,303,30300,631,639.7052290439606,-19.14832,-2.5291622,0.26346663,59.39589169248852
548,0.0,54800,0.9960985,0.2543335,0.013479229,307,30700,641,649.7413356304169,-19.711494,-2.375305,0.25810817,60.51227015024628
555,0.0,55500,0.9960761,0.24499512,0.013666406,313,31300,651,660.0767056941986,-20.09222,-2.421749,0.32051808,66.36683303158213
561,0.0,56100,0.9961004,0.24676514,0.013533315,319,31900,662,671.0022864341736,-19.423136,-2.3910384,0.1962356,59.34918112706542
568,0.0,56800,0.9960954,0.24432373,0.013582585,322,32200,672,681.1697361469269,-19.544838,-2.4008389,0.22183716,67.09893335786303
576,0.0,57600,0.9960909,0.24664307,0.013707727,326,32600,682,691.4756772518158,-19.423481,-2.4283895,0.31310102,71.12924920592987
582,0.0,58200,0.9960947,0.23919678,0.013669896,330,33000,692,701.4835648536682,-19.253399,-2.424455,0.20423284,54.729267809332434
588,0.0,58800,0.9960928,0.24890137,0.0135435285,333,33300,702,711.5473947525024,-19.049772,-2.3862648,0.214459,67.35136258097279
595,0.0,59500,0.9960911,0.24456787,0.013621683,338,33800,712,721.8150703907013,-19.242254,-2.402966,0.27659553,62.5871315098107
601,0.0,60100,0.9960935,0.23724365,0.013664417,343,34300,722,731.9698307514191,-18.909689,-2.42058,0.23780727,60.24197197726907
608,0.0,60800,0.9960933,0.24072266,0.013751822,348,34800,732,742.3106892108917,-18.727419,-2.4346056,0.29372355,57.37541219771811
615,0.0,61500,0.9960978,0.25219727,0.01343363,352,35200,743,753.3044724464417,-19.692106,-2.3528333,0.22835082,52.631699312701976
620,0.0,62000,0.9961045,0.25561523,0.013380938,356,35600,753,763.3393940925598,-19.328302,-2.348036,0.20276432,69.39248390469875
626,0.0,62600,0.99609566,0.23980713,0.01375645,361,36100,763,773.599114894867,-19.060183,-2.4376855,0.32388246,70.30107776383058
