actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
1,100,2.2399502,-0.111985445,-0.111985445,-0.111985445,100,0.0,2.4714046,4.2909765,4.2909765,4.2909765,4.7113547,4.1789913,4.1789913,4.1789913,2.4714046,3.0234032,3.0234032,3.0234032,26.761638714457423,1.0,nan
33,3300,-6.3714957,0.44503736,0.7852753,0.7852753,100,0.0,9.69865,4.651432,4.4421463,4.4421463,3.3271546,5.096469,5.2274213,5.2274213,0.47253314,1.3154542,2.2173836,2.2173836,66.54072333439731,1.0,0.6
65,6500,-0.3609681,0.634263,0.87226504,0.87226504,100,24.0,5.7903013,6.0314946,4.7905307,4.7905307,5.429333,6.665757,5.6627955,5.6627955,4.8337955,2.856075,1.9788706,1.9788706,66.20629738205747,0.0,0.6290322580645161
95,9500,0.20760345,-0.65339243,0.35280365,0.35280365,100,0.0,8.1513605,8.158917,5.773345,5.773345,8.358964,7.5055246,6.126148,6.126148,5.4488816,3.595738,2.1192462,2.1192462,68.43558359786158,0.0,0.6153846153846154
114,11400,3.6809013,1.165782,0.33839306,0.47980407,100,2.0,1.4430473,5.0569496,5.9103103,5.6148634,5.1239486,6.2227316,6.248703,6.094667,1.4430473,1.9272547,2.0657454,2.047102,41.316162264804795,1.0,0.6238532110091743
122,12200,3.3610175,0.111701824,0.34649166,0.4442388,100,0.0,2.6520932,5.0175314,5.821961,5.571681,6.0131106,5.129233,6.168454,6.01592,1.9509208,1.9203236,1.9239588,2.0525599,21.384187778920044,1.0,0.6206896551724138
136,13600,3.5944424,1.2380555,0.60669607,0.5409161,100,52.0,1.680746,3.630487,5.6325755,5.3524036,5.2751884,4.8685427,6.2392716,5.8933196,0.04441192,1.3389022,1.9563864,1.9910177,21.91998801752364,1.0,0.6412213740458015
146,14600,-6.6338677,2.151611,0.5084036,0.6497469,100,0.0,6.919408,3.1547236,5.64538,5.2039113,0.28554022,5.3063354,6.153783,5.853658,0.28554022,0.7106994,1.9475529,1.9045094,22.86043424700495,1.0,0.6642857142857143
158,15800,0.8017304,2.0567482,0.6129277,0.72757745,100,92.0,0.44156137,3.0995705,5.2945194,5.063899,1.2432917,5.1563187,5.9074464,5.7914767,0.44156137,0.5731697,1.7629355,1.8039465,21.841566800641825,1.0,0.6907894736842105
171,17100,0.041501045,4.7907057,1.16465,0.9701171,100,0.0,10.032857,2.1432254,4.698344,4.822812,10.074358,6.933931,5.862994,5.792929,0.16409224,0.32128263,1.4541991,1.6945311,22.47516229813473,1.0,0.7151515151515152
