actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
1,100,2.428885,100,0.0,1,100,4.416223,6.845108,2.3498118,26.745350367071502,0.0,nan
7,700,0.46283245,100,0.0,2,200,5.333999,5.7968316,4.9573746,67.6018491327637,0.0,0.0
11,1100,0.9497633,100,0.0,3,300,5.872856,6.8226194,2.8798687,70.08883960410864,0.0,0.0
15,1500,0.082551956,100,0.0,4,400,8.877407,8.959959,5.305147,65.12359466124599,0.0,0.0
19,1900,7.0061684,100,21.0,5,500,1.7598134,8.765982,0.23933433,72.23569104171851,1.0,0.0
23,2300,-2.3378103,100,1.0,6,600,4.8002386,2.4624283,1.9087068,66.4573691190521,1.0,0.2
27,2700,1.0150089,100,4.0,7,700,3.4656487,4.4806576,1.3933225,72.91871196014901,1.0,0.3333333333333333
30,3000,0.23339629,100,6.0,8,800,2.5063238,2.73972,1.3624537,71.50969658490078,1.0,0.42857142857142855
34,3400,-0.47551346,100,0.0,9,900,10.326496,9.850983,8.985884,76.29215704713637,0.0,0.5
38,3800,2.1387312,100,0.0,10,1000,3.0989745,5.2377057,3.0662253,69.73959784750714,0.0,0.4444444444444444
42,4200,1.4565177,100,0.0,11,1100,4.1059055,5.562423,4.1059055,68.21644808029505,0.0,0.4
46,4600,-3.5935075,100,10.0,12,1200,7.0010104,3.407503,1.8273301,73.47883213213318,1.0,0.36363636363636365
50,5000,0.860919,100,0.0,13,1300,7.9635906,8.82451,6.802912,67.74243460357074,0.0,0.4166666666666667
54,5400,1.8994346,100,46.0,14,1400,1.7853367,3.6847713,0.23620132,68.71226751085653,1.0,0.38461538461538464
59,5900,-0.6427398,100,0.0,15,1500,6.87651,6.2337704,5.951824,67.7295593553918,0.0,0.42857142857142855
63,6300,-1.0374622,100,0.0,16,1600,8.788893,7.7514305,6.046236,65.93761156820943,0.0,0.4
67,6700,1.2761292,100,9.0,17,1700,3.3672247,4.643354,1.4321123,68.86456893970042,1.0,0.375
71,7100,-0.5279701,100,61.0,18,1800,1.1288083,0.6008382,0.28188142,74.61455056174778,1.0,0.4117647058823529
75,7500,4.9385414,100,0.0,19,1900,4.659528,9.598069,4.659528,71.16419855306557,0.0,0.4444444444444444
79,7900,-3.093544,100,1.0,20,2000,5.5358896,2.4423456,1.8429583,69.99444957877877,1.0,0.42105263157894735
83,8300,3.2248812,100,0.0,21,2100,4.171644,7.3965254,2.897309,75.3506858499369,0.0,0.45
87,8700,-3.5109017,100,8.0,22,2200,7.1628714,3.6519697,1.4639317,71.27678846059074,1.0,0.42857142857142855
91,9100,2.7895808,100,3.0,23,2300,4.1668835,6.9564643,1.1402394,64.94754479995082,1.0,0.45454545454545453
95,9500,-0.9689164,100,1.0,24,2400,6.1667576,5.197841,1.8906093,66.51551369043474,1.0,0.4782608695652174
99,9900,0.32140124,100,43.0,25,2500,1.2626723,1.5840735,1.1381171,53.29683218153257,1.0,0.5
103,10300,1.835228,100,0.0,26,2600,5.942288,7.777516,5.779977,43.917394792009034,0.0,0.52
