actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
113,0.0,11300,0.98312163,0.003967285,0.08935576,28,2800,1,0,-12.236782,-13.334644,3.7166662,0.0
120,0.0,12000,0.99600124,0.00793457,0.032206118,30,3000,10,10.055927991867065,-8.5009365,-7.021634,4.8177333,67.31077951083763
132,0.0,13200,0.99609375,0.022583008,0.022261735,33,3300,20,20.643242120742798,-7.0001287,-4.7057004,0.041698042,51.38202176862883
140,0.0,14000,0.99609375,0.025512695,0.02214393,35,3500,30,30.91315269470215,-7.029237,-4.6790147,0.026262686,54.05700327339988
148,0.0,14800,0.99609375,0.029907227,0.021911884,38,3800,40,41.10992217063904,-7.213333,-4.6147847,0.028448518,70.01479297503222
156,0.0,15600,0.99609375,0.03173828,0.0214243,40,4000,50,51.48498749732971,-7.3890934,-4.4918175,0.032313034,63.030225387823016
165,0.0,16500,0.99609375,0.0435791,0.021212699,42,4200,60,61.707966327667236,-7.5929527,-4.438694,0.039237365,68.17467274638054
176,0.0,17600,0.99609375,0.044067383,0.020948201,45,4500,70,72.20633316040039,-7.7950296,-4.364356,0.05675803,61.33588454473603
184,0.0,18400,0.99609375,0.047729492,0.020616978,47,4700,80,82.21114373207092,-8.195248,-4.278696,0.07905054,61.87640920813268
193,0.0,19300,0.99609375,0.064819336,0.020342266,50,5000,90,92.54460716247559,-8.720768,-4.1970377,0.07350521,61.8838125813645
202,0.0,20200,0.99609375,0.07598877,0.019851677,52,5200,100,102.92289471626282,-9.1217,-4.0729957,0.04309526,56.73959037904819
207,0.0,20700,0.99609375,0.093566895,0.01966311,56,5600,111,113.95302486419678,-9.423095,-4.020113,0.07389738,60.13574815320941
214,0.0,21400,0.99609375,0.10491943,0.01927457,59,5900,121,124.34371066093445,-9.896826,-3.9232402,0.06522049,71.19899719220182
221,0.0,22100,0.99609375,0.11236572,0.018902227,64,6400,131,134.49490308761597,-10.188528,-3.823157,0.058283824,55.64177565023772
226,0.0,22600,0.9960935,0.11242676,0.01895283,67,6700,142,145.42644119262695,-9.968764,-3.836316,0.094068736,64.51964236227032
234,0.0,23400,0.996094,0.12194824,0.018640993,71,7100,152,155.53461384773254,-10.093193,-3.7557106,0.12768847,60.66317424912684
241,0.0,24100,0.99609375,0.12432861,0.018423285,74,7400,162,165.70482230186462,-10.254019,-3.6956408,0.10926034,60.56778544326875
247,0.0,24700,0.99609375,0.12750244,0.01834986,78,7800,173,176.5518181324005,-10.09951,-3.679121,0.119645014,58.83231869754911
