actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
113,0.0,11300,0.9951031,0.00390625,0.055388622,29,2900,1,0,-9.520367,-10.138269,2.4423125,0.0
119,0.0,11900,0.99609375,0.025634766,0.022042865,30,3000,7,10.124009132385254,-7.9107366,-4.626065,0.07969117,58.879458696382684
127,0.0,12700,0.99609375,0.030700684,0.021855665,33,3300,13,20.497199296951294,-7.5287423,-4.612924,0.04297883,46.42091778149772
138,0.0,13800,0.99609375,0.028686523,0.02151859,35,3500,20,32.04347896575928,-7.9133883,-4.5216703,0.04934536,29.112431698122702
145,0.0,14500,0.99609375,0.03387451,0.021356251,37,3700,26,42.138355016708374,-7.6127033,-4.478919,0.036818504,30.113085952530366
153,0.0,15300,0.99609375,0.038757324,0.021307047,40,4000,33,53.04322600364685,-7.952643,-4.460474,0.05786089,40.3104842821139
161,0.0,16100,0.99609375,0.042175293,0.021032251,42,4200,39,63.12113809585571,-8.201973,-4.388427,0.04656013,33.61163900959433
166,0.0,16600,0.99609375,0.04626465,0.020713594,46,4600,45,73.14181184768677,-8.450912,-4.3049803,0.03598833,36.11831302395078
171,0.0,17100,0.99609375,0.06109619,0.020585023,52,5200,52,85.1609058380127,-8.580552,-4.2627773,0.062053993,28.36680921465597
175,0.0,17500,0.99609375,0.07598877,0.020043198,57,5700,58,95.49639391899109,-9.077732,-4.1225557,0.06195923,26.556302014886185
179,0.0,17900,0.99609375,0.09307861,0.019565623,64,6400,65,107.33272314071655,-9.8478985,-4.0017767,0.05772142,30.023086538280864
183,0.0,18300,0.99609375,0.10083008,0.019392926,70,7000,71,118.2133719921112,-10.23392,-3.9487777,0.13770756,27.73462584691021
187,0.0,18700,0.99609375,0.10614014,0.01923367,77,7700,78,130.04500126838684,-10.519205,-3.909893,0.16710317,34.683895722247115
191,0.0,19100,0.99609375,0.11242676,0.018957984,82,8200,84,140.25467944145203,-10.726099,-3.8417513,0.08689271,37.96088395883683
195,0.0,19500,0.99609375,0.12445068,0.018508598,89,8900,91,151.58894753456116,-11.391104,-3.7240415,0.05993232,31.717819586309638
199,0.0,19900,0.99609375,0.12371826,0.018739857,95,9500,97,162.65206050872803,-11.42104,-3.7826536,0.18297884,34.28406548157896
203,0.0,20300,0.99609375,0.12872314,0.018398209,100,10000,103,173.2344787120819,-11.543501,-3.6931272,0.12232868,39.36449923136449
207,0.0,20700,0.99609375,0.13336182,0.018075246,106,10600,110,184.2785611152649,-11.791526,-3.6079597,0.06899439,48.822700066149295
211,0.0,21100,0.99609375,0.12719727,0.018230105,111,11100,117,195.01848673820496,-11.5651455,-3.6500554,0.08666622,52.011710777131356
216,0.0,21600,0.99609375,0.12823486,0.0182162,116,11600,125,205.9941589832306,-11.220596,-3.6419554,0.09445355,49.298390704624104
222,0.0,22200,0.9960942,0.14880371,0.017837074,121,12100,132,216.24349761009216,-11.836529,-3.5425282,0.10328837,32.24954293151914
227,0.0,22700,0.9960942,0.13720703,0.017811699,125,12500,140,227.01174211502075,-11.59761,-3.5406566,0.11891426,38.23633772755735
231,0.0,23100,0.9960935,0.14776611,0.017810594,130,13000,147,237.15310955047607,-11.39914,-3.5365448,0.18237235,36.536405543000285
235,0.0,23500,0.99609375,0.14910889,0.017697971,134,13400,155,247.72525906562805,-11.507305,-3.5162454,0.122733034,46.555117256052796
239,0.0,23900,0.99609375,0.14855957,0.01744499,139,13900,162,258.01221108436584,-11.676285,-3.448875,0.13430521,44.40864987412042
245,0.0,24500,0.9960942,0.15441895,0.017259687,144,14400,169,268.4469349384308,-11.7739315,-3.3904495,0.106505856,35.05983560362803
249,0.0,24900,0.99609375,0.15228271,0.017203353,149,14900,177,279.4108145236969,-11.818529,-3.3758335,0.17195669,53.06745437572726
255,0.0,25500,0.99609375,0.1585083,0.017012388,153,15300,184,289.85259532928467,-11.953229,-3.329278,0.10014375,41.973917062739275
259,0.0,25900,0.99609375,0.16021729,0.017136876,158,15800,192,300.59792709350586,-11.8633795,-3.358104,0.14873573,63.56828532043633
263,0.0,26300,0.99609375,0.16583252,0.016740121,163,16300,199,310.66140508651733,-12.390347,-3.2620645,0.15039748,57.25332037127841
269,0.0,26900,0.99609375,0.1640625,0.017217806,168,16800,207,322.0155339241028,-12.03771,-3.381185,0.17183916,36.47567289339028
273,0.0,27300,0.99609375,0.16674805,0.016915431,173,17300,214,332.1184937953949,-12.4342375,-3.2966175,0.20797232,44.22065233649909
279,0.0,27900,0.99609375,0.17236328,0.016701689,177,17700,221,342.7071406841278,-12.578099,-3.244352,0.1229011,32.757427412343965
283,0.0,28300,0.99609375,0.1694336,0.016779594,183,18300,228,353.1140847206116,-12.443096,-3.2632496,0.17841113,30.21502580263257
288,0.0,28800,0.99609375,0.18109131,0.016467601,187,18700,236,363.81224250793457,-12.808382,-3.1833386,0.1108695,39.79378394681145
