actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
2,200,3.8274155,0.0,0.0,0.0,100,5.0,1.7696084,3.4659445,3.4659445,3.4659445,5.597024,3.4659445,3.4659445,3.4659445,0.29051676,3.4659445,3.4659445,3.4659445,25.605460539497376,1.0,nan
35,3500,1.2796226,0.5673884,0.3227168,0.3227168,100,16.0,3.5044127,4.524119,5.023254,5.023254,4.784035,5.0915074,5.3459706,5.3459706,0.3089673,2.3580015,2.4634998,2.4634998,69.61241606951045,1.0,0.375
66,6600,-2.7720208,-0.4991824,0.06802543,0.06802543,100,0.0,8.4842005,5.769191,5.231775,5.231775,5.7121797,5.2700086,5.2997994,5.2997994,3.5673385,1.228648,2.1781845,2.1781845,86.25145721289796,0.0,0.4444444444444444
98,9800,-6.6023192,0.3727413,0.06956819,0.06956819,100,3.0,6.642518,4.209387,5.2364936,5.2364936,0.04019869,4.582128,5.306062,5.306062,0.03491951,0.80253506,2.1533778,2.1533778,74.57192700232625,1.0,0.45263157894736844
114,11400,-5.454794,0.46767312,-0.09565101,-0.02516096,100,0.0,6.7512484,5.065456,5.3418117,5.2619157,1.2964542,5.5331297,5.2461605,5.236754,0.15563355,2.24466,2.0068429,2.0861766,27.552211400664987,1.0,0.5045871559633027
127,12700,7.0034647,1.3109617,-0.113268755,-0.05667277,100,5.0,3.2970753,4.6049776,5.2831407,5.2626023,10.30054,5.91594,5.169872,5.2059298,3.2550368,2.1068199,1.8973053,2.052657,21.658688457494186,0.0,0.5081967213114754
138,13800,2.7540374,2.6661031,0.17162861,0.16465758,100,96.0,1.1653377,3.7952073,5.2020555,5.167332,3.9193752,6.46131,5.373684,5.3319902,0.61836326,1.5783825,1.8858638,2.027368,26.78523008275487,1.0,0.518796992481203
150,15000,-1.175631,1.6959522,0.29177588,0.2813528,100,0.0,5.2503223,2.8369594,4.8957634,5.006616,4.0746913,4.532912,5.187539,5.2879686,0.47231445,0.72602737,1.7212937,1.9720688,21.60945376507136,1.0,0.5486111111111112
162,16200,5.546341,1.8824899,0.59095925,0.4217293,100,0.0,3.4103763,3.057403,4.632882,4.8427086,8.9567175,4.9398932,5.2238417,5.2644377,0.66606164,1.3709127,1.6945645,1.9199604,21.834127422311486,1.0,0.5705128205128205
174,17400,5.8650637,3.4031708,1.0002254,0.6389773,100,6.0,2.1356323,2.5349853,4.2285776,4.664039,8.000696,5.9381557,5.2288027,5.303016,0.33865482,0.9788855,1.5664238,1.848975,20.76690472607918,1.0,0.5952380952380952
