actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
4,400,0.88744736,100,0.0,1,100,8.793819,9.681267,8.286371,24.41877456910158,0.0,nan
8,800,2.8363848,100,4.0,2,200,6.041848,8.878233,1.5761108,67.43100077136502,1.0,0.0
12,1200,-2.7773418,100,0.0,3,300,9.433039,6.655697,4.522912,73.15274368309751,0.0,0.5
16,1600,2.8867183,100,36.0,4,400,1.3771752,4.2638936,0.40132907,70.98624635384095,1.0,0.3333333333333333
20,2000,-0.916852,100,0.0,5,500,6.781761,5.864909,4.9945326,74.57232475618181,0.0,0.5
24,2400,-2.481904,100,0.0,6,600,8.448352,5.966448,4.4588013,73.5194546002069,0.0,0.4
28,2800,-0.31947708,100,0.0,7,700,8.552087,8.23261,6.705334,71.14996575922825,0.0,0.3333333333333333
31,3100,-0.504303,100,0.0,8,800,8.314695,7.8103924,4.3973136,84.77271785605649,0.0,0.2857142857142857
34,3400,-2.3599315,100,81.0,9,900,4.1429443,1.783013,0.2113598,77.95964979063571,1.0,0.25
39,3900,5.01472,100,0.0,10,1000,5.0437117,10.058432,4.613994,66.48545383416045,0.0,0.3333333333333333
43,4300,-0.21189165,100,0.0,11,1100,7.710446,7.498554,3.473216,82.00107215375827,0.0,0.3
45,4500,-1.0154282,100,62.0,12,1200,1.2356322,0.22020404,0.095226474,83.037519587337,1.0,0.2727272727272727
48,4800,-2.1357837,100,0.0,13,1300,9.526005,7.390221,6.3910027,81.30905456287338,0.0,0.3333333333333333
52,5200,0.2449336,100,0.0,14,1400,7.3939977,7.6389313,4.5719647,69.65620825331366,0.0,0.3076923076923077
57,5700,-3.7117496,100,18.0,15,1500,7.6445413,3.9327917,1.2700739,74.09324932938458,1.0,0.2857142857142857
61,6100,1.407701,100,0.0,16,1600,4.8598237,6.2675247,3.4018655,76.43340980372398,0.0,0.3333333333333333
