delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
-1.5391726,100,17.0,1,100,5.9759274,4.4367547,1.2176855,23.709410399197623,1.0,nan
-0.15698338,100,0.0,2,200,4.9673996,4.810416,2.2213752,67.44903375889828,0.0,1.0
-0.012276173,100,0.0,3,300,7.7680616,7.7557855,7.139536,74.87928509569268,0.0,0.5
-1.1180353,100,0.0,4,400,9.283721,8.165686,7.783705,71.4467323495158,0.0,0.3333333333333333
4.575894,100,3.0,5,500,2.359014,6.934908,1.7836968,67.44057451217259,1.0,0.25
-1.1048169,100,0.0,6,600,7.261747,6.15693,4.397443,64.88250141813835,0.0,0.4
1.0895262,100,0.0,7,700,4.635309,5.7248354,2.5047894,73.45411228277749,0.0,0.3333333333333333
4.4924803,100,0.0,8,800,3.0030682,7.4955487,2.8373046,76.77336549014612,0.0,0.2857142857142857
4.834381,100,38.0,9,900,2.43548,7.269861,0.22320414,68.04950412964357,1.0,0.25
2.988431,100,0.0,10,1000,4.848555,7.836986,4.0253134,72.97985386991388,0.0,0.3333333333333333
0.24656868,100,0.0,11,1100,10.020859,10.267427,6.962847,69.25939594794198,0.0,0.3
0.8424134,100,0.0,12,1200,4.135899,4.9783125,2.7238557,67.4138442313024,0.0,0.2727272727272727
-0.7140851,100,0.0,13,1300,7.8423285,7.1282434,6.2997665,71.1890682970056,0.0,0.25
8.41485,100,0.0,14,1400,3.3852973,11.800147,3.3852973,77.92210880511745,0.0,0.23076923076923078
1.078845,100,0.0,15,1500,4.1992407,5.2780857,2.598086,71.47826759735055,0.0,0.21428571428571427
-3.6771302,100,0.0,16,1600,9.754058,6.0769277,4.7039557,75.3762790035669,0.0,0.2
0.5257869,100,0.0,17,1700,4.4746556,5.0004425,3.982028,74.5722584635779,0.0,0.1875
0.41393328,100,0.0,18,1800,7.4159584,7.8298917,3.110512,60.02530210831821,0.0,0.17647058823529413
-1.6645174,100,0.0,19,1900,10.015305,8.350787,3.951601,75.65421997837319,0.0,0.16666666666666666
-0.9385686,100,0.0,20,2000,8.710952,7.772383,4.847257,73.59933628528222,0.0,0.15789473684210525
0.41207623,100,0.0,21,2100,3.820556,4.232632,2.049956,71.49482560890631,0.0,0.15
-1.0377707,100,0.0,22,2200,6.2020226,5.164252,4.3803234,70.17832938490325,0.0,0.14285714285714285
0.05428624,100,32.0,23,2300,3.9340835,3.9883697,0.34577683,67.31964449971439,1.0,0.13636363636363635
2.4233508,100,0.0,24,2400,7.7256417,10.148993,5.4292464,71.49761649269436,0.0,0.17391304347826086
-4.7993197,100,21.0,25,2500,5.3736067,0.574287,0.10222349,71.11975654863915,1.0,0.16666666666666666
-1.5682926,100,0.0,26,2600,9.893678,8.325385,5.2409434,55.944461873024615,0.0,0.2
-0.9928503,100,0.0,27,2700,5.1735096,4.1806593,3.504409,36.7357059282525,0.0,0.19230769230769232
-1.3497751,100,75.0,28,2800,1.5181417,0.16836661,0.16836661,49.23280333847928,1.0,0.18518518518518517
1.1455286,100,45.0,29,2900,0.4666311,1.6121597,0.32047644,52.3216974852477,1.0,0.21428571428571427
-1.1918249,100,0.0,30,3000,7.4087896,6.2169647,4.7565494,21.89750413693959,0.0,0.2413793103448276
10.088253,100,73.0,31,3100,1.3865942,11.474847,0.71161747,23.39609603574245,1.0,0.23333333333333334
-0.5100765,100,0.0,32,3200,4.2929254,3.7828488,3.6138122,21.920125486497184,0.0,0.25806451612903225
-1.0386486,100,0.0,33,3300,11.057495,10.0188465,10.0188465,26.953321952153033,0.0,0.25
-3.5235643,100,0.0,34,3400,7.202807,3.6792426,2.5617964,24.087691679678283,0.0,0.24242424242424243
-0.78305364,100,0.0,35,3500,4.448254,3.6652005,3.5335732,22.178805536325445,0.0,0.23529411764705882
-3.549979,100,4.0,36,3600,3.888481,0.33850202,0.33850202,25.840830419981636,1.0,0.22857142857142856
1.1328571,100,95.0,37,3700,1.9872909,3.120148,1.9105825,26.039571941458295,1.0,0.25
2.0550706,100,28.0,38,3800,1.7269127,3.7819834,1.5386524,23.441490028503882,1.0,0.2702702702702703
-0.33832216,100,0.0,39,3900,6.741944,6.4036217,6.397894,24.6228353259125,0.0,0.2894736842105263
1.3754036,100,80.0,40,4000,1.2937465,2.66915,1.2937465,23.14626046396997,1.0,0.28205128205128205
-1.1604676,100,0.0,41,4100,7.2318516,6.071384,6.071384,23.810125007152738,0.0,0.3
0.41280127,100,0.0,42,4200,5.4489617,5.861763,5.174374,21.16238887586868,0.0,0.2926829268292683
1.2770745,100,100.0,43,4300,1.0945171,2.3715916,0.31161466,22.542601838255173,1.0,0.2857142857142857
-3.2231045,100,22.0,44,4400,4.92797,1.7048655,1.7048655,25.624891366338822,1.0,0.3023255813953488
0.8263655,100,0.0,45,4500,6.1092052,6.9355707,6.0482283,24.069648404881594,0.0,0.3181818181818182
1.6751139,100,0.0,46,4600,2.3833587,4.0584726,2.3058827,25.929058810620006,0.0,0.3111111111111111
5.1466637,100,0.0,47,4700,2.2891276,7.435791,2.1263142,25.44060029156915,0.0,0.30434782608695654
-0.35982037,100,0.0,48,4800,9.788325,9.428505,9.209705,20.594800931108214,0.0,0.2978723404255319
-0.26132298,100,0.0,49,4900,5.2642436,5.0029206,5.0023794,22.26263955471154,0.0,0.2916666666666667
1.0905802,100,0.0,50,5000,2.969351,4.0599313,2.969351,25.05086408167734,0.0,0.2857142857142857
-0.17360878,100,0.0,51,5100,9.094626,8.921018,8.921018,22.45855361226934,0.0,0.28
0.9424143,100,0.0,52,5200,3.2509203,4.1933346,2.1156335,21.832115806555446,0.0,0.27450980392156865
2.5201292,100,0.0,53,5300,6.608408,9.128537,6.4944606,24.5720833442935,0.0,0.2692307692307692
3.7902224,100,56.0,54,5400,1.4965508,5.286773,1.4236555,24.620217815023057,1.0,0.2641509433962264
-3.3268814,100,0.0,55,5500,9.443717,6.1168356,6.1071243,26.880777842820756,0.0,0.2777777777777778
0.5082321,100,0.0,56,5600,4.5595884,5.0678205,4.285532,30.584431669203397,0.0,0.2727272727272727
-0.26668406,100,0.0,57,5700,7.0766644,6.8099804,5.8696003,37.01965862652193,0.0,0.26785714285714285
-4.496712,100,0.0,58,5800,9.224778,4.728066,4.728066,30.94381382529005,0.0,0.2631578947368421
0.12460804,100,0.0,59,5900,9.263849,9.388457,9.094782,61.03535763268662,0.0,0.25862068965517243
6.461535,100,3.0,60,6000,1.9518522,8.413387,1.7279828,32.605512466467886,1.0,0.2542372881355932
-1.1752152,100,0.0,61,6100,6.3979454,5.22273,5.1387777,38.11065536308172,0.0,0.26666666666666666
4.0677395,100,0.0,62,6200,3.4870276,7.554767,2.5776236,39.14192632631026,0.0,0.26229508196721313
-0.08340359,100,0.0,63,6300,4.106254,4.0228505,4.022018,29.160862784724515,0.0,0.25806451612903225
-0.56584954,100,0.0,64,6400,4.497983,3.9321334,2.6292665,30.27685578657129,0.0,0.25396825396825395
0.2760507,100,51.0,65,6500,1.9961032,2.2721539,1.98607,34.32470305023343,1.0,0.25
-0.08839989,100,0.0,66,6600,6.6532507,6.564851,5.7541275,33.74956387844987,0.0,0.26153846153846155
0.74435234,100,0.0,67,6700,7.8509483,8.595301,7.843288,33.84326941340487,0.0,0.25757575757575757
-0.13463402,100,0.0,68,6800,9.288082,9.153448,9.153448,39.089520629830616,0.0,0.2537313432835821
3.243557,100,0.0,69,6900,5.9306917,9.174249,4.9278216,34.56130227172592,0.0,0.25
1.4647924,100,64.0,70,7000,1.7594289,3.2242212,1.7594289,31.448343953065738,1.0,0.2463768115942029
1.3109689,100,0.0,71,7100,5.138345,6.4493136,4.3774056,33.65212006629805,0.0,0.2571428571428571
0.6194093,100,6.0,72,7200,2.5864973,3.2059066,1.712389,36.346629510405485,1.0,0.2535211267605634
-1.5062189,100,0.0,73,7300,9.121311,7.6150923,7.6150923,27.72651396022003,0.0,0.2638888888888889
2.0438883,100,0.0,74,7400,3.225983,5.269871,2.4399621,34.097906252512544,0.0,0.2602739726027397
0.48532534,100,25.0,75,7500,3.610517,4.0958424,1.5048829,38.92787375289478,1.0,0.25675675675675674
-1.0101066,100,0.0,76,7600,6.117159,5.1070523,5.0157623,35.51296641575422,0.0,0.26666666666666666
-1.1171718,100,88.0,77,7700,1.8863391,0.76916736,0.2149982,42.60021649985669,1.0,0.2631578947368421
-4.9757013,100,0.0,78,7800,10.454801,5.4790993,5.4790993,37.24214635244766,0.0,0.2727272727272727
-0.36837602,100,0.0,79,7900,3.1507363,2.7823603,2.2978098,38.52931566184001,0.0,0.2692307692307692
-0.52928925,100,0.0,80,8000,10.673123,10.143834,10.143834,34.56193735859803,0.0,0.26582278481012656
0.08426452,100,99.0,81,8100,1.3358294,1.4200939,1.3358294,31.44028181163854,1.0,0.2625
-1.087342,100,0.0,82,8200,4.5583572,3.4710152,3.4710152,36.12616402398039,0.0,0.2716049382716049
-1.6745195,100,0.0,83,8300,8.155166,6.480646,6.0917783,39.85718591792029,0.0,0.2682926829268293
-0.32214546,100,0.0,84,8400,8.635132,8.312986,7.723265,31.96821763275357,0.0,0.26506024096385544
-0.5009284,100,0.0,85,8500,4.689535,4.1886067,4.0994587,38.38573772104633,0.0,0.2619047619047619
-0.4407953,100,13.0,86,8600,2.196872,1.7560767,0.31244853,30.609836722150334,1.0,0.25882352941176473
4.3723316,100,0.0,87,8700,3.8263159,8.1986475,3.8261447,37.373784626943724,0.0,0.26744186046511625
0.321635,100,0.0,88,8800,3.3279638,3.6495988,3.0638928,40.15357966097671,0.0,0.26436781609195403
-1.7675138,100,0.0,89,8900,5.90373,4.136216,4.136216,33.02693634137518,0.0,0.26136363636363635
-0.04664612,100,0.0,90,9000,9.359819,9.313173,8.431599,40.10087401905064,0.0,0.25842696629213485
0.21564627,100,0.0,91,9100,6.6568103,6.8724566,6.061685,32.9146140338872,0.0,0.25555555555555554
-0.605265,100,100.0,92,9200,1.6863308,1.0810658,1.0810658,34.4891032529238,1.0,0.25274725274725274
-1.2834773,100,0.0,93,9300,6.9755263,5.692049,5.332109,38.257911694479176,0.0,0.2608695652173913
-0.2012124,100,0.0,94,9400,5.905519,5.7043066,5.462407,31.774279274611086,0.0,0.25806451612903225
-1.8457127,100,0.0,95,9500,6.1491985,4.303486,4.303486,45.634625662165476,0.0,0.2553191489361702
0.62957144,100,0.0,96,9600,5.4901814,6.119753,5.4850125,27.357650569502084,0.0,0.25263157894736843
-1.4833632,100,0.0,97,9700,5.75309,4.2697268,4.2697268,35.17879749569271,0.0,0.25
1.7697053,100,0.0,98,9800,5.3513346,7.12104,5.3421645,31.5391153310273,0.0,0.24742268041237114
-0.8590379,100,0.0,99,9900,7.232444,6.373406,5.950516,47.45366842653389,0.0,0.24489795918367346
0.028015137,100,0.0,100,10000,2.7026153,2.7306304,2.6807337,38.21635320867906,0.0,0.24242424242424243
-0.27284575,100,0.0,101,10100,7.148913,6.876067,6.306587,48.23461899827844,0.0,0.24
-0.6692977,100,0.0,102,10200,6.298885,5.629587,5.629587,38.80231468542661,0.0,0.2376237623762376
0.5001662,100,0.0,103,10300,3.3720858,3.872252,2.403572,30.7927712270999,0.0,0.23529411764705882
0.7635919,100,72.0,104,10400,1.545245,2.308837,1.3211657,88.21040083821147,1.0,0.23300970873786409
7.8654985,100,36.0,105,10500,0.87534136,8.74084,0.87534136,26.038947941337025,1.0,0.2403846153846154
2.3329563,100,0.0,106,10600,4.1747594,6.5077157,4.1206656,52.53830953894524,0.0,0.24761904761904763
-0.78879213,100,0.0,107,10700,8.045781,7.256989,7.1719203,31.11748253626345,0.0,0.24528301886792453
-0.34669924,100,0.0,108,10800,7.858706,7.5120068,7.1277747,39.18249601687509,0.0,0.24299065420560748
0.6500206,100,0.0,109,10900,4.741542,5.3915625,4.547863,71.97066061154841,0.0,0.24074074074074073
-4.059261,100,79.0,110,11000,5.8254156,1.7661549,0.69588315,25.902160783944886,1.0,0.23853211009174313
3.7618039,100,96.0,111,11100,1.50722,5.269024,0.35688475,50.32512183820002,1.0,0.24545454545454545
0.428473,100,0.0,112,11200,6.174681,6.603154,5.9521117,27.20530564897918,0.0,0.25225225225225223
1.9326353,100,0.0,113,11300,5.3099327,7.242568,4.5229635,46.69231626419078,0.0,0.25
2.519124,100,97.0,114,11400,1.7962698,4.315394,1.7960992,32.53677789626733,1.0,0.24778761061946902
6.1399426,100,93.0,115,11500,1.4116788,7.5516214,1.315657,44.076728302007744,1.0,0.2543859649122807
0.5313896,100,100.0,116,11600,1.2665484,1.797938,0.5577174,52.70254359927257,1.0,0.2608695652173913
2.0764592,100,71.0,117,11700,2.6172998,4.693759,0.67580485,29.663748929063516,1.0,0.2672413793103448
0.27764416,100,0.0,118,11800,5.6704473,5.9480915,5.265751,64.92933679969559,0.0,0.27350427350427353
