actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
1,100,-1.4546461,0.0,0.0,0.0,100,0.0,1,100,9.59641,4.555829,4.555829,4.555829,8.141764,4.555829,4.555829,4.555829,0.34725267,4.555829,4.555829,4.555829,25.88509308145437,1.0,nan
34,3400,-4.923187,0.18848677,-0.075982906,-0.075982906,100,0.0,9,900,9.126491,4.917019,4.6502585,4.6502585,4.203304,5.105506,4.5742755,4.5742755,3.165857,1.0811459,1.5181817,1.5181817,70.14676905055855,0.0,0.7878787878787878
65,6500,-0.02863121,-0.8972498,0.07763682,0.07763682,100,8.0,16,1600,8.767319,5.67165,4.779755,4.779755,8.7386875,4.7744,4.8573923,4.8573923,1.5317686,1.3518072,1.4748802,1.4748802,72.41104393826758,1.0,0.7903225806451613
96,9600,7.117406,-0.7183016,0.056152888,0.056152888,100,0.0,24,2400,3.54525,6.4577913,5.1268682,5.1268682,10.662656,5.7394896,5.1830215,5.1830215,1.6973636,2.931209,1.6773473,1.6773473,74.65162873455795,1.0,0.717391304347826
117,11700,0.011425972,-0.5798775,0.14268225,0.07152125,100,6.0,30,3000,4.598965,5.4619713,5.096993,5.088439,4.610391,4.882093,5.2396755,5.159961,2.8806236,1.6418514,1.6128272,1.6831169,19.631657418052196,0.0,0.6991150442477876
128,12800,3.118297,-1.8720081,-0.0586454,-0.07844325,100,0.0,33,3300,5.0896516,6.9593415,5.4054737,5.22859,8.207949,5.087333,5.346828,5.1501465,2.6706777,2.066732,1.7878624,1.7218374,24.103456905838115,0.0,0.6774193548387096
140,14000,1.4961915,0.08964143,-0.14323163,-0.083967835,100,0.0,36,3600,3.2906537,4.902129,5.4833074,5.242787,4.786845,4.9917703,5.3400764,5.1588182,2.5350244,3.0171878,1.8953958,1.833252,21.702775487555236,0.0,0.6323529411764706
152,15200,1.0867119,0.67427784,-0.32880375,-0.0541946,100,0.0,39,3900,3.8421402,4.031657,5.5578804,5.1625566,4.928852,4.7059355,5.229076,5.108362,1.1563088,1.4773657,1.9797767,1.8176607,23.2597747747448,1.0,0.6148648648648649
165,16500,2.0200071,2.8465393,0.10549662,0.09431933,100,0.0,42,4200,5.1224337,3.7507005,5.332807,5.110924,7.142441,6.597239,5.4383044,5.205244,0.11531803,0.58969927,1.8954817,1.7267374,19.802823685538844,1.0,0.6459627329192547
175,17500,6.4784775,1.6425979,0.2442906,0.18179272,100,91.0,45,4500,1.8472416,4.2430134,5.1902504,5.0618896,8.325719,5.8856115,5.4345417,5.243683,0.62053627,0.8371965,1.7985309,1.6764809,21.874292846346943,1.0,0.6549707602339181
187,18700,-0.11915159,0.902833,0.4033028,0.28190294,100,0.0,48,4800,5.751638,4.435191,4.9949565,4.999464,5.6324863,5.338024,5.398259,5.281367,3.2069385,2.536244,1.876392,1.7114099,24.046050410031693,0.0,0.6428571428571429
196,19600,0.7692882,-1.4674327,0.32383332,0.19134502,100,97.0,52,5200,1.5521346,6.9088807,5.034106,5.0800185,2.3214228,5.4414487,5.3579392,5.2713637,1.5521346,2.4580896,1.8099799,1.7443336,13.972632548330845,1.0,0.6335078534031413
204,20400,-0.12175417,0.67300785,0.32971206,0.22264642,100,93.0,57,5700,1.7809668,3.3157907,4.95231,5.0032463,1.6592126,3.9887981,5.282022,5.225892,1.502004,1.6022444,1.7767091,1.7413305,16.196003622637452,1.0,0.6432160804020101
212,21200,-0.00804472,1.2878698,0.35657388,0.2675334,100,0.0,62,6200,5.3434772,4.511615,4.9405713,5.0014386,5.3354325,5.799485,5.297145,5.2689724,5.3352246,3.414124,1.9381976,1.8188118,16.05320244300244,0.0,0.6328502415458938
220,22000,6.8675456,0.7947547,0.63689494,0.30143955,100,94.0,68,6800,0.40389618,6.3111153,4.91969,5.0414658,7.271442,7.1058693,5.5565853,5.3429055,0.40389618,3.721883,2.0816703,1.8777839,16.444181851471264,1.0,0.6186046511627907
228,22800,1.293649,2.0142894,0.9824344,0.38280788,100,0.0,74,7400,2.983082,4.027124,4.68571,4.9925547,4.276731,6.0414133,5.6681447,5.375363,2.983082,1.8139637,2.0830367,1.8788805,16.65350378180647,0.0,0.6233183856502242
236,23600,2.567469,0.5170184,1.1193649,0.40651745,100,0.0,80,8000,3.964,3.9429772,4.4372263,4.9312654,6.531469,4.459996,5.556591,5.3377833,3.964,1.7558056,1.9540551,1.8818247,14.495992152133155,0.0,0.6233766233766234
244,24400,-1.1020508,1.0449666,1.1373891,0.41481656,100,0.0,85,8500,9.513092,4.143905,4.4459825,4.9135246,8.411041,5.188872,5.5833716,5.3283415,8.411041,2.0975137,1.9450184,1.8884665,16.294247339391603,0.0,0.6276150627615062
252,25200,-2.45124,-2.3297641,0.9335166,0.33466807,100,0.0,90,9000,4.1887746,7.619774,4.775722,5.0102596,1.7375346,5.29001,5.709239,5.3449273,1.7375346,3.674075,2.1777956,1.9594461,16.526531000800023,1.0,0.611336032388664
260,26000,3.039765,-1.0291868,0.75874144,0.3211591,100,0.0,95,9500,4.6182404,6.038488,4.858949,5.0190897,7.658005,5.009301,5.6176906,5.340249,4.6182404,2.3458762,2.301588,1.9664023,15.177993952619358,0.0,0.615686274509804
268,26800,8.0517435,-0.23522325,0.58708364,0.31638587,100,0.0,100,10000,3.5537975,5.4708524,4.962213,5.027024,11.605541,5.235629,5.5492973,5.34341,3.5537975,2.4358215,2.477625,1.9869195,16.06692980965209,0.0,0.6045627376425855
276,27600,-3.14321,1.3534889,0.5684036,0.336286,100,0.0,105,10500,3.9990816,5.033439,4.9878306,5.030912,0.85587174,6.386928,5.5562334,5.367197,0.85587174,1.7289108,2.514078,1.9739761,15.09996177401683,1.0,0.6088560885608856
284,28400,-4.193967,1.5202696,0.56654054,0.38814378,100,0.0,110,11000,5.243898,3.9091568,4.9977775,4.99264,1.0499308,5.4294267,5.5643187,5.3807836,0.5549066,1.3582361,2.444479,1.9608432,18.8665082126786,1.0,0.6164874551971327
292,29200,-1.3281531,0.8144148,0.67363304,0.3857205,100,0.0,117,11700,7.8664765,4.178616,4.7843013,4.975989,6.5383234,4.9930315,5.457934,5.361709,2.4512503,1.5444071,2.3223736,1.9490393,14.891257321092949,0.0,0.6202090592334495
301,30100,-0.32668972,-0.8474512,0.6638581,0.34989446,100,0.0,122,12200,4.2551255,5.948025,4.9503007,5.0124464,3.9284358,5.1005735,5.6141577,5.362341,1.3652973,1.5580951,2.33322,1.9401791,16.826708734936243,1.0,0.625
309,30900,4.139409,1.4009159,0.6741947,0.4061853,100,92.0,127,12700,1.6470637,4.152367,5.0047956,4.977752,5.786473,5.5532827,5.6789904,5.3839374,1.6470637,1.6450382,2.3043995,1.934474,16.556435926914595,1.0,0.6282894736842105
317,31700,2.6148443,1.9155222,0.748134,0.4517336,100,96.0,132,13200,1.6760095,4.0471554,4.789557,4.9484096,4.290854,5.962678,5.537691,5.400143,0.8363264,1.9936063,2.0112612,1.9279709,14.844646146486713,1.0,0.6314102564102564
325,32500,5.933716,1.4261801,0.64574766,0.47090617,100,0.0,138,13800,2.9388933,4.2878075,4.807134,4.9315057,8.872609,5.7139864,5.4528813,5.4024115,2.9388933,2.3790085,2.0679722,1.9412663,14.250266901336218,0.0,0.634375
333,33300,-3.6540284,2.1221929,0.8233738,0.5136709,100,0.0,144,14400,8.343107,5.3165812,4.9182496,4.9459248,4.689079,7.438774,5.7416234,5.4595957,2.934627,3.1163492,2.1920805,1.9718484,16.741815765400375,0.0,0.6219512195121951
341,34100,1.9649677,1.5034788,0.79748774,0.5331499,100,9.0,149,14900,3.1515517,4.3899794,4.978885,4.9306283,5.1165195,5.8934584,5.776373,5.4637785,0.6272344,1.7893403,2.174871,1.9689639,14.373754125043831,1.0,0.6220238095238095
349,34900,1.244359,3.2075152,1.066022,0.5822234,100,0.0,154,15400,5.7016063,3.0981345,4.7137027,4.8933816,6.9459653,6.3056498,5.779724,5.4756045,1.1178355,1.5597671,2.0327768,1.965734,16.48573631226894,1.0,0.625
357,35700,-2.9991095,0.8188017,1.2144548,0.58562374,100,0.0,159,15900,6.5850835,5.5760226,4.6481347,4.9095674,3.585974,6.3948245,5.86259,5.495191,1.3420392,2.9522226,2.0416765,1.9850054,16.306818427017717,1.0,0.6193181818181818
