actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
2,200,-3.07614,0.0,0.0,0.0,100,0.0,1,100,8.110603,4.1559653,4.1559653,4.1559653,5.0344634,4.1559653,4.1559653,4.1559653,1.9432249,4.1559653,4.1559653,4.1559653,15.934164227993081,1.0,nan
29,2900,1.5954065,0.214456,0.32124525,0.32124525,100,10.0,7,700,6.0931735,6.2392597,5.460159,5.460159,7.68858,6.4537153,5.781403,5.781403,1.3736366,2.4162884,2.502393,2.502393,68.36096340573953,1.0,0.52
57,5700,0.54599595,0.59523165,0.31858543,0.31858543,100,0.0,15,1500,2.3922987,5.7230353,5.4846644,5.4846644,2.9382946,6.318267,5.8032494,5.8032494,0.21349972,3.2898827,2.7359474,2.7359474,67.17884823693932,1.0,0.46153846153846156
86,8600,2.2559824,-0.58948535,-0.14325583,-0.14325583,100,0.0,22,2200,6.5352745,4.7055216,5.663654,5.663654,8.791257,4.1160364,5.520398,5.520398,2.5649366,1.6815408,2.6082313,2.6082313,65.84588720666638,0.0,0.45
108,10800,-6.664499,-0.3574874,-0.04409709,-0.074290976,100,0.0,27,2700,10.723564,6.2025537,5.5603967,5.6516314,4.0590653,5.8450665,5.5162992,5.577339,0.6120513,2.6413531,2.4476728,2.5869296,30.12754866945227,1.0,0.46078431372549017
123,12300,2.7450442,-1.5719656,-0.3043026,-0.195759,100,8.0,32,3200,4.141708,6.114828,5.791482,5.6671176,6.886752,4.5428624,5.4871798,5.4713593,1.2663679,2.2267604,2.5262756,2.5185385,19.62180564695595,1.0,0.4700854700854701
136,13600,0.050717354,0.0832932,-0.32507217,-0.13927495,100,0.0,35,3500,9.193312,5.4317865,5.724632,5.6717916,9.244029,5.5150795,5.39956,5.5325165,0.4952798,1.4585686,2.357445,2.440051,30.649154509282607,1.0,0.47692307692307695
149,14900,-2.4436765,1.0454448,-0.11485702,0.014687999,100,0.0,38,3800,8.133923,5.699073,5.714872,5.6301966,5.690246,6.7445183,5.6000156,5.6448846,2.5138876,2.2027757,2.227727,2.380974,29.792084928989667,0.0,0.5
153,15300,0.1280241,0.9882099,-0.06908402,0.074483775,100,0.0,60,6000,5.5719953,5.110796,5.568983,5.5507245,5.7000194,6.0990057,5.4998994,5.6252084,1.8557388,1.9127073,2.1389217,2.3459146,7.9697427105463765,1.0,0.5068493150684932
157,15700,1.6521683,0.7493876,-0.10171332,0.0542466,100,97.0,76,7600,8.69429,4.1300282,5.5720687,5.5396357,10.346458,4.879416,5.4703546,5.593882,1.2664027,1.3034003,2.0777843,2.3220084,8.978543371816041,1.0,0.52
161,16100,0.5767281,1.2183521,0.016381755,0.10632876,100,100.0,93,9300,0.097926274,4.136687,5.5409703,5.5133924,0.67465436,5.355039,5.557352,5.619721,0.097926274,0.9793638,2.018044,2.282308,9.919827868221256,1.0,0.5324675324675324
169,16900,6.2113085,2.574329,0.34624043,0.203569,100,100.0,122,12200,1.110162,1.8738453,5.1371584,5.3189054,7.3214707,4.448174,5.483399,5.5224743,1.110162,0.38768902,1.8520206,2.1894882,8.760734202422626,1.0,0.5555555555555556
177,17700,5.730037,3.5945563,0.7698977,0.373068,100,98.0,150,15000,1.9669347,1.7932844,4.6637874,5.1675797,7.696972,5.387841,5.433684,5.5406475,1.4240321,0.90696716,1.6725304,2.1385846,10.198714627140475,1.0,0.5764705882352941
184,18400,2.003491,3.522337,0.9927983,0.48358285,100,91.0,177,17700,1.7690557,1.5922453,4.5032516,5.0337095,3.7725468,5.114582,5.4960494,5.517292,0.26080954,1.0836937,1.6385214,2.1011667,10.013413994123646,1.0,0.5932203389830508
192,19200,6.526006,2.0497484,1.230208,0.5550128,100,0.0,208,20800,1.1354275,4.134183,4.3606215,5.0289097,7.6614337,6.183931,5.590829,5.583923,1.0874698,0.7817122,1.4850332,2.0522122,8.838397774891282,1.0,0.6054054054054054
200,20000,4.8076186,2.789867,1.4525769,0.65732515,100,100.0,238,23800,0.6516601,2.476587,4.13959,4.8880463,5.4592786,5.2664537,5.5921674,5.5453715,0.6516601,0.9107598,1.4411125,1.9996345,9.978154563924278,1.0,0.6217616580310881
205,20500,3.4206758,3.249314,1.4899778,0.72342753,100,0.0,251,25100,1.082334,1.7338871,3.9945905,4.814653,4.50301,4.983201,5.4845686,5.53808,0.23581865,0.62753236,1.3088999,1.9615022,8.716951866709884,1.0,0.6313131313131313
213,21300,2.9176123,3.619986,1.8560277,0.82257,100,100.0,284,28400,0.10240278,1.6353586,3.629104,4.698381,3.020015,5.255344,5.4851313,5.520951,0.10240278,0.39366525,1.1659421,1.9029951,10.013993027624036,1.0,0.6456310679611651
