actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
4,400,4.3239365,-0.95939213,-0.95939213,-0.95939213,100,6.0,3.22035,5.5498643,5.5498643,5.5498643,7.5442863,4.590472,4.590472,4.590472,3.22035,3.8924398,3.8924398,3.8924398,14.042160388818456,0.0,1.0
32,3200,0.6776228,0.065379426,-0.17583881,-0.17583881,100,0.0,7.2145376,5.3686485,5.333994,5.333994,7.8921604,5.4340277,5.158155,5.158155,6.769159,3.0147116,2.9075437,2.9075437,62.093028867612716,0.0,0.3103448275862069
60,6000,-1.1406331,0.053913165,-0.03902371,-0.03902371,100,0.0,6.15107,6.3718343,5.466046,5.466046,5.010437,6.425748,5.427022,5.427022,3.2740142,1.8049501,2.5252213,2.5252213,63.68000641308658,0.0,0.3508771929824561
88,8800,-0.36423826,0.8794633,0.13817722,0.13817722,100,0.0,4.4055185,4.8124046,5.555128,5.555128,4.0412803,5.6918683,5.693305,5.693305,2.7995427,2.4110074,2.451733,2.451733,66.26612848693512,0.0,0.4
108,10800,-8.954793,-0.27692193,-0.028159203,0.054703146,100,0.0,13.094676,5.8800173,5.8161964,5.6891,4.139883,5.603095,5.7880373,5.743802,3.6132863,2.829278,2.3859603,2.4595506,27.624512218021035,0.0,0.4095238095238095
124,12400,1.0677898,-0.94499075,0.025909653,-0.052280355,100,53.0,1.5662313,6.061505,5.8251824,5.7181554,2.634021,5.1165133,5.8510933,5.6658754,1.4999964,1.3795226,2.2141557,2.3447628,18.070844121270444,1.0,0.4462809917355372
139,13900,6.1868715,0.35763636,0.14732307,0.044089105,100,10.0,0.47429433,4.7208147,5.7073364,5.610392,6.6611657,5.0784507,5.85466,5.6544814,0.47429433,1.3777928,2.0099282,2.26648,30.867847645463204,1.0,0.4485294117647059
151,15100,4.894009,2.6159034,0.47441253,0.2751602,100,72.0,1.0836393,3.0286653,5.43544,5.383768,5.9776483,5.6445694,5.9098525,5.6589284,0.23632248,1.1066027,1.9066858,2.1684687,7.264044303509954,1.0,0.49324324324324326
155,15500,0.6114254,3.3321793,0.7105296,0.3985351,100,0.0,5.2773833,2.8347464,5.2542195,5.2950935,5.8888087,6.166926,5.9647484,5.6936283,0.36347428,1.1020236,1.8873144,2.1391416,8.722677838538173,1.0,0.506578947368421
163,16300,5.362959,2.6468742,0.7828983,0.47483122,100,96.0,1.3307526,2.1913095,4.925062,5.137114,6.6937113,4.8381834,5.7079606,5.6119456,1.0382705,0.85605496,1.7671493,2.0695949,10.015175927191462,1.0,0.53125
171,17100,4.326933,2.8020463,1.0155017,0.6115047,100,94.0,1.7413927,2.4704175,4.5953364,5.02312,6.0683255,5.272464,5.610838,5.634625,0.6064502,1.4123027,1.6828322,2.0506165,9.909454843708936,1.0,0.5416666666666666
