actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
2,200,-2.2928581,100,0.0,1,100,7.889882,5.597024,4.025219,15.369961956787813,0.0,nan
6,600,-0.28368235,100,25.0,2,200,2.225708,1.9420257,1.4635724,64.28719117677038,1.0,0.0
11,1100,-1.3397031,100,0.0,3,300,6.4100533,5.07035,2.5208805,65.13697496244102,0.0,0.5
15,1500,-5.418056,100,4.0,4,400,10.002084,4.584028,1.466165,63.49648304332299,1.0,0.3333333333333333
18,1800,0.28553963,100,0.0,5,500,8.757795,9.043335,8.017224,67.98120976064212,0.0,0.5
23,2300,-3.2435799,100,7.0,6,600,5.66947,2.42589,1.8750743,64.32954955554632,1.0,0.4
27,2700,5.199264,100,11.0,7,700,0.53347975,5.7327437,0.53347975,65.98937795909994,1.0,0.5
30,3000,-0.5429356,100,1.0,8,800,4.31944,3.7765043,1.9060054,65.54333266034138,1.0,0.5714285714285714
34,3400,-4.0844865,100,0.0,9,900,10.949892,6.8654056,4.7824464,66.2476760107448,0.0,0.625
38,3800,-0.32588768,100,0.0,10,1000,8.679794,8.353907,6.7295775,67.0692341309367,0.0,0.5555555555555556
42,4200,-6.0269876,100,4.0,11,1100,7.595169,1.5681816,1.3770305,54.830298538095406,1.0,0.5
46,4600,0.43530178,100,0.0,12,1200,8.199175,8.634477,3.150794,58.933396880493866,0.0,0.5454545454545454
50,5000,-3.5433564,100,0.0,13,1300,9.44481,5.9014535,5.0934997,59.486307582054025,0.0,0.5
55,5500,1.9302921,100,1.0,14,1400,2.7091331,4.6394253,1.9050125,55.03184766861106,1.0,0.46153846153846156
59,5900,-4.398112,100,23.0,15,1500,4.699738,0.30162635,0.30162635,54.92995301563753,1.0,0.5
63,6300,-1.8784399,100,11.0,16,1600,3.969782,2.0913422,1.8430345,45.867545136724914,1.0,0.5333333333333333
67,6700,0.5153775,100,0.0,17,1700,4.052191,4.5675683,2.770972,53.36257841911143,0.0,0.5625
71,7100,-1.8269134,100,0.0,18,1800,8.73305,6.906137,6.6024766,45.624394859763015,0.0,0.5294117647058824
75,7500,1.8569309,100,31.0,19,1900,1.6584731,3.515404,0.43007094,41.079213964980205,1.0,0.5
79,7900,3.1859279,100,9.0,20,2000,1.8605808,5.046509,0.72417116,65.47005937457367,1.0,0.5263157894736842
82,8200,0.64275146,100,91.0,21,2100,0.4225274,1.0652789,0.038831748,66.86320324223178,1.0,0.55
86,8600,1.113061,100,7.0,22,2200,2.890895,4.003956,1.0524181,65.35002811530249,1.0,0.5714285714285714
90,9000,0.5626855,100,0.0,23,2300,5.1796055,5.742291,2.7140322,65.22249381605262,0.0,0.5909090909090909
94,9400,-5.0777125,100,0.0,24,2400,9.114514,4.036802,3.6691403,64.07948335574324,0.0,0.5652173913043478
98,9800,-0.03826946,100,46.0,25,2500,0.8425284,0.80425894,0.008359896,68.69638806682491,1.0,0.5416666666666666
102,10200,-0.0016241074,100,0.0,26,2600,6.1710525,6.1694283,3.3538477,36.01375361216926,0.0,0.56
105,10500,-0.03805995,100,54.0,27,2700,2.9637287,2.9256687,0.35370934,29.63984963495242,1.0,0.5384615384615384
109,10900,-0.707885,100,2.0,28,2800,3.840093,3.1322079,1.7887136,51.861589792440085,1.0,0.5555555555555556
113,11300,-0.72580814,100,0.0,29,2900,5.1946516,4.4688435,4.0976834,47.961525614847005,0.0,0.5714285714285714
116,11600,5.570942,100,0.0,30,3000,4.2162457,9.787188,2.8872225,45.58278925584806,0.0,0.5517241379310345
123,12300,0.11147785,100,0.0,31,3100,4.403192,4.51467,2.4819047,19.654457138160446,0.0,0.5333333333333333
129,12900,0.7600887,100,100.0,32,3200,1.2810774,2.041166,0.8695159,31.090965467586756,1.0,0.5161290322580645
