actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
120,11.508257,12000,0.9905791,0.0038452148,0.068848014,30,3000,1,0,-11.294774,-12.13784,3.5916533,0.0
133,7.716893,13300,0.99596477,0.013793945,0.027877133,33,3300,6,10.094001531600952,-9.145063,-5.997081,3.7546935,39.00804427380437
146,6.334541,14600,0.99609375,0.024414062,0.021723583,37,3700,12,20.559523820877075,-7.903591,-4.576115,0.061089642,38.60372157450167
149,6.196423,14900,0.99609375,0.024291992,0.021835925,54,5400,19,31.632991790771484,-7.8284416,-4.59674,0.086364985,42.99630847602543
153,6.1603084,15300,0.99609375,0.02734375,0.021453016,70,7000,26,43.01598048210144,-7.9666114,-4.5069966,0.054364648,40.949883749116545
157,5.930507,15700,0.99609375,0.033935547,0.021436254,87,8700,33,54.279444217681885,-7.738744,-4.492222,0.031925913,42.59721339305465
162,5.9247584,16200,0.99609375,0.03338623,0.021406837,101,10100,39,64.5213668346405,-7.8466234,-4.488398,0.033256248,40.891371430303664
165,5.966841,16500,0.99609375,0.039245605,0.021221695,119,11900,46,75.93103170394897,-8.074531,-4.437632,0.040901586,42.19971979565708
169,5.8462048,16900,0.99609375,0.039123535,0.02113173,134,13400,52,86.44868302345276,-8.0395,-4.413785,0.056446966,38.617938914605205
173,5.7627344,17300,0.99609375,0.047302246,0.020726368,150,15000,58,96.47632932662964,-8.538393,-4.3126116,0.03683688,41.658046886736116
177,5.671832,17700,0.99609375,0.05279541,0.020753212,163,16300,64,106.56713128089905,-8.602013,-4.3138413,0.04337655,38.74952233519626
181,5.5443535,18100,0.99609375,0.0546875,0.02045954,177,17700,70,116.62466597557068,-8.708204,-4.236021,0.07910113,42.03861215732642
185,5.507435,18500,0.99609375,0.07232666,0.019731447,192,19200,77,127.95834803581238,-9.19491,-4.041604,0.051002465,43.25267699351747
190,5.628683,19000,0.99609375,0.078125,0.019516788,208,20800,84,139.525244474411,-9.501857,-3.9858456,0.072272494,37.11084293942648
