actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
115,11.616512,11500,0.9766648,0.0040283203,0.10557376,31,3100,1,0,-11.4887905,-12.573862,4.0233264,0.0
129,6.546701,12900,0.99609375,0.021362305,0.022042524,36,3600,9,10.90565800666809,-7.4715257,-4.638591,0.08317357,57.7328847510039
145,6.365226,14500,0.99609375,0.020202637,0.022394123,39,3900,17,21.117729902267456,-7.168709,-4.6388254,0.056918148,51.29199115616635
154,6.1543045,15400,0.99609375,0.02154541,0.02189336,47,4700,25,31.600789308547974,-7.2997704,-4.617375,0.028902804,45.35292059404478
158,6.2088494,15800,0.99609375,0.032104492,0.021538261,62,6200,34,42.19001269340515,-7.601384,-4.5239563,0.028775014,58.66586357792208
165,6.1535454,16500,0.99609375,0.03704834,0.021373754,80,8000,43,53.13867449760437,-7.715961,-4.475765,0.03142982,45.266743573991654
170,6.0842733,17000,0.99609375,0.03741455,0.021412645,96,9600,52,64.24817228317261,-7.5828023,-4.488179,0.032749616,55.06411249974872
174,6.1750765,17400,0.99609375,0.04156494,0.021123089,115,11500,61,75.09586930274963,-7.853965,-4.4154778,0.031943846,56.14551228836576
182,6.195486,18200,0.99609375,0.042907715,0.020893583,130,13000,69,85.39944863319397,-8.068233,-4.346122,0.035159096,42.82047160742834
186,6.376831,18600,0.99609375,0.04864502,0.020738726,146,14600,78,96.1199254989624,-8.263554,-4.3055058,0.068124235,56.8664850032338
193,6.61742,19300,0.99609375,0.050354004,0.02026851,165,16500,87,107.28832387924194,-8.848818,-4.1825695,0.03744565,41.489091000421176
198,6.807179,19800,0.99609375,0.053771973,0.020077676,179,17900,96,118.20778369903564,-9.228472,-4.130043,0.04193504,55.11665179767633
203,6.9327173,20300,0.99609375,0.052612305,0.020038094,199,19900,105,129.18261408805847,-9.571292,-4.117261,0.08622181,50.73062214855116
210,6.990241,21000,0.99609375,0.0524292,0.020014107,213,21300,113,139.4310085773468,-9.636332,-4.1117697,0.086101614,45.10064162477963
214,6.915513,21400,0.99609375,0.05126953,0.019863047,228,22800,122,150.21752381324768,-9.600218,-4.077073,0.06451735,56.043437530990495
221,6.8637867,22100,0.99609375,0.053833008,0.01967727,246,24600,131,161.32937860488892,-9.64513,-4.023375,0.07084991,42.57508037284754
226,6.8298197,22600,0.99609375,0.051940918,0.019800432,260,26000,140,172.35368084907532,-9.498685,-4.0596905,0.05554031,58.14886526127032
231,6.9071274,23100,0.99609375,0.053955078,0.019658059,277,27700,149,183.12897324562073,-9.709061,-4.019617,0.053025056,52.477382576838714
238,6.8381987,23800,0.99609375,0.052490234,0.019729096,292,29200,157,193.31267642974854,-9.547117,-4.043155,0.058427833,49.40005557692343
242,6.9668493,24200,0.99609375,0.05645752,0.01951292,310,31000,166,204.07170605659485,-9.795703,-3.9832191,0.054322124,58.58454855480707
250,6.798088,25000,0.99609375,0.051818848,0.019551199,326,32600,175,215.51075530052185,-9.559437,-3.9938378,0.0631308,41.08603663337362
254,6.7895575,25400,0.99609375,0.05480957,0.019514766,342,34200,184,226.41323900222778,-9.5366,-3.9834049,0.058893472,58.052637964394904
260,6.792883,26000,0.99609375,0.055114746,0.019481875,360,36000,193,237.4313189983368,-9.544447,-3.978004,0.056446604,45.36470091981513
