actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
3,300,-3.3054066,-0.8606211,-0.8606211,-0.8606211,100,0.0,1,100,8.78217,5.6526604,5.6526604,5.6526604,5.4767637,4.7920394,4.7920394,4.7920394,1.9872848,2.6306052,2.6306052,2.6306052,53.70412528927575,1.0,0.25
31,3100,-0.8428674,2.113459,0.8099319,0.8099319,100,0.0,8,800,5.6269374,4.094625,5.044474,5.044474,4.78407,6.208085,5.8544064,5.8544064,2.144649,2.0399597,2.4521046,2.4521046,74.63770682034917,0.0,0.5161290322580645
62,6200,3.5845437,-0.29594317,0.530326,0.530326,100,25.0,16,1600,5.847507,4.394864,5.2588177,5.2588177,9.432051,4.098921,5.7891436,5.7891436,0.3057191,1.6688102,2.405325,2.405325,83.3796321145363,1.0,0.5245901639344263
97,9700,-1.6187954,0.051285066,0.4390597,0.4390597,100,0.0,25,2500,7.0279765,4.371252,5.2642193,5.2642193,5.409181,4.422537,5.7032785,5.7032785,2.9299808,1.4933237,2.2060375,2.2060375,73.19441131195748,0.0,0.5729166666666666
115,11500,-5.1661158,-0.19581704,0.3610574,0.322197,100,0.0,29,2900,7.8104124,5.476664,5.116179,5.2448344,2.6442966,5.2808466,5.4772363,5.567032,1.6759919,1.1034876,1.9443479,2.0794377,42.40082903079681,1.0,0.5964912280701754
132,13200,4.490137,-1.0897558,0.04564263,0.22721328,100,10.0,34,3400,2.368391,7.0112777,5.4279585,5.335022,6.858528,5.921522,5.473601,5.562235,1.9884553,3.208727,2.09728,2.1850157,33.255417905230196,1.0,0.5725190839694656
148,14800,-2.4914584,0.21107292,-0.2249676,0.16773814,100,0.0,38,3800,6.78012,4.965311,5.506155,5.382259,4.2886615,5.176384,5.2811875,5.5499973,4.0656266,2.5468388,2.1396897,2.227228,29.99976897417596,0.0,0.564625850340136
156,15600,-4.212025,0.022196745,0.045110162,0.19910297,100,0.0,51,5100,9.185763,5.958631,5.2953796,5.3833027,4.973738,5.980828,5.3404903,5.582406,2.0868754,2.7801032,2.0232263,2.2354097,14.30700512163211,0.0,0.5612903225806452
164,16400,-2.870295,-0.6024358,-0.08414751,0.14902408,100,4.0,77,7700,7.294242,6.2216835,5.497009,5.423925,4.423947,5.619248,5.41286,5.572949,2.5717058,2.8815458,2.2095428,2.265487,12.355382685689946,0.0,0.558282208588957
172,17200,-1.575074,-0.4448577,-0.21800448,0.114964746,100,0.0,97,9700,3.8828375,5.3156586,5.4385204,5.4089894,2.3077636,4.8708005,5.220516,5.5239544,1.3482974,2.4572883,2.1250248,2.2713978,12.135788180396498,1.0,0.5497076023391813
