delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
1.2637932,100,0.0,1,100,2.914675,4.178468,2.5780432,59.83693406016957,0.0,nan
-2.837504,100,68.0,2,200,3.1946642,0.3571603,0.14955832,50.52376360061607,1.0,0.0
-1.5820696,100,2.0,3,300,5.5376434,3.9555738,1.8296993,69.40066265052266,1.0,0.5
-0.21268892,100,0.0,4,400,7.319357,7.106668,6.1989775,79.76119775368888,0.0,0.6666666666666666
3.3128064,100,54.0,5,500,0.08177108,3.3945775,0.08177108,78.61294384323833,1.0,0.5
-0.33732128,100,30.0,6,600,2.4993849,2.1620636,0.1227934,83.64399754231303,1.0,0.6
-0.3800125,100,0.0,7,700,9.512377,9.132364,6.840053,71.22496014476265,0.0,0.6666666666666666
2.5311742,100,0.0,8,800,5.848575,8.379749,5.848575,54.356787697438925,0.0,0.5714285714285714
1.3072844,100,0.0,9,900,9.63586,10.943145,7.878691,68.96007231568863,0.0,0.5
-1.9419844,100,16.0,10,1000,5.280226,3.3382418,1.3322917,70.531693744457,1.0,0.4444444444444444
1.3362317,100,10.0,11,1100,2.3861518,3.7223835,1.8118583,89.2840318546764,1.0,0.5
-0.060650826,100,19.0,12,1200,4.413812,4.3531613,0.48980108,82.02836716318198,1.0,0.5454545454545454
1.5472794,100,0.0,13,1300,6.3501,7.8973794,4.4738793,74.42116630133029,0.0,0.5833333333333334
2.0895882,100,0.0,15,1500,6.2335186,8.323107,5.4436865,81.38356784227712,0.0,0.5
-0.6133156,100,0.0,16,1600,4.342925,3.7296095,2.5034304,76.0564902455645,0.0,0.4666666666666667
1.788795,100,0.0,17,1700,5.184286,6.973081,4.601548,94.98446366994362,0.0,0.4375
0.4909444,100,0.0,18,1800,4.901866,5.3928103,4.0114813,78.29858346585942,0.0,0.4117647058823529
0.6346159,100,81.0,19,1900,2.3154352,2.950051,0.13025784,73.16859323600674,1.0,0.3888888888888889
0.82224154,100,8.0,20,2000,3.5550277,4.3772693,1.2163858,73.60665970899574,1.0,0.42105263157894735
-1.8653148,100,32.0,21,2100,3.4818118,1.6164969,0.2640113,86.57345867479967,1.0,0.45
0.3704815,100,0.0,22,2200,6.0656185,6.4361,2.920247,81.65130024261956,0.0,0.47619047619047616
1.9673275,100,45.0,23,2300,0.95834124,2.9256687,0.16883348,90.51476595838349,1.0,0.45454545454545453
-1.6480944,100,5.0,24,2400,4.4468718,2.7987773,1.5302664,79.62600889795074,1.0,0.4782608695652174
2.1064296,100,0.0,25,2500,3.6248507,5.7312803,2.7847216,70.94959848042862,0.0,0.5
-3.4062595,100,4.0,26,2600,5.3864336,1.9801742,1.7280312,45.42802357147128,1.0,0.48
0.23266625,100,17.0,27,2700,2.221314,2.4539802,0.24017073,32.8465725942393,1.0,0.5
0.19080496,100,0.0,28,2800,6.2853794,6.4761844,4.628008,59.533489418809886,0.0,0.5185185185185185
-1.1082602,100,0.0,29,2900,5.4014044,4.293144,3.2014227,46.457403454190995,0.0,0.5
1.0647883,100,0.0,30,3000,5.5821342,6.6469226,3.3007784,51.42728575203276,0.0,0.4827586206896552
-2.2505434,100,1.0,31,3100,4.6057954,2.355252,1.9522914,41.71990110891895,1.0,0.4666666666666667
-0.37518692,100,0.0,32,3200,9.408903,9.033716,6.615159,40.19241899811797,0.0,0.4838709677419355
-2.720042,100,0.0,33,3300,5.4367685,2.7167265,2.3194504,38.472592832710376,0.0,0.46875
-0.2342453,100,0.0,34,3400,6.961162,6.726917,4.1049685,35.90745007608164,0.0,0.45454545454545453
1.1927214,100,0.0,35,3500,6.668393,7.8611145,5.7505455,39.63271058548503,0.0,0.4411764705882353
-0.052716732,100,0.0,36,3600,7.4226522,7.3699355,5.739871,37.251202605299184,0.0,0.42857142857142855
1.57306,100,0.0,37,3700,5.7302623,7.3033223,5.434023,31.185225549718727,0.0,0.4166666666666667
0.34594607,100,10.0,38,3800,2.8956285,3.2415745,1.6631844,35.23415997400556,1.0,0.40540540540540543
4.759568,100,4.0,39,3900,1.4471862,6.206754,1.4471862,30.647647309581497,1.0,0.42105263157894735
-2.393678,100,69.0,40,4000,2.7722127,0.37853488,0.033998847,46.77661236296333,1.0,0.4358974358974359
0.6122117,100,0.0,43,4300,5.6557536,6.2679653,3.985026,112.91441013496251,0.0,0.42857142857142855
0.13181067,100,0.0,45,4500,6.8690834,7.000894,5.669197,51.27677746000053,0.0,0.4318181818181818
-1.0138535,100,6.0,46,4600,4.7282357,3.7143822,0.93154776,79.07170439204506,1.0,0.4222222222222222
0.016932487,100,0.0,49,4900,7.46371,7.4806423,4.836171,313.4461179291038,0.0,0.4375
-0.32755995,100,0.0,52,5200,6.2377934,5.9102335,5.67771,273.46636196785016,0.0,0.4117647058823529
0.8136654,100,0.0,55,5500,7.023161,7.8368263,6.7884126,95.78157719860334,0.0,0.42592592592592593
-1.1072645,100,0.0,58,5800,10.129775,9.022511,7.95303,190.76741706721586,0.0,0.40350877192982454
-0.68908834,100,0.0,59,5900,7.462338,6.7732496,6.4963226,79.55962745879094,0.0,0.39655172413793105
-2.5736609,100,20.0,60,6000,4.7608104,2.1871495,0.12046697,90.18280583225881,1.0,0.3898305084745763
-0.95540714,100,0.0,63,6300,3.4944541,2.539047,2.0066526,194.014570853667,0.0,0.41935483870967744
-1.1769998,100,9.0,66,6600,3.5891607,2.4121609,0.8802824,125.97376307476245,1.0,0.4
4.9680653,100,18.0,67,6700,0.80870306,5.776768,0.27038202,63.29128555444142,1.0,0.4090909090909091
0.81342864,100,0.0,69,6900,3.5623696,4.375798,2.9017494,94.03647068187193,0.0,0.4117647058823529
-1.3497047,100,0.0,70,7000,10.641676,9.291971,6.750799,97.10008037840821,0.0,0.4057971014492754
-3.4058235,100,1.0,73,7300,5.8021364,2.396313,1.9869708,189.4070687880768,1.0,0.4027777777777778
-1.6739702,100,0.0,76,7600,7.696537,6.022567,3.822362,157.83576711692135,0.0,0.4
4.640797,100,7.0,77,7700,0.0975292,4.7383265,0.0975292,94.57105866362787,1.0,0.39473684210526316
0.49690127,100,32.0,79,7900,3.4328277,3.929729,1.0208609,79.17143677437342,1.0,0.3974358974358974
5.5672197,100,2.0,80,8000,1.89396,7.4611797,1.89396,61.58277099447351,1.0,0.4050632911392405
1.7876616,100,0.0,81,8100,8.004966,9.792627,7.4359913,78.18903896715925,0.0,0.4125
3.146132,100,0.0,84,8400,2.8219643,5.9680963,2.0932713,183.1566600829953,0.0,0.39759036144578314
-3.1722379,100,30.0,86,8600,4.667255,1.495017,0.40607187,116.7206165874857,1.0,0.38823529411764707
