actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
2,200,3.15834,1.0380921,1.0380921,1.0380921,100,0.0,2.4495726,4.3409276,4.3409276,4.3409276,5.6079125,5.37902,5.37902,5.37902,1.37022,4.2391105,4.2391105,4.2391105,41.408436382089036,1.0,0.0
29,2900,2.4571028,-0.67115635,0.35092685,0.35092685,100,4.0,4.1840982,4.326046,4.713909,4.713909,6.641201,3.6548896,5.064836,5.064836,0.25330335,1.1929739,2.359644,2.359644,78.91163271460988,1.0,0.5333333333333333
64,6400,3.547282,0.7421537,0.27051026,0.27051026,100,3.0,3.2317789,4.829021,4.917099,4.917099,6.779061,5.5711737,5.187609,5.187609,2.8382242,2.455167,2.3339775,2.3339775,83.17572602941836,0.0,0.5538461538461539
95,9500,4.449831,0.9203466,0.14886747,0.14886747,100,0.0,4.3388033,3.7412848,4.9706845,4.9706845,8.788634,4.6616316,5.119552,5.119552,3.0074356,1.7674541,2.1541057,2.1541057,74.140254568646,0.0,0.5833333333333334
116,11600,-1.4420459,0.5377874,0.022015281,0.15365262,100,21.0,4.0003414,4.3606257,5.0881424,5.0147305,2.5582955,4.898413,5.110158,5.1683836,1.7718244,1.4167204,2.004374,2.0864346,54.0906472391202,1.0,0.5982905982905983
132,13200,-1.5052795,1.191446,0.21142307,0.25937715,100,0.0,8.396156,5.0060472,4.959174,4.9265037,6.890877,6.1974926,5.170597,5.1858807,6.890877,1.4551451,1.8993624,2.016561,33.79345717783368,0.0,0.6240601503759399
148,14800,-0.5703964,-0.3249201,0.17883894,0.14284544,100,0.0,7.1812267,3.894492,4.9505634,4.9541497,6.6108303,3.5695717,5.1294026,5.096995,0.14574648,0.9771919,1.7764289,1.9605082,33.97340837937042,1.0,0.6375838926174496
157,15700,-3.5894897,-0.21322374,0.061283506,0.12277977,100,6.0,4.545515,6.4538817,5.159306,5.063216,0.95602536,6.2406588,5.2205896,5.1859965,0.07987763,2.0543706,1.7909181,1.977865,12.008566635227346,1.0,0.6392405063291139
165,16500,1.5878973,1.1191477,0.11750521,0.17299674,100,0.0,2.8795013,4.150292,5.0327396,5.001768,4.4673986,5.269439,5.1502447,5.174765,2.8795013,1.3426768,1.6808145,1.9457922,13.075327255399058,0.0,0.6506024096385542
173,17300,0.23377585,0.18349281,0.061085988,0.1750938,100,0.0,0.89091635,4.4047146,5.1259584,4.9739947,1.1246922,4.588207,5.187044,5.149089,0.35192516,1.4536421,1.6958036,1.9296377,12.852662655602778,1.0,0.6551724137931034
181,18100,-2.6578588,0.5024406,0.29848504,0.22055225,100,0.0,7.348205,4.433429,4.7680798,4.924255,4.6903462,4.9358687,5.0665646,5.144807,1.7376715,1.8366607,1.6483078,1.9164646,11.607181773252345,1.0,0.6593406593406593
189,18900,-1.8390021,-2.078135,0.16028501,0.12321587,100,0.0,9.142533,6.222133,4.9236026,4.973224,7.303531,4.143999,5.083887,5.09644,4.530475,2.430154,1.7240828,1.929632,13.223615754244461,0.0,0.6578947368421053
197,19700,4.3469467,-0.20162173,0.054324027,0.09962139,100,0.0,2.719322,5.5823736,4.97777,5.0080647,7.0662684,5.3807516,5.032094,5.107686,0.8778726,2.9457595,1.7427174,1.9556421,11.726227147116749,1.0,0.6515151515151515
205,20500,-4.476918,0.69043314,0.14796372,0.1285632,100,0.0,7.705378,4.581613,4.9403777,5.0119123,3.2284598,5.272046,5.088341,5.1404753,3.1146402,2.2089226,1.789735,1.9851791,13.052681397181734,0.0,0.6359223300970874
213,21300,-1.53269,-0.19544856,0.1693303,0.14242926,100,0.0,8.347815,6.3465586,5.011504,5.041404,6.8151245,6.1511106,5.1808343,5.183834,0.26573524,3.4490361,1.9573004,2.0371149,11.770319728757853,1.0,0.6261682242990654
221,22100,0.6167064,-0.9214344,0.025394697,0.10018511,100,6.0,4.29945,6.1022124,5.2736373,5.0875654,4.9161563,5.1807785,5.2990313,5.187751,3.3721187,2.825872,2.0657089,2.066592,13.168251718537938,0.0,0.6171171171171171
