actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
4,400,4.7511654,100,0.0,1,100,2.091448,6.842613,2.091448,40.43985422267439,0.0,nan
8,800,-0.8778579,100,39.0,2,200,4.013164,3.1353061,0.5431055,58.8168379532663,1.0,0.0
11,1100,-2.1184483,100,19.0,3,300,6.6639338,4.5454855,0.65863365,84.58241317470205,1.0,0.5
15,1500,-1.5988865,100,0.0,4,400,8.325237,6.726351,5.289821,78.08792651553881,0.0,0.6666666666666666
18,1800,1.2235594,100,7.0,5,500,4.4562964,5.679856,1.6713452,83.45035233034235,1.0,0.5
21,2100,-1.0076723,100,11.0,6,600,4.4299707,3.4222984,1.6385078,71.28921812579715,1.0,0.6
24,2400,-2.8990235,100,39.0,7,700,4.252334,1.3533106,1.1137367,62.07564184210694,1.0,0.6666666666666666
30,3000,1.184823,100,0.0,8,800,7.928191,9.113014,5.4258556,57.03736955211232,0.0,0.7142857142857143
35,3500,0.40673923,100,0.0,9,900,9.486722,9.893461,8.79473,67.2726756561297,0.0,0.625
38,3800,0.5347228,100,0.0,10,1000,7.0037937,7.5385165,3.929994,83.78878446348101,0.0,0.5555555555555556
43,4300,1.222656,100,34.0,11,1100,3.6966445,4.9193006,0.22714762,79.42769242539327,1.0,0.5
46,4600,3.0673432,100,9.0,12,1200,1.2208458,4.288189,0.43799567,79.95982853157956,1.0,0.5454545454545454
50,5000,-2.9567275,100,13.0,13,1300,6.324825,3.3680973,1.5425569,94.63515759424811,1.0,0.5833333333333334
54,5400,1.2627261,100,23.0,14,1400,2.3772876,3.6400137,1.4335035,75.62524690466519,1.0,0.6153846153846154
58,5800,-4.197538,100,21.0,15,1500,5.0330048,0.83546686,0.23655482,76.29924892344724,1.0,0.6428571428571429
62,6200,2.235159,100,1.0,16,1600,1.8501943,4.0853534,1.8501943,80.39117033891986,1.0,0.6666666666666666
65,6500,-0.22903371,100,30.0,17,1700,2.595979,2.3669453,1.2457683,82.52780438432109,1.0,0.6875
69,6900,-0.51596403,100,0.0,18,1800,5.836341,5.320377,2.0417798,46.59297718986951,0.0,0.7058823529411765
74,7400,-2.9799664,100,37.0,19,1900,6.0314035,3.0514371,1.0961976,71.32923812324167,1.0,0.6666666666666666
78,7800,-2.9543378,100,2.0,20,2000,5.45299,2.4986522,1.9616432,82.77884670227965,1.0,0.6842105263157895
81,8100,-0.36041403,100,0.0,21,2100,4.7606525,4.4002385,3.518451,76.41715861733228,0.0,0.7
85,8500,-1.547143,100,0.0,22,2200,6.7832255,5.2360826,5.129546,69.6687502657652,0.0,0.6666666666666666
91,9100,0.17341137,100,0.0,23,2300,8.340412,8.5138235,7.048343,71.95742433051764,0.0,0.6363636363636364
93,9300,3.129189,100,1.0,24,2400,2.2671194,5.3963084,1.7487115,86.040464396107,1.0,0.6086956521739131
99,9900,-6.5281973,100,0.0,25,2500,11.754517,5.2263193,4.4597983,57.52534415327569,0.0,0.625
102,10200,2.9896414,100,8.0,26,2600,3.4495962,6.4392376,1.6589532,39.58363749527536,1.0,0.6
105,10500,2.8203835,100,38.0,27,2700,1.418572,4.2389555,0.4879001,47.01301260393197,1.0,0.6153846153846154
108,10800,0.5045605,100,0.0,28,2800,7.171035,7.6755953,5.988209,59.870415780891875,0.0,0.6296296296296297
112,11200,-5.680064,100,30.0,29,2900,7.3021746,1.6221102,0.15854938,44.62284249459144,1.0,0.6071428571428571
116,11600,-1.9996562,100,0.0,30,3000,7.525912,5.5262556,4.156953,54.36884344048689,0.0,0.6206896551724138
120,12000,2.6839466,100,15.0,31,3100,4.2058716,6.889818,1.6900506,42.121639965618215,1.0,0.6
124,12400,0.31164217,100,0.0,32,3200,7.4163013,7.7279434,6.9887996,37.32345943993062,0.0,0.6129032258064516
128,12800,-1.7485495,100,60.0,33,3300,3.5184772,1.7699277,0.21368456,36.68667902121017,1.0,0.59375
132,13200,1.780406,100,0.0,34,3400,8.063475,9.843881,8.044183,34.40138868520762,0.0,0.6060606060606061
136,13600,-0.30153084,100,0.0,35,3500,5.6472473,5.3457165,4.400855,34.09336075452552,0.0,0.5882352941176471
140,14000,-1.4507465,100,9.0,36,3600,5.667197,4.2164507,1.740635,37.8558396342853,1.0,0.5714285714285714
143,14300,-1.0126481,100,0.0,37,3700,4.0832143,3.0705662,2.0072746,31.402856494480826,0.0,0.5833333333333334
147,14700,0.68910646,100,0.0,38,3800,5.453921,6.1430273,3.027035,33.50711191626737,0.0,0.5675675675675675
149,14900,-0.75848246,100,5.0,39,3900,3.342873,2.5843906,1.5209676,38.94900288400455,1.0,0.5526315789473685
149,14900,7.6787505,100,0.0,41,4100,2.100389,9.7791395,2.100389,194.09699148330444,0.0,0.55
149,14900,-2.0360243,100,6.0,44,4400,4.4333587,2.3973343,1.8618579,215.5974531119807,1.0,0.5116279069767442
153,15300,-3.2013373,100,0.0,47,4700,7.5154595,4.314122,2.2678208,40.31822365052843,0.0,0.5434782608695652
153,15300,-0.50756454,100,0.0,49,4900,8.782979,8.275414,8.007715,199.09667735812067,0.0,0.5208333333333334
153,15300,1.0812273,100,0.0,52,5200,9.109441,10.190668,6.671339,177.77363351192764,0.0,0.49019607843137253
153,15300,-4.7980676,100,14.0,55,5500,7.5975413,2.7994738,1.1123614,179.57320845465634,1.0,0.48148148148148145
157,15700,-1.2228556,100,0.0,58,5800,10.425284,9.202429,8.216904,48.07769636263682,0.0,0.47368421052631576
157,15700,-5.760911,100,0.0,59,5900,9.485948,3.7250369,2.4754412,66.45893811891739,0.0,0.46551724137931033
157,15700,-0.1527617,100,26.0,62,6200,2.4313748,2.278613,0.20477118,350.36562689517024,1.0,0.45901639344262296
157,15700,-1.529932,100,0.0,65,6500,10.860898,9.330966,8.760429,350.10534118189133,0.0,0.46875
157,15700,-0.28599072,100,0.0,68,6800,6.5361714,6.2501807,3.8058636,334.386806630169,0.0,0.47761194029850745
160,16000,0.37217546,100,0.0,70,7000,3.6343849,4.0065603,2.045855,72.81135622066665,0.0,0.463768115942029
161,16100,-3.7847261,100,0.0,71,7100,13.185678,9.400951,8.604574,42.49203711958504,0.0,0.45714285714285713
161,16100,2.1904879,100,0.0,74,7400,6.357238,8.547726,3.8438025,174.23857156328526,0.0,0.4383561643835616
161,16100,-2.4546704,100,0.0,77,7700,9.57849,7.12382,4.6867185,317.4602597929468,0.0,0.42105263157894735
162,16200,-0.9165449,100,0.0,80,8000,5.680857,4.7643123,3.5367632,128.98355471240197,0.0,0.43037974683544306
164,16400,1.2198291,100,0.0,81,8100,5.4445844,6.6644135,3.0017672,79.94644700586613,0.0,0.425
165,16500,1.9750726,100,0.0,82,8200,3.7091424,5.684215,3.2375937,40.60857324848041,0.0,0.41975308641975306
165,16500,4.0223727,100,0.0,84,8400,4.6932244,8.715597,4.3170867,178.79166227961176,0.0,0.42168674698795183
165,16500,-2.125534,100,0.0,87,8700,9.023808,6.8982735,6.101428,181.10464965655652,0.0,0.4069767441860465
165,16500,0.9261842,100,0.0,90,9000,7.741101,8.667285,6.911281,277.607244004641,0.0,0.4157303370786517
169,16900,-4.4578047,100,0.0,93,9300,7.4307795,2.9729745,2.0383222,37.59341092813412,0.0,0.41304347826086957
169,16900,0.6791772,100,55.0,95,9500,0.87475604,1.5539333,0.12102027,201.89976119405858,1.0,0.4148936170212766
