actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
2,200,-0.4648862,0.0,0.0,0.0,100,0.0,5.5991325,6.2889724,6.2889724,6.2889724,5.1342463,6.2889724,6.2889724,6.2889724,2.7629895,6.2889724,6.2889724,6.2889724,13.827540539054333,0.0,nan
24,2400,-6.006608,-0.74696124,-0.39545953,-0.39545953,100,0.0,7.783266,5.554574,5.7398787,5.7398787,1.7766583,4.8076124,5.3444195,5.3444195,0.6221416,2.0410936,3.2704585,3.2704585,48.233271116080005,1.0,0.3333333333333333
44,4400,-4.1985593,-0.9016515,-0.2779423,-0.2779423,100,0.0,9.152388,6.3825374,5.593219,5.593219,4.9538283,5.480886,5.3152766,5.3152766,1.4795985,2.8560135,2.5749924,2.5749924,47.70524164581846,1.0,0.4878048780487805
68,6800,-1.7299948,-2.2111726,-0.77158046,-0.77158046,100,0.0,7.0613494,6.227806,5.9104,5.9104,5.3313546,4.016633,5.138819,5.138819,3.215491,1.4743268,2.2074034,2.2074034,52.55240983698783,0.0,0.5384615384615384
87,8700,-3.0716233,-0.6670729,-0.80505764,-0.80505764,100,0.0,5.732101,5.5429068,5.950638,5.950638,2.6604776,4.875833,5.1455793,5.1455793,2.6604776,1.5303109,2.1054904,2.1054904,44.62218261767477,0.0,0.5595238095238095
105,10500,-0.12442684,0.551383,-0.5453019,-0.57798684,100,0.0,6.9890785,4.2648973,5.609107,5.677385,6.8646517,4.8162804,5.0638046,5.099398,0.3336383,2.405544,1.8910551,2.1120496,25.778084967235504,1.0,0.5643564356435643
119,11900,-0.32520008,-0.24738605,-0.5214921,-0.5019421,100,11.0,5.1507263,5.193656,5.5991793,5.646687,4.825526,4.9462695,5.077687,5.1447453,1.0796542,2.1538963,1.8440727,2.151559,16.541043640542085,1.0,0.5391304347826087
135,13500,-4.921362,-1.1147672,-0.5827273,-0.4732333,100,0.0,8.570545,5.2258935,5.6894484,5.6135664,3.649183,4.1111264,5.1067214,5.140333,1.4339029,1.9664545,2.0158782,2.1471624,35.748415196015216,1.0,0.5267175572519084
147,14700,-4.441092,0.41293287,-0.41096944,-0.3611967,100,0.0,10.490587,5.8935895,5.556211,5.585519,6.049495,6.306523,5.1452413,5.224322,0.56471384,2.7029192,2.006558,2.1748874,18.144786371441157,1.0,0.5034965034965035
155,15500,2.2868512,0.7548922,-0.18474704,-0.30309677,100,0.0,3.8882577,5.30544,5.491887,5.5922627,6.175109,6.0603323,5.30714,5.289166,3.8882577,2.145503,2.0412629,2.1694257,10.495017917680634,0.0,0.5099337748344371
163,16300,3.1319404,-0.3670327,-0.10173978,-0.34308255,100,0.0,2.2495728,6.2593036,5.5437346,5.67453,5.381513,5.8922706,5.4419956,5.3314476,2.2495728,3.4478176,2.2559981,2.248937,7.2946174442636575,0.0,0.49056603773584906
167,16700,-0.45327842,-0.6495172,0.083091564,-0.2839515,100,4.0,2.2357705,7.1875153,5.506012,5.6715646,1.782492,6.537998,5.589103,5.3876133,1.467837,3.1361187,2.2831054,2.2477937,9.508603381484926,1.0,0.48466257668711654
171,17100,-0.21774626,-0.42377964,0.13040793,-0.30612254,100,0.0,6.331311,6.5602775,5.422611,5.664742,6.113565,6.1364975,5.5530186,5.3586197,3.6957676,2.4821675,2.284505,2.2422588,8.537570505674548,0.0,0.48502994011976047
