actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
3,300,4.4216394,-0.5053281,-0.5053281,-0.5053281,100,2.0,1,100,3.0158088,3.292298,3.292298,3.292298,7.4374485,2.7869701,2.7869701,2.7869701,2.611577,2.150972,2.150972,2.150972,13.20004457603249,0.0,0.5
24,2400,-2.520315,-0.37774616,0.051610194,0.051610194,100,0.0,6,600,6.1521325,5.243574,4.836443,4.836443,3.6318176,4.8658285,4.888053,4.888053,2.2906368,2.1414547,2.472527,2.472527,47.813320413804895,0.0,0.4
40,4000,3.5210984,-0.15787445,0.19183257,0.19183257,100,26.0,10,1000,1.5665343,4.283116,4.6801004,4.6801004,5.0876327,4.125241,4.871933,4.871933,1.5665343,1.6718651,2.0410519,2.0410519,38.325023631594746,1.0,0.5882352941176471
60,6000,2.1771736,-0.08962796,-0.059904933,-0.059904933,100,0.0,15,1500,4.2633986,4.072862,4.688425,4.688425,6.4405723,3.9832344,4.6285214,4.6285214,3.953092,1.8857031,1.8484527,1.8484527,49.06277474449201,0.0,0.6481481481481481
80,8000,-7.5568886,-1.6328796,-0.25760323,-0.25760323,100,0.0,20,2000,9.049879,6.6119947,4.9627237,4.9627237,1.4929904,4.9791155,4.7051206,4.7051206,0.3708768,1.5274295,1.7808738,1.7808738,42.09477905004169,1.0,0.6486486486486487
104,10400,1.3029876,1.5024321,0.04746403,0.06124479,100,0.0,26,2600,4.2253594,2.8795297,4.8788533,4.7878494,5.528347,4.3819623,4.9263167,4.849094,1.371898,0.98948014,1.6284736,1.6623943,20.797864074338495,1.0,0.6907216494845361
119,11900,3.7872124,-0.023758268,0.07904404,0.091899805,100,4.0,30,3000,1.4474994,6.1306095,5.008135,4.8867054,5.2347116,6.106851,5.087179,4.978605,0.40035635,2.8872533,1.6203457,1.7304401,21.88956050628752,1.0,0.6846846846846847
134,13400,-6.591238,-1.4065332,-0.09684778,0.0017572852,100,0.0,34,3400,10.402624,6.2448635,5.033722,4.9487233,3.8113859,4.83833,4.936874,4.950481,0.2850616,1.7155784,1.5668155,1.6990035,26.61526582624194,1.0,0.6929133858267716
146,14600,3.0590453,0.71768504,0.0074295844,-0.029402941,100,97.0,39,3900,1.0689276,5.1497245,5.112154,5.0293536,4.127973,5.8674097,5.1195836,4.9999514,1.0689276,2.5662084,1.6505501,1.7525321,16.781948509479673,1.0,0.6618705035971223
150,15000,-5.416711,0.621605,-0.009990816,-0.02511123,100,0.0,59,5900,10.79848,5.1931543,5.190235,5.059061,5.381769,5.8147597,5.180244,5.03395,3.6565204,2.8957622,1.8116226,1.8217717,8.432798562965479,0.0,0.6503496503496503
154,15400,-8.68831,-0.10248313,-0.10533115,-0.04898074,100,0.0,75,7500,8.906894,6.082551,5.362841,5.093383,0.2185837,5.980068,5.25751,5.044402,0.2185837,3.6361718,1.9406483,1.8820423,8.621091066140579,1.0,0.6326530612244898
158,15800,-1.0725758,-1.968557,-0.22958648,-0.13587472,100,0.0,110,11000,3.3149505,6.3877444,5.4209046,5.1229057,2.2423747,4.419188,5.1913185,4.987031,2.2423747,3.1292167,1.9357848,1.8814936,5.1536034826692845,0.0,0.6291390728476821
166,16600,7.6113186,-2.1408954,-0.30818096,-0.23132952,100,3.0,132,13200,2.7204716,7.1083565,5.5617213,5.2392464,10.33179,4.967461,5.25354,5.007917,0.751771,3.6759148,2.0829554,1.9809883,8.522057281141432,1.0,0.6037735849056604
170,17000,-1.7751303,-1.0537302,-0.33432725,-0.22225225,100,0.0,150,15000,5.9200964,7.23386,5.6373262,5.2590466,4.144966,6.18013,5.3029995,5.036794,4.144966,3.4115372,2.109994,1.986958,8.548870599536087,0.0,0.5950920245398773
