actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
2,200,-0.19659233,100,0.0,1,100,4.3925366,4.1959443,3.7607718,14.708393395266821,0.0,nan
7,700,-0.5521078,100,0.0,2,200,4.694075,4.1419673,3.9379973,65.94346881527639,0.0,0.0
11,1100,-0.061489105,100,6.0,3,300,2.9222512,2.8607621,0.7438714,71.82136851058175,1.0,0.0
15,1500,-1.8018246,100,0.0,4,400,12.331918,10.530093,9.242562,73.41175020950762,0.0,0.3333333333333333
18,1800,5.0972977,100,0.0,5,500,4.216316,9.313614,3.516075,75.00575825075072,0.0,0.25
22,2200,-4.1308246,100,32.0,6,600,4.5288577,0.39803335,0.28441358,77.23442004266552,1.0,0.2
26,2600,0.20247602,100,0.0,7,700,4.696384,4.89886,3.8212771,72.03168202567123,0.0,0.3333333333333333
30,3000,0.41898394,100,32.0,8,800,1.6543067,2.0732906,0.61390543,67.70562681116374,1.0,0.2857142857142857
34,3400,-0.12088466,100,0.0,9,900,3.1934698,3.072585,2.0549083,66.98501139333418,0.0,0.375
38,3800,4.966732,100,0.0,10,1000,4.9343996,9.901132,3.53206,68.08366964185132,0.0,0.3333333333333333
42,4200,0.7630315,100,54.0,11,1100,3.0848246,3.847856,0.042626612,68.80864675308739,1.0,0.3
46,4600,-0.60415125,100,0.0,12,1200,8.06912,7.464969,6.5387435,75.98817322743348,0.0,0.36363636363636365
50,5000,-0.42754984,100,0.0,13,1300,6.660041,6.232491,4.293494,70.70078038294997,0.0,0.3333333333333333
54,5400,2.6339002,100,0.0,14,1400,2.2964272,4.9303274,2.2964272,67.02783003460137,0.0,0.3076923076923077
58,5800,-0.026151896,100,0.0,15,1500,3.619156,3.593004,2.1727672,75.89325990399493,0.0,0.2857142857142857
62,6200,1.0510616,100,0.0,16,1600,4.508349,5.5594106,3.987677,74.58859652539074,0.0,0.26666666666666666
66,6600,-3.4610891,100,0.0,17,1700,8.282713,4.821624,2.0399776,72.5908683014293,0.0,0.25
70,7000,-1.8520985,100,7.0,18,1800,3.9701374,2.118039,1.4453868,70.82892373338305,1.0,0.23529411764705882
74,7400,-4.3738847,100,32.0,19,1900,5.598178,1.2242931,0.14615445,66.657512650342,1.0,0.2777777777777778
78,7800,-1.0217953,100,0.0,20,2000,9.686269,8.664474,8.280253,80.90425654010653,0.0,0.3157894736842105
82,8200,-0.25968838,100,0.0,21,2100,5.3607416,5.101053,3.9578457,69.8779540205067,0.0,0.3
86,8600,-1.6396527,100,0.0,22,2200,8.988944,7.3492913,6.399472,68.76112225625056,0.0,0.2857142857142857
90,9000,-1.0557957,100,26.0,23,2300,2.8546627,1.798867,1.2366552,76.91159786474846,1.0,0.2727272727272727
94,9400,0.7531645,100,0.0,24,2400,3.8922594,4.645424,2.7955449,66.5965183374052,0.0,0.30434782608695654
98,9800,3.9128327,100,0.0,25,2500,4.2092586,8.122091,4.075522,66.88870917815937,0.0,0.2916666666666667
102,10200,-3.0893555,100,38.0,26,2600,4.7030554,1.6137,0.1248284,25.32139204918828,1.0,0.28
106,10600,-3.5241666,100,0.0,27,2700,9.601094,6.0769277,3.2822077,48.03330250828125,0.0,0.3076923076923077
109,10900,-1.8083129,100,0.0,28,2800,7.541326,5.733013,3.938772,54.86462474479465,0.0,0.2962962962962963
113,11300,-5.8332644,100,0.0,29,2900,9.318751,3.4854872,2.0127888,46.144902535035236,0.0,0.2857142857142857
117,11700,-1.944377,100,0.0,30,3000,10.565233,8.620856,7.8322105,50.28120187578207,0.0,0.27586206896551724
121,12100,-2.8910265,100,4.0,31,3100,6.173741,3.2827144,1.1472772,35.246053656672686,1.0,0.26666666666666666
