actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
120,-2.0342455,12000,0.3629775,0.012756348,2.041009,30,3000,1,0,1.4876134,2.4171329,97.38188,0.0
133,-0.031641446,13300,0.57013464,0.018066406,0.6933906,34,3400,8,11.592566013336182,-0.0002283865,0.06483483,30.77126,32.746338329174094
148,-0.017593548,14800,0.6024461,0.017700195,0.6932541,37,3700,15,22.709747552871704,5.0225237e-05,0.039110452,30.758366,42.375889851130935
153,-0.014641965,15300,0.61347413,0.018005371,0.69323504,49,4900,22,33.18924260139465,0.00011080474,0.031328853,30.755795,46.821618544214424
157,-0.012248199,15700,0.6111982,0.019958496,0.6932595,70,7000,30,44.81720232963562,0.00019781118,0.025036642,30.755066,36.29562750893851
161,-0.010742614,16100,0.6209171,0.020751953,0.69322264,84,8400,37,55.35283303260803,0.00014044136,0.022701463,30.753761,42.23804635501078
165,-0.01004864,16500,0.61579156,0.020385742,0.6932183,99,9900,44,65.9656286239624,0.00014217425,0.020848745,30.753296,44.29934280934606
169,-0.011097899,16900,0.61133957,0.021118164,0.6932013,117,11700,51,76.43018007278442,0.00010836318,0.02268872,30.75316,46.961442470559376
173,-0.009966508,17300,0.61160135,0.021118164,0.6932523,132,13200,58,86.87077164649963,0.00021907079,0.020483006,30.753906,46.0969198823207
178,-0.009675935,17800,0.6131251,0.018615723,0.69323105,146,14600,65,97.59545397758484,0.000177299,0.020382585,30.753414,41.08753335625197
182,-0.008030698,18200,0.6042199,0.022277832,0.69327915,160,16000,72,108.04471135139465,0.000280446,0.016565658,30.753906,40.64330520271578
186,-0.010559384,18600,0.6023016,0.020507812,0.6932924,175,17500,79,118.46622014045715,0.000305578,0.020142829,30.75468,44.43796805590366
193,-0.010812702,19300,0.6097772,0.020324707,0.69331646,190,19000,86,129.40507435798645,0.00035793352,0.021107065,30.7553,35.10708220602912
197,-0.010903154,19700,0.57384586,0.022827148,0.6934755,203,20300,93,140.08221411705017,0.00067376386,0.020147992,30.758728,43.761608336430804
201,-0.009364249,20100,0.594573,0.022460938,0.69335026,217,21700,100,150.55291199684143,0.00042638512,0.01785161,30.755608,44.34388002302802
205,-0.009423448,20500,0.5910423,0.02178955,0.6934111,233,23300,107,161.09643816947937,0.0005465158,0.019819174,30.75724,45.119494728406096
209,-0.010629935,20900,0.60358024,0.020080566,0.69330126,249,24900,114,171.72505474090576,0.00032736425,0.021064892,30.754955,44.149290415277456
213,-0.009006659,21300,0.57558346,0.022766113,0.69339013,265,26500,121,182.21713399887085,0.00050402567,0.017648298,30.756493,45.386161889519244
217,-0.008350493,21700,0.5860548,0.020812988,0.6932769,279,27900,128,192.8020374774933,0.00028101343,0.016296312,30.753761,44.67533460052062
222,-0.009908838,22200,0.5910406,0.018188477,0.6933352,296,29600,135,203.441792011261,0.00039665704,0.019273786,30.755455,41.60681790493633
229,-0.008187669,22900,0.5754154,0.021911621,0.6932976,309,30900,142,214.50270915031433,0.00032100335,0.017414525,30.754387,34.9049798432162
233,-0.008757699,23300,0.5997834,0.021728516,0.69325316,323,32300,149,225.12483143806458,0.00023479355,0.017984433,30.75344,40.533696054949424
237,-0.008198338,23700,0.5906172,0.022949219,0.69326794,337,33700,156,235.67095112800598,0.00026568002,0.016958963,30.75362,44.78314507655672
