actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
112,0.0,11200,0.9828315,0.003967285,0.08054242,29,2900,1,0,-10.257402,-11.049165,3.705931,0.0
121,0.0,12100,0.99609375,0.021606445,0.02206438,31,3100,10,10.604403018951416,-7.4597,-4.6420164,0.08380525,58.876643404252334
131,0.0,13100,0.99609375,0.024780273,0.022360243,34,3400,20,21.06668210029602,-7.2958317,-4.7252173,0.21393076,57.99473104066916
140,0.0,14000,0.99609375,0.026123047,0.021893997,36,3600,30,31.595863819122314,-7.4756994,-4.605719,0.03832391,59.64606734582506
148,0.0,14800,0.99609375,0.037841797,0.021396939,38,3800,40,42.05893158912659,-7.617655,-4.4824295,0.028334033,66.78768203708367
157,0.0,15700,0.99609375,0.04736328,0.021191373,41,4100,50,52.663357973098755,-7.7889414,-4.430128,0.0358859,58.21776031764828
167,0.0,16700,0.99609375,0.05847168,0.020729266,44,4400,60,63.047577142715454,-8.047311,-4.3087516,0.03569381,64.60291685518729
176,0.0,17600,0.99609375,0.066711426,0.020343795,46,4600,70,73.67425155639648,-8.312658,-4.202262,0.06382935,59.7393837508084
186,0.0,18600,0.99609375,0.09301758,0.019603562,49,4900,80,84.19572854042053,-9.055286,-4.002409,0.08429163,50.008766399740075
195,0.0,19500,0.99609375,0.09552002,0.01936067,51,5100,90,94.57723116874695,-9.628135,-3.94241,0.07173632,57.8714393231057
202,0.0,20200,0.99609375,0.10058594,0.019238178,54,5400,100,105.12660002708435,-9.735365,-3.9081001,0.09040892,59.13318673882136
207,0.0,20700,0.99609375,0.09790039,0.019322587,58,5800,110,115.39529228210449,-10.0068445,-3.9213352,0.30156168,57.767610337917404
213,0.0,21300,0.99609375,0.10876465,0.01896568,61,6100,120,125.6398811340332,-9.74345,-3.8407505,0.07866552,70.07461438600531
220,0.0,22000,0.99609375,0.1182251,0.018340182,66,6600,130,135.98268914222717,-10.442042,-3.6766067,0.05760631,56.542570152288796
227,0.0,22700,0.9960928,0.12237549,0.01876247,69,6900,140,146.3570113182068,-10.221367,-3.7864318,0.37124687,60.070467404663034
234,0.0,23400,0.99609184,0.12609863,0.01806134,73,7300,150,156.66524696350098,-10.652818,-3.6048663,0.15234873,59.24196107363858
239,0.0,23900,0.99609375,0.12805176,0.01788054,77,7700,160,166.87250423431396,-10.732046,-3.5549254,0.07799359,59.920848852881605
246,0.0,24600,0.99609375,0.13702393,0.017830588,80,8000,170,177.0764136314392,-10.56047,-3.541349,0.09285598,70.87251338716891
252,0.0,25200,0.99609375,0.14385986,0.017642494,83,8300,180,187.29606676101685,-10.964504,-3.485165,0.1884889,70.27597373952577
258,0.0,25800,0.99609375,0.14221191,0.01749246,87,8700,190,197.58258700370789,-10.955793,-3.4505546,0.08871739,59.58620934594127
265,0.0,26500,0.99609375,0.1473999,0.017253473,92,9200,200,208.02317810058594,-11.10829,-3.3931074,0.111215,57.17232773307372
271,0.0,27100,0.99609375,0.15100098,0.017227422,96,9600,210,218.2641294002533,-11.156717,-3.3893085,0.08157895,56.823053226049886
278,0.0,27800,0.99609375,0.15228271,0.017239816,99,9900,220,228.6064739227295,-11.1626835,-3.3927493,0.1227771,68.17107155137779
285,0.0,28500,0.99609256,0.15362549,0.017501002,102,10200,230,238.93005514144897,-11.205813,-3.4456804,0.40415862,63.048908357457
