actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
1,100,-4.6930566,0.0,0.0,0.0,100,2.0,1,100,5.363504,7.4138336,7.4138336,7.4138336,0.6704472,7.4138336,7.4138336,7.4138336,0.21490088,7.4138336,7.4138336,7.4138336,20.353819240612992,1.0,nan
32,3200,4.6653275,-1.5893075,-0.75486946,-0.75486946,100,100.0,7,700,2.1620984,6.689598,5.831259,5.831259,6.827426,5.100291,5.0763893,5.0763893,1.470022,1.1948419,2.2791278,2.2791278,66.477582242611,1.0,0.7096774193548387
65,6500,1.337493,-2.4497395,-0.8565778,-0.8565778,100,1.0,17,1700,1.9596295,7.7101183,6.123001,6.123001,3.2971225,5.260379,5.2664237,5.2664237,1.9596295,3.1956646,2.418523,2.418523,66.64843528157559,1.0,0.59375
96,9600,0.67759037,-1.7554197,-0.88150066,-0.88150066,100,0.0,25,2500,6.330497,7.857095,6.1033363,6.1033363,7.008087,6.1016755,5.221835,5.221835,0.35294896,4.0952063,2.6443152,2.6443152,68.54315977733096,1.0,0.5052631578947369
112,11200,-2.3003743,-0.22156844,-0.7414502,-0.702347,100,0.0,29,2900,3.9760704,4.720354,5.902054,5.871299,1.6756961,4.498785,5.1606035,5.1689525,1.4924557,2.5462132,2.5334084,2.5658224,38.91100860525927,1.0,0.5045045045045045
123,12300,-1.7356358,-2.7944202,-1.0302008,-0.9230278,100,0.0,32,3200,5.939167,9.256357,6.3534875,6.1674733,4.2035313,6.461937,5.323286,5.2444453,4.2035313,3.8528435,2.6669488,2.6601968,19.444183291304675,0.0,0.4672131147540984
135,13500,1.283143,0.17020938,-0.9329229,-0.83606195,100,0.0,35,3500,4.246406,5.177161,6.157294,6.054064,5.529549,5.34737,5.2243695,5.2180023,1.8556249,1.4869564,2.7039945,2.571968,22.048446609224655,1.0,0.4925373134328358
148,14800,-0.13105536,1.4852922,-0.60132265,-0.64500266,100,0.0,39,3900,5.594826,4.0574484,5.9176,5.8977003,5.463771,5.542741,5.316278,5.2526975,2.3512647,1.4494143,2.6125226,2.487367,22.888338216443376,0.0,0.4965986394557823
162,16200,3.098492,0.9673117,-0.32441574,-0.48188922,100,93.0,42,4200,2.2934158,4.4642878,5.559686,5.767106,5.3919077,5.4315996,5.235271,5.2852173,1.1076611,1.8079029,2.4699028,2.446626,21.56443300731446,1.0,0.50625
173,17300,5.1231475,2.3713226,0.07934166,-0.31543896,100,94.0,45,4500,1.2085004,3.229924,5.3256555,5.6193247,6.331648,5.601247,5.404997,5.3038855,1.2085004,0.77818936,2.2902343,2.3436353,24.338462782926452,1.0,0.5380116959064327
185,18500,7.2579126,2.820419,0.4855196,-0.12063666,100,96.0,48,4800,1.3400489,1.8236887,4.910143,5.3844566,8.597961,4.6441073,5.395663,5.26382,0.4808681,0.54340714,2.0239937,2.240959,25.758897368182993,1.0,0.5628415300546448
193,19300,-1.1748915,2.0125813,0.7020703,-0.052608863,100,0.0,53,5300,6.7428927,4.5646257,4.74802,5.375087,5.5680013,6.577207,5.4500904,5.322478,1.667032,0.919176,1.8561097,2.1916409,14.04282234780311,1.0,0.5759162303664922
201,20100,3.7059147,2.7962923,0.99307173,0.11051294,100,99.0,60,6000,1.1258786,4.519767,4.6050224,5.305784,4.8317933,7.316059,5.5980945,5.416297,1.0833517,1.3874698,1.7467357,2.1628914,16.341479597754454,1.0,0.5829145728643216
207,20700,-3.2826853,3.5754695,1.2074556,0.20465423,100,0.0,65,6500,9.931236,3.074735,4.5020065,5.241891,6.648551,6.650205,5.709463,5.4465446,1.268124,1.2161145,1.6647677,2.1369145,17.598341965294424,1.0,0.5902439024390244
215,21500,0.8923149,0.7927646,1.3968271,0.23236436,100,0.0,72,7200,4.2650704,4.7251406,4.362566,5.2142296,5.1573853,5.5179057,5.759393,5.4465938,3.299793,1.755188,1.5883093,2.1179137,14.732473596220668,0.0,0.596244131455399
223,22300,8.147197,1.5294247,1.8025751,0.28835127,100,38.0,78,7800,1.9644085,2.903129,3.8328571,5.1298656,10.111606,4.4325533,5.6354327,5.418217,0.32471904,0.8681099,1.3530395,2.0792382,16.37416462775465,1.0,0.6018099547511312
232,23200,1.952213,1.9882168,1.9990448,0.35125515,100,24.0,85,8500,2.0922463,3.316724,3.6927314,5.065696,4.0444593,5.30494,5.6917763,5.416951,0.28921142,0.70384943,1.274613,2.0278697,14.8722186419358,1.0,0.6173913043478261
240,24000,9.32766,1.134724,2.0998995,0.40901965,100,100.0,90,9000,0.9565915,3.108583,3.475866,4.9706435,10.284251,4.2433066,5.5757656,5.379663,0.9565915,0.87736386,1.1715102,1.9872414,14.951769422924563,1.0,0.6302521008403361
249,24900,3.1491866,4.255685,2.3673077,0.5538888,100,93.0,97,9700,0.6702725,1.5184096,3.2503924,4.845069,3.8194592,5.7740946,5.6177006,5.3989577,0.11534416,0.6941814,1.1045531,1.9359028,16.255376791236717,1.0,0.6437246963562753
257,25700,1.4455159,2.5386195,2.4329767,0.6204938,100,0.0,103,10300,2.9272768,1.8775721,3.1992676,4.7603474,4.3727927,4.416192,5.632244,5.3808403,0.06365769,0.5850397,1.049698,1.8957036,15.939967910313358,1.0,0.6509803921568628
265,26500,7.333815,2.8727453,2.5319445,0.6727115,100,99.0,108,10800,0.1322211,2.5922356,3.0024457,4.700648,7.4660363,5.4649806,5.534391,5.3733597,0.1322211,0.5929743,0.90560895,1.8517767,18.832260008234588,1.0,0.6577946768060836
274,27400,4.096512,2.51903,2.5246258,0.73327494,100,23.0,114,11400,2.5046172,2.1347332,2.8970513,4.6170125,6.601129,4.653764,5.4216766,5.350288,0.29430273,0.26041728,0.85555327,1.8003623,15.53128627499656,1.0,0.6691176470588235
